feature_set,test_sample_key,rank,distance,neighbor_sample_key,neighbor_subj,neighbor_phase_type,neighbor_road_type,neighbor_morphology
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::6::trigger_idx,1,2.1693108081817627,rjy::Entity_Recording_2025_09_28_20_15_42_vehicle_aligned_cleaned.csv::7::trigger_idx,rjy,secondary,straight,multi_correction
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::6::trigger_idx,2,2.7534573078155518,gzj::Entity_Recording_2025_09_27_12_28_14_vehicle_aligned_cleaned.csv::8::trigger_idx,gzj,secondary,straight,multi_correction
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::6::trigger_idx,3,2.9945883750915527,zx::Entity_Recording_2025_09_27_16_46_13_vehicle_aligned_cleaned.csv::14::trigger_idx,zx,secondary,straight,reverse_correction
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::6::trigger_idx,4,3.3503522872924805,zx::Entity_Recording_2025_09_27_17_25_16_vehicle_aligned_cleaned.csv::14::trigger_idx,zx,secondary,straight,multi_correction
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::6::trigger_idx,5,3.5231852531433105,byx::Entity_Recording_2025_09_28_17_46_00_vehicle_aligned_cleaned.csv::15::trigger_idx,byx,secondary,straight,multi_correction
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::7::trigger_idx,1,9.951462745666504,zdq::Entity_Recording_2025_09_26_15_37_30_vehicle_aligned_cleaned.csv::6::trigger_idx,zdq,secondary,curve,single_lobe
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::7::trigger_idx,2,9.981745719909668,yyl::Entity_Recording_2025_09_28_09_39_01_vehicle_aligned_cleaned.csv::9::trigger_idx,yyl,primary,curve,single_lobe
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::7::trigger_idx,3,11.116250991821289,zx::Entity_Recording_2025_09_27_16_32_00_vehicle_aligned_cleaned.csv::31::trigger_idx,zx,secondary,curve,multi_correction
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::7::trigger_idx,4,11.487881660461426,yyl::Entity_Recording_2025_09_28_09_29_01_vehicle_aligned_cleaned.csv::8::trigger_idx,yyl,primary,curve,single_lobe
触发前车辆和事件信息,cwh::Entity_Recording_2025_09_26_19_23_28_vehicle_aligned_cleaned.csv::7::trigger_idx,5,11.95740795135498,zdq::Entity_Recording_2025_09_26_15_52_46_vehicle_aligned_cleaned.csv::5::trigger_idx,zdq,primary,curve,single_lobe
