label_scheme,label,train_count
方向幅值,negative__large,2081
方向幅值,positive__large,2022
方向幅值,positive__medium,335
方向幅值,negative__medium,313
方向幅值,negative__tiny,17
方向幅值,positive__tiny,15
方向幅值,near_zero__tiny,14
方向幅值形态,negative__large__multi_correction,1094
方向幅值形态,positive__large__multi_correction,1060
方向幅值形态,negative__large__reverse_correction,952
方向幅值形态,positive__large__single_lobe,674
方向幅值形态,positive__large__reverse_correction,286
方向幅值形态,negative__medium__reverse_correction,165
方向幅值形态,positive__medium__multi_correction,151
方向幅值形态,negative__medium__multi_correction,143
方向幅值形态,positive__medium__single_lobe,96
方向幅值形态,positive__medium__reverse_correction,84
方向幅值形态,negative__large__single_lobe,35
方向幅值形态,negative__tiny__reverse_correction,11
方向幅值形态,positive__tiny__reverse_correction,9
方向幅值形态,near_zero__tiny__reverse_correction,8
方向幅值形态,negative__tiny__multi_correction,6
方向幅值形态,negative__medium__single_lobe,5
方向幅值形态,positive__medium__recentering,4
方向幅值形态,near_zero__tiny__single_lobe,4
方向幅值形态,positive__tiny__multi_correction,3
方向幅值形态,positive__tiny__single_lobe,3
方向幅值形态,near_zero__tiny__multi_correction,2
方向幅值形态,positive__large__recentering,2
方向形态,negative__multi_correction,1243
方向形态,positive__multi_correction,1214
方向形态,negative__reverse_correction,1128
方向形态,positive__single_lobe,773
方向形态,positive__reverse_correction,379
方向形态,negative__single_lobe,40
方向形态,near_zero__reverse_correction,8
方向形态,positive__recentering,6
方向形态,near_zero__single_lobe,4
方向形态,near_zero__multi_correction,2
