signal,valid_count,total_count,valid_rate,min,max,mean,std,zero_rate,near_constant,median_abs_diff,spike_rate_proxy,relative_path,top_dir,subject,session_stamp,modality,raw_sensor_scope,derived_file
LSLOutletStreamName-EEG|channel0,282708,339251,0.8333298943849834,29790.785,36364.988,33985.58638278365,1968.3581502185,0.0,False,3.3399999999965075,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel1,282708,339251,0.8333298943849834,44678.598,57110.363,51431.01887088799,3439.382099142413,0.0,False,3.574000000000524,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel2,282708,339251,0.8333298943849834,-400000.06,-400000.06,-400000.05999999994,0.009568319307746789,0.0,False,0.0,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel3,282708,339251,0.8333298943849834,36657.719,63779.789,54123.476457358825,7624.533041742167,0.0,False,3.2890000000043074,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel4,282708,339251,0.8333298943849834,51211.027,55544.285,53125.291740789085,1011.5760598889217,0.0,False,3.243000000002212,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel5,282708,339251,0.8333298943849834,29992.727,36076.98,31950.783612568444,1862.6554283897713,0.0,False,4.194999999999709,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel6,282708,339251,0.8333298943849834,17799.762,37806.848,31637.388646150797,3844.1264342800237,0.0,False,3.337999999999738,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel7,282708,339251,0.8333298943849834,20374.586,27689.65,24426.5600098936,1759.9903988962392,0.0,False,3.1479999999974098,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel8,282708,339251,0.8333298943849834,60333.449,61719.566,60890.51560472996,373.06516718282467,0.0,False,4.578000000001339,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel9,282708,339251,0.8333298943849834,53262.43,60737.617,58845.2120060734,1898.5574153267332,0.0,False,4.055000000000291,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
