subject,session_stamp,modalities_with_time,overlap_start_raw,overlap_end_raw,overlap_duration_raw,union_duration_raw,overlap_ratio_raw,status
byx,2025_09_28_17_05_51,"vehicle,physio,eeg",1759079151.9020002,1759079717.325,565.4229998588562,565.4400000572205,0.9999699345671291,overlap_ok
byx,2025_09_28_17_15_52,"vehicle,physio,eeg",1759079753.231,1759080286.976,533.7450001239777,533.7769999504089,0.9999400501961788,overlap_ok
byx,2025_09_28_17_25_18,"vehicle,physio,eeg",1759080318.9329998,1759080904.2940001,585.3610002994537,585.3959999084473,0.9999402120803712,overlap_ok
byx,2025_09_28_17_35_43,"vehicle,physio,eeg",1759080943.992,1759081529.825,585.8329999446869,585.8800001144409,0.999919778504566,overlap_ok
byx,2025_09_28_17_46_00,"vehicle,physio,eeg",1759081561.181,1759082108.58,547.3989999294281,547.4179999828339,0.9999652915077576,overlap_ok
cwh,2025_09_26_19_23_28,"vehicle,physio,eeg",1758914608.8860002,1758914772.924,164.03799986839294,164.04499983787537,0.9999573289677263,overlap_ok
cwh,2025_09_26_19_27_21,"vehicle,physio,eeg",1758914842.1230001,1758915276.043,433.91999983787537,433.9330003261566,0.9999700403327899,overlap_ok
cwh,2025_09_26_19_35_47,"vehicle,physio,eeg",1758915347.204,1758915896.612,549.4079999923706,549.4199998378754,0.999978159066819,overlap_ok
cwh,2025_09_26_19_45_40,"vehicle,physio,eeg",1758915940.228,1758916479.1990001,538.9710001945496,538.9839999675751,0.9999758809667332,overlap_ok
cwh,2025_09_26_19_56_16,"vehicle,physio,eeg",1758916576.7580001,1758917102.728,525.9699997901917,525.9820001125336,0.9999771849182304,overlap_ok
cwh,2025_09_26_20_06_19,"vehicle,physio,eeg",1758917179.344,1758917683.816,504.47199988365173,504.49199986457825,0.9999603561980529,overlap_ok
gf,2025_09_26_10_03_00,"vehicle,physio,eeg",1758880980.8990002,1758881542.819,561.9199998378754,659.2709999084473,0.85233538243895,overlap_ok
gf,2025_09_26_10_18_49,"vehicle,physio,eeg",1758881929.3830001,1758882513.204,583.8209998607635,583.8399999141693,0.9999674567460116,overlap_ok
gf,2025_09_26_10_30_12,"vehicle,physio,eeg",1758882612.2150002,1758883178.191,565.9759998321533,565.9990000724792,0.9999593634612023,overlap_ok
gf,2025_09_26_10_40_59,"vehicle,physio,eeg",1758883259.1729999,1758883850.488,591.3150000572205,591.3380002975464,0.9999611047483599,overlap_ok
gf,2025_09_26_10_52_57,"vehicle,physio,eeg",1758883977.8579998,1758884596.148,618.2900002002716,618.3159999847412,0.9999579506523036,overlap_ok
gzj,2025_09_27_11_38_49,"vehicle,physio,eeg",1758973129.577,1758973215.738,86.16100001335144,113.02499985694885,0.7623180723061439,overlap_ok
gzj,2025_09_27_11_41_47,"vehicle,physio,eeg",1758973307.9459999,1758973949.488,641.5420000553131,641.5899996757507,0.9999251864579219,overlap_ok
gzj,2025_09_27_11_53_25,"vehicle,physio,eeg",1758974005.677,1758974600.095,594.4179999828339,594.4669997692108,0.9999175735803737,overlap_ok
