subject,session_stamp,vehicle_file_count,physio_file_count,eeg_file_count,vehicle_paths,physio_paths,eeg_paths,vehicle_time_min,vehicle_time_max,physio_time_min,physio_time_max,eeg_time_min,eeg_time_max,vehicle_available,physio_available,eeg_available,all_three_modalities_available
byx,2025_09_28_17_05_51,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,1759079151.8899999,1759079717.325,1759079151.888,1759079717.328,1759079151.9020002,1759079717.328,True,True,True,True
byx,2025_09_28_17_15_52,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_15_52_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,1759079753.216,1759080286.976,1759079753.203,1759080286.98,1759079753.231,1759080286.978,True,True,True,True
byx,2025_09_28_17_25_18,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_25_18_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_25_18_eeg.csv,1759080318.904,1759080904.2940001,1759080318.8990002,1759080904.295,1759080318.9329998,1759080904.295,True,True,True,True
byx,2025_09_28_17_35_43,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_35_43_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_35_43_eeg.csv,1759080943.96,1759081529.825,1759080943.945,1759081529.825,1759080943.992,1759081529.825,True,True,True,True
byx,2025_09_28_17_46_00,1,1,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_46_00_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_46_00_eeg.csv,1759081561.164,1759082108.58,1759081561.181,1759082108.582,1759081561.181,1759082108.582,True,True,True,True
cwh,2025_09_26_19_23_28,1,1,1,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_23_28_vehicle.csv,原始生理数据/cwh/Entity_Recording_2025_09_26_19_23_28_physio.csv,原始脑电数据/cwh/Entity_Recording_2025_09_26_19_23_28_eeg.csv,1758914608.88,1758914772.925,1758914608.8860002,1758914772.924,1758914608.8860002,1758914772.924,True,True,True,True
cwh,2025_09_26_19_27_21,1,1,1,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,原始生理数据/cwh/Entity_Recording_2025_09_26_19_27_21_physio.csv,原始脑电数据/cwh/Entity_Recording_2025_09_26_19_27_21_eeg.csv,1758914842.113,1758915276.043,1758914842.115,1758915276.0460002,1758914842.1230001,1758915276.0449998,True,True,True,True
cwh,2025_09_26_19_35_47,1,1,1,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,原始生理数据/cwh/Entity_Recording_2025_09_26_19_35_47_physio.csv,原始脑电数据/cwh/Entity_Recording_2025_09_26_19_35_47_eeg.csv,1758915347.202,1758915896.612,1758915347.196,1758915896.616,1758915347.204,1758915896.614,True,True,True,True
cwh,2025_09_26_19_45_40,1,1,1,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,原始生理数据/cwh/Entity_Recording_2025_09_26_19_45_40_physio.csv,原始脑电数据/cwh/Entity_Recording_2025_09_26_19_45_40_eeg.csv,1758915940.219,1758916479.1990001,1758915940.223,1758916479.203,1758915940.228,1758916479.202,True,True,True,True
cwh,2025_09_26_19_56_16,1,1,1,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,原始生理数据/cwh/Entity_Recording_2025_09_26_19_56_16_physio.csv,原始脑电数据/cwh/Entity_Recording_2025_09_26_19_56_16_eeg.csv,1758916576.752,1758917102.728,1758916576.7489998,1758917102.731,1758916576.7580001,1758917102.7299998,True,True,True,True
