review_label_uid,subject,session_stamp,vehicle_raw_absolute_path,source_event_uid,source_anchor,source_event_type,source_event_level,source_curvature_anchor,leakage_risk_anchor,causal_anchor_status,review_label_suffix,auto_event_role,event_start_rel_s,event_end_rel_s,anchor_rel_s,review_start_rel_s,review_end_rel_s,original_road_start_rel_s,original_road_end_rel_s,original_road_duration_s,direction_hint,pre_points,response_points,curve_points,steer_baseline,steer_delta_peak_signed,steer_delta_peak_abs,curve_peak_abs,curve_mean,speed_median,yaw_peak_abs,ay_peak_abs,roll_peak_abs,nearby_old_v400_count,nearby_dynamic_count,nearby_road_count,codex_review_score,codex_recommended_decision,codex_evidence_reason,codex_review_status
codex_byx_2025_09_28_17_05_51_0001_full,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,raw_road_curvature_onset,curve_left_or_positive,extreme,0.0109098127117895,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,158.535,175.46,158.535,150.998,182.998,158.535,175.46,16.925,left,400,4893,3385,-0.258832,-2.339088,2.339088,0.01091,-0.003661296499261448,94.0718,0.396939,6.71268,0.094778,9,2,1,87.71075672639284,auto_accept_high,road=curve_short; score=87.7; curve_peak=0.01091; steer_delta_peak=2.339; old=9; dynamic=2; speed=94.1,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_05_51_0002_full,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0080616299872013,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,298.525,313.595,298.525,290.06,322.06,298.525,313.595,15.07,right,400,4707,3014,-0.178547,2.911557,2.911557,0.00806163,0.002054516422030525,114.0955,0.453681,11.8238,0.162443,7,1,2,87.9404065254045,auto_accept_high,road=curve_short; score=87.9; curve_peak=0.008062; steer_delta_peak=2.912; old=7; dynamic=1; speed=114,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_05_51_0003_full,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010842599946592,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,317.53,319.335,317.53,302.433,334.433,317.53,319.335,1.805,left,400,3381,361,-0.714363,1.64026,1.64026,0.00108356,0.0009408497451523548,114.48400000000001,0.453681,11.8238,0.162443,9,3,1,67.77730824973892,auto_accept_medium,road=curve_short; score=67.8; curve_peak=0.001084; steer_delta_peak=1.64; old=9; dynamic=3; speed=114,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_05_51_0004_full,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.006164559912798,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,476.495,504.965,476.495,474.73,506.73,476.495,504.965,28.47,right,400,6047,5694,-0.0682424,2.0067824,2.0067824,0.00616456,-0.002419885974183351,104.92949999999999,0.307131,7.01236,0.0990482,7,2,1,74.13841106724442,auto_accept_high,road=curve_short; score=74.1; curve_peak=0.006165; steer_delta_peak=2.007; old=7; dynamic=2; speed=105,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_05_51_0005_full,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.2524704389871727,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,546.31,556.685,546.31,535.498,565.435,546.31,556.685,10.375,right,400,3825,2075,-0.1720025,-2.9643574999999998,2.9643574999999998,0.252471,0.0032751799623566276,86.0371,0.609966,8.93347,0.151562,4,3,1,95.805621987315,auto_accept_high,road=curve_short; score=95.8; curve_peak=0.2525; steer_delta_peak=2.964; old=4; dynamic=3; speed=86,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_15_52_0001_full,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00001,raw_road_curvature_onset,curve_left_or_positive,extreme,0.0109051712111586,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,131.39,148.305,131.39,123.847,155.847,131.39,148.305,16.915,left,400,4892,3384,-0.241554,2.8729839999999998,2.8729839999999998,0.0109054,-0.00411729496749409,92.10135,0.786623,13.8689,0.314518,10,2,1,96.0,auto_accept_high,road=curve_short; score=96.0; curve_peak=0.01091; steer_delta_peak=2.873; old=10; dynamic=2; speed=92.1,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_15_52_0002_full,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0081653127578238,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,262.89,279.175,262.89,255.033,287.033,262.89,279.175,16.285,right,400,4828,3257,-0.204204,1.271474,1.271474,0.00816568,0.0016260813512434752,103.80799999999999,0.285065,6.09988,0.0822301,6,2,2,68.61969680199506,auto_accept_medium,road=curve_short; score=68.6; curve_peak=0.008166; steer_delta_peak=1.271; old=6; dynamic=2; speed=104,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_15_52_0003_full,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010809687683705,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,283.04,284.825,283.04,267.933,299.933,283.04,284.825,1.785,left,400,3378,357,0.560251,-2.993761,2.993761,0.00108101,0.0009391055742296918,107.9165,0.619827,7.50404,0.106818,9,3,1,76.87150951374207,auto_accept_high,road=curve_short; score=76.9; curve_peak=0.001081; steer_delta_peak=2.994; old=9; dynamic=3; speed=108,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_15_52_0004_full,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0061638814221719,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,445.785,472.97,445.785,443.378,475.378,445.785,472.97,27.185,right,400,5918,5437,-0.00401426,1.41057426,1.41057426,0.00616397,-0.002438590408890436,107.6095,0.23314,6.34356,0.0882702,4,3,1,67.29377189035841,auto_accept_medium,road=curve_short; score=67.3; curve_peak=0.006164; steer_delta_peak=1.411; old=4; dynamic=3; speed=108,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_15_52_0005_full,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005,raw_road_curvature_onset,curve_left_or_positive,extreme,0.0178519670661903,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,517.355,527.62,517.355,506.487,533.76,517.355,527.62,10.265,left,400,3282,2054,-0.180118,-3.7707819999999996,3.7707819999999996,0.017852,0.006525770622857838,89.2923,0.631106,10.2309,0.162222,3,2,1,94.0,auto_accept_high,road=curve_short; score=94.0; curve_peak=0.01785; steer_delta_peak=3.771; old=3; dynamic=2; speed=89.3,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_25_18_0001_full,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00001,raw_road_curvature_onset,curve_left_or_positive,extreme,0.0109085796887278,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,164.34,180.495,164.34,156.418,188.418,164.34,180.495,16.155,left,400,4815,3231,-0.133518,2.0905579999999997,2.0905579999999997,0.0109113,-0.003861251640359022,94.80525,0.539296,10.0817,0.180273,9,3,1,91.01770925462878,auto_accept_high,road=curve_short; score=91.0; curve_peak=0.01091; steer_delta_peak=2.091; old=9; dynamic=3; speed=94.8,codex_auto_reviewed_not_human_verified
codex_byx_2025_09_28_17_25_18_0002_full,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.008165122,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,332.65,346.99,332.65,323.82,355.82,332.65,346.99,14.34,right,400,4634,2868,-0.145211,-1.951449,1.951449,0.00816553,0.001298867629358438,110.27850000000001,0.267808,6.74562,0.0932934,6,2,2,77.40640172515913,auto_accept_high,road=curve_short; score=77.4; curve_peak=0.008166; steer_delta_peak=1.951; old=6; dynamic=2; speed=110,codex_auto_reviewed_not_human_verified
