episode_uid,anchor_timing_label,image_path,source_image_path,copied,error,pre_over_post_steer_rate_ratio,pre_over_post_vehicle_dyn_ratio,pre_steer_rate_peak_time_rel,pre_vehicle_dyn_peak_time_rel
V03_xst_2025_09_26_11_34_18_0009,ANCHOR_USABLE_FAST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\02_锚点后仍有响应_可继续考虑\001_024_036_V03_xst_2025_09_26_11_34_18_0009_低附着_rate8.4_delta1.33.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\024_036_V03_xst_2025_09_26_11_34_18_0009_低附着_rate8.4_delta1.33.png,True,,1.3243702770780832,0.7308599382535849,-1.2949999999999875,-0.6159999999999854
V03_byx_2025_09_28_17_46_00_0004,EXCLUDE_LATE_ANCHOR_STABILIZED,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\00_锚点明显偏晚_后面已稳定_应舍去\001_050_005_V03_byx_2025_09_28_17_46_00_0004_低附着_rate9.5_delta0.52.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\050_005_V03_byx_2025_09_28_17_46_00_0004_低附着_rate9.5_delta0.52.png,True,,18.06665393430093,56.60208368565808,-1.4240000000000066,-3.2750000000000057
V03_zx_2025_09_27_18_00_08_0012,EXCLUDE_LATE_ANCHOR_STABILIZED,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\00_锚点明显偏晚_后面已稳定_应舍去\002_043_001_V03_zx_2025_09_27_18_00_08_0012_低附着_rate10.4_delta0.70.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\043_001_V03_zx_2025_09_27_18_00_08_0012_低附着_rate10.4_delta0.70.png,True,,6.45662327956655,15.381102631384435,-2.3370000000000175,-3.950000000000017
V03_zx_2025_09_27_16_32_00_0020,EXCLUDE_LATE_ANCHOR_STABILIZED,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\00_锚点明显偏晚_后面已稳定_应舍去\003_067_006_V03_zx_2025_09_27_16_32_00_0020_低附着_rate9.0_delta-0.50.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\067_006_V03_zx_2025_09_27_16_32_00_0020_低附着_rate9.0_delta-0.50.png,True,,6.336873953835519,9.106741478088928,-3.9390000000000214,-3.6350000000000477
V03_gzj_2025_09_27_12_28_14_0004,EXCLUDE_LATE_ANCHOR_STABILIZED,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\00_锚点明显偏晚_后面已稳定_应舍去\004_032_025_V03_gzj_2025_09_27_12_28_14_0004_低附着_rate5.1_delta-0.45.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\01_快速转向但车辆响应边界_需要人工判断\032_025_V03_gzj_2025_09_27_12_28_14_0004_低附着_rate5.1_delta-0.45.png,True,,5.137985537598288,4.654946639928642,-3.5919999999999987,-3.280000000000001
V03_txj_2025_09_27_08_53_44_0016,EXCLUDE_LATE_ANCHOR_STABILIZED,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\00_锚点明显偏晚_后面已稳定_应舍去\005_020_023_V03_txj_2025_09_27_08_53_44_0016_低附着_rate5.0_delta-0.36.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\020_023_V03_txj_2025_09_27_08_53_44_0016_低附着_rate5.0_delta-0.36.png,True,,3.830939315687544,5.0545516994849,-3.852999999999952,-3.9349999999999454
V03_hzh_2025_09_26_21_03_19_0016,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\001_073_021_V03_hzh_2025_09_26_21_03_19_0016_低附着_rate5.1_delta-0.43.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\073_021_V03_hzh_2025_09_26_21_03_19_0016_低附着_rate5.1_delta-0.43.png,True,,6.9739445115388765,3.2951397232138766,-3.2139999999999986,-3.0649999999999977
V03_zdq_2025_09_26_15_14_51_N000,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\002_077_016_V03_zdq_2025_09_26_15_14_51_N000_普通驾驶对照_rate4.6_delta-1.02.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\077_016_V03_zdq_2025_09_26_15_14_51_N000_普通驾驶对照_rate4.6_delta-1.02.png,True,,5.242013888888779,4.3379243509925995,-2.991,-2.905
V03_rjy_2025_09_28_19_44_42_N000,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\003_078_040_V03_rjy_2025_09_28_19_44_42_N000_普通驾驶对照_rate6.5_delta-0.73.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\078_040_V03_rjy_2025_09_28_19_44_42_N000_普通驾驶对照_rate6.5_delta-0.73.png,True,,4.021999252615827,1.3250756048387098,-1.262,-1.895
V03_lxy_2025_09_28_18_19_35_0016,FAST_STEER_WEAK_POST_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_anchor_timing_split_v0_3\03_锚点后响应弱_不进主线\004_062_012_V03_lxy_2025_09_28_18_19_35_0016_低附着_rate6.2_delta-0.53.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\02_只有快速转向车辆响应弱_不进极限主线\062_012_V03_lxy_2025_09_28_18_19_35_0016_低附着_rate6.2_delta-0.53.png,True,,3.7660611971230007,1.0229373441048362,-0.8840000000000146,-0.5399999999999636
