order,episode_uid,fast_vehicle_response_split,image_path,source_image_path,copied,error,condition_context_cn,condition_score_peak,body_attitude_score_simple,steer_rate_peak_near,steer_delta_prepost,peak_abs_ay_window,peak_abs_yaw_rate_window,peak_abs_roll_rate_window,peak_abs_roll_window
1,V03_lx_2025_09_26_09_06_38_0013,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\001_028_V03_lx_2025_09_26_09_06_38_0013_低附着_rate4.1_delta-0.47.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\028_V03_lx_2025_09_26_09_06_38_0013_低附着_rate4.1_delta-0.47.png,True,,低附着,4.933944368820464,1.9901860833333327,4.10150000000373,-0.4712389999999999,2.40475,0.0941103,0.0722071,0.0349567
2,V03_hzh_2025_09_27_19_22_27_0002,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\002_054_V03_hzh_2025_09_27_19_22_27_0002_低附着_rate4.5_delta0.63.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\054_V03_hzh_2025_09_27_19_22_27_0002_低附着_rate4.5_delta0.63.png,True,,低附着,3.710654788282589,1.8543464166666663,4.5378000000041245,0.634253,2.36643,0.0888865,0.0615914,0.0338693
3,V03_yyl_2025_09_28_09_49_11_0006,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\003_013_V03_yyl_2025_09_28_09_49_11_0006_低附着_rate7.1_delta0.50.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\013_V03_yyl_2025_09_28_09_49_11_0006_低附着_rate7.1_delta0.50.png,True,,低附着,2.565612530139429,1.8089919166666668,7.051200000006415,0.501695,2.05485,0.0787608,0.0753626,0.0300957
4,V03_yyl_2025_09_28_09_39_01_0013,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\004_019_V03_yyl_2025_09_28_09_39_01_0013_低附着_rate6.2_delta-0.41.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\019_V03_yyl_2025_09_28_09_39_01_0013_低附着_rate6.2_delta-0.41.png,True,,低附着,3.707757249187709,1.7629285833333332,6.248280000005683,-0.4082327,2.00844,0.0784202,0.0745135,0.0278555
5,V03_rjy_2025_09_28_19_44_42_0000,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\005_010_V03_rjy_2025_09_28_19_44_42_0000_低附着_rate8.0_delta-0.38.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\010_V03_rjy_2025_09_28_19_44_42_0000_低附着_rate8.0_delta-0.38.png,True,,低附着,3.3070991359559407,1.6724645833333334,7.9936000000072704,-0.3795214999999999,1.85425,0.067146,0.0791665,0.0244931
6,V03_hzh_2025_09_27_19_22_27_0022,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\006_011_V03_hzh_2025_09_27_19_22_27_0022_低附着_rate6.6_delta0.63.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\011_V03_hzh_2025_09_27_19_22_27_0022_低附着_rate6.6_delta0.63.png,True,,低附着,3.3142580926603262,1.667457,6.632260000006031,0.626398,1.82283,0.0675742,0.0757488,0.0267024
7,V03_zxy_2025_09_28_16_12_11_0003,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\007_007_V03_zxy_2025_09_28_16_12_11_0003_低附着_rate7.5_delta0.57.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\007_V03_zxy_2025_09_28_16_12_11_0003_低附着_rate7.5_delta0.57.png,True,,低附着,5.1919011048842245,1.6143268333333336,7.504800000006823,0.5742134999999999,1.76981,0.0617098,0.0734623,0.0271704
8,V03_lx_2025_09_26_08_58_43_0005,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\008_038_V03_lx_2025_09_26_08_58_43_0005_低附着_rate8.9_delta0.51.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\01_再看_快速转向但形态不清_需要判断是否只是抖动\038_V03_lx_2025_09_26_08_58_43_0005_低附着_rate8.9_delta0.51.png,True,,低附着,3.0269068103739047,1.5924190833333334,8.936199999957324,0.5114685,1.54504,0.0751778,0.0791305,0.0198481
9,V03_txj_2025_09_27_08_53_44_0020,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\009_034_V03_txj_2025_09_27_08_53_44_0020_低附着_rate4.0_delta0.39.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\034_V03_txj_2025_09_27_08_53_44_0020_低附着_rate4.0_delta0.39.png,True,,低附着,2.091634820146491,1.5864229166666668,4.014400000003652,0.387289,1.64905,0.059865,0.0782978,0.0243845
10,V03_gf_2025_09_26_10_03_00_0020,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_vehicle_response_split_v0_3\00_快速转向且车辆响应可见_优先复核可训练\010_002_V03_gf_2025_09_26_10_03_00_0020_低附着_rate9.7_delta0.57.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\fast_steer_review_v0_3\00_优先看_快速转向且有回正或反打_可能可训练\002_V03_gf_2025_09_26_10_03_00_0020_低附着_rate9.7_delta0.57.png,True,,低附着,4.344249065866904,1.5796419999999998,9.669200000008797,0.5707225,1.52828,0.0738812,0.0781761,0.020249
