_folder,_file_name,_image_path,generated,error,new_rule_auto_label,new_rule_reason_cn,episode_uid,v0_3_category_cn,condition_context_cn,condition_level,condition_score_peak,body_attitude_score_simple,steer_response_strength,steer_delta_prepost,response_shape,coordinate_continuity_ok,subject,session_stamp,t_condition_anchor,dataset_candidate_version,vehicle_raw_absolute_path,vehicle_raw_relative_path,vehicle_raw_size_bytes,vehicle_raw_sha256,read_status,read_error,available_columns,missing_required_columns,row_count,duration_s,time_start_s,time_end_s,sampling_rate_median_hz,episode_count,success_episode_count,event_index_in_session,t_condition_end,t_condition_peak,condition_duration_s,condition_score_mean,window_complete,recommended_input_start_s,recommended_input_end_s,recommended_label_start_s,recommended_label_end_s,vehicle_component_count,roll_evidence,lateral_evidence,is_roll_context,is_lateral_dynamic_context,is_curve_context,is_low_mu_context,is_brake_context,has_brake_response,local_lateral_step_p99,local_lateral_step_max,peak_abs_ay_window,peak_abs_yaw_rate_window,peak_abs_roll_rate_window,peak_abs_roll_window,peak_abs_curvature_window,min_mu_window,median_speed_kmh_window,ay_threshold,yaw_rate_threshold,roll_rate_threshold,roll_angle_threshold,curvature_threshold,t_steer_onset,steer_onset_relation,steer_response_delay_s,steer_amp_threshold,steer_rate_threshold,steer_rate_peak_near,steer_response_score,input_start_already_steering,t_response_peak,steer_peak_delta,has_return,has_countersteer,nearest_old_context_table,nearest_old_context_time_s,delta_to_nearest_old_context_s,nearest_old_road_module,nearest_old_risk_class,nearest_old_event_types,nearest_old_v0_2_category,nearest_old_v0_2_category_cn,v0_3_category,v0_3_reason_cn,recommended_use,new_rule_review_priority,strong_body_attitude_auto,moderate_body_attitude_auto,strong_or_medium_steer_auto,light_steer_auto,coord_and_window_ok_auto,_group_order
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\00_最先看_强车身风险候选_可能可抢救,030_V03_byx_2025_09_28_17_05_51_0003_横滚_姿态_score10.1_body17.9.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\00_最先看_强车身风险候选_可能可抢救\030_V03_byx_2025_09_28_17_05_51_0003_横滚_姿态_score10.1_body17.9.png,True,,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,V03_byx_2025_09_28_17_05_51_0003,排除样本,横滚/姿态,extreme,10.05987324622758,17.915839166666668,none,0.1600399999999999,sustained_same_side,False,byx,2025_09_28_17_05_51,106.305,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,37728237,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,113088,565.435,0.0,565.435,200.0000000001819,21,0,3,114.28,107.26,7.974999999999994,4.669489924385986,True,104.305,106.305,106.305,111.305,4,True,True,True,True,False,False,True,True,0.0,,12.1978,1.23614,0.867881,0.165059,,,,4.188439475000001,0.1816088375000003,0.0955050237500003,0.0588465075,0.0025,,none,,1.0,8.0,1.9030000000017635,0.0,False,111.305,3.267785,False,False,episode_candidates_v0_6.csv,99.815,6.490000000000009,middle_section,design_regular_road,ay;roll_rate;roll_rate;roll_rate,,,excluded,窗口不完整或坐标连续性异常,排除,0,True,True,False,True,False,30
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\00_最先看_强车身风险候选_可能可抢救,032_V03_byx_2025_09_28_17_05_51_0001_横滚_姿态_score10.4_body16.1.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\00_最先看_强车身风险候选_可能可抢救\032_V03_byx_2025_09_28_17_05_51_0001_横滚_姿态_score10.4_body16.1.png,True,,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,V03_byx_2025_09_28_17_05_51_0001,排除样本,横滚/姿态,extreme,10.39043095221043,16.067989666666666,weak,-1.6152989999999998,return,False,byx,2025_09_28_17_05_51,88.29,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,37728237,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,113088,565.435,0.0,565.435,200.0000000001819,21,0,1,93.935,91.405,5.644999999999996,6.472316371716031,True,86.29,88.29,88.29,93.29,4,True,True,True,True,False,False,True,True,0.0,,9.42649,1.04344,0.80126,0.183066,,,,4.188439475000001,0.1816088375000003,0.0955050237500003,0.0588465075,0.0025,88.565,after_condition,0.2749999999999915,2.5176586815,8.0,11.554000000010506,2.0858377624209665,False,91.445,-2.515541,True,False,episode_candidates_v0_6.csv,87.745,0.5450000000000017,middle_section,design_regular_road,roll_rate,,,excluded,窗口不完整或坐标连续性异常,排除,0,True,True,True,False,False,32
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\00_最先看_强车身风险候选_可能可抢救,038_V03_byx_2025_09_28_17_05_51_0012_横滚_姿态_score9.4_body14.5.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\00_最先看_强车身风险候选_可能可抢救\038_V03_byx_2025_09_28_17_05_51_0012_横滚_姿态_score9.4_body14.5.png,True,,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,V03_byx_2025_09_28_17_05_51_0012,排除样本,横滚/姿态,extreme,9.439304075115114,14.539585833333332,strong,2.2031280000000004,weak_or_no_clear_steer,False,byx,2025_09_28_17_05_51,302.975,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,37728237,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,113088,565.435,0.0,565.435,200.0000000001819,21,0,12,311.795,306.055,8.819999999999993,4.390132050023078,True,300.975,302.975,302.975,307.975,4,True,True,True,True,False,False,True,True,0.0,,11.8238,0.453681,0.945106,0.162443,,,,4.188439475000001,0.1816088375000003,0.0955050237500003,0.0588465075,0.0025,304.53,after_condition,1.55499999999995,2.123542,8.0,21.29300000001937,3.6991029495791192,False,305.905,-2.62881,False,False,episode_candidates_v0_6.csv,299.3,3.6750000000000114,middle_section,design_regular_road,roll_rate;roll_rate;roll_rate;roll_rate;ay,,,excluded,窗口不完整或坐标连续性异常,排除,0,True,True,True,False,False,38
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\07_边界待复核_规则仍拿不准,004_V03_byx_2025_09_28_17_05_51_0019_横滚_姿态_score3.6_body3.4.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\07_边界待复核_规则仍拿不准\004_V03_byx_2025_09_28_17_05_51_0019_横滚_姿态_score3.6_body3.4.png,True,,MANUAL_REVIEW_BOUNDARY,车身动态、方向盘响应或坐标风险边界不清，需要人工复核,V03_byx_2025_09_28_17_05_51_0019,排除样本,横滚/姿态,medium,3.631375412850802,3.4000355833333336,none,-0.6466449999999999,weak_or_no_clear_steer,False,byx,2025_09_28_17_05_51,502.21,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,37728237,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,113088,565.435,0.0,565.435,200.0000000001819,21,0,19,502.665,502.24,0.4550000000000409,3.3200170962167954,True,500.21,502.21,502.21,507.21,2,True,True,True,True,False,False,False,False,0.0,,4.77243,0.167589,0.090388,0.0683497,,,,4.188439475000001,0.1816088375000003,0.0955050237500003,0.0588465075,0.0025,,none,,1.0,8.0,4.433130000004032,0.0,False,507.2,-0.903731,False,False,episode_candidates_v0_6.csv,484.195,18.014999999999983,differentmu_road,design_high_risk_surface,roll_rate;ay;ay;roll_rate,,,excluded,窗口不完整或坐标连续性异常,排除,4,False,True,False,True,False,4
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\07_边界待复核_规则仍拿不准,014_V03_byx_2025_09_28_17_15_52_0009_横滚_姿态_score3.3_body2.9.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\07_边界待复核_规则仍拿不准\014_V03_byx_2025_09_28_17_15_52_0009_横滚_姿态_score3.3_body2.9.png,True,,MANUAL_REVIEW_BOUNDARY,车身动态、方向盘响应或坐标风险边界不清，需要人工复核,V03_byx_2025_09_28_17_15_52_0009,排除样本,横滚/姿态,medium,3.321591151604108,2.9398557499999995,none,-0.2624899999999999,return,False,byx,2025_09_28_17_15_52,275.085,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,35740059,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,106753,533.76,0.0,533.76,200.0000000001819,18,0,9,277.415,276.925,2.330000000000041,3.122086757750763,True,273.085,275.085,275.085,280.085,3,True,True,True,True,False,False,False,False,0.0,,4.76971,0.192184,0.0275013,0.0636653,,,,4.511031025,0.168713565,0.1038919545000004,0.06218067425,0.0025,,none,,1.0,8.0,1.274100000001159,0.0,False,279.575,1.476196,True,False,episode_candidates_v0_6.csv,263.965,11.120000000000005,middle_section,design_regular_road,ay;roll_rate,,,excluded,窗口不完整或坐标连续性异常,排除,4,False,True,False,True,False,14
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\00_最先看_强车身风险候选_可能可抢救,007_V03_byx_2025_09_28_17_25_18_0023_弯道_曲率_score10.1_body30.1.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\00_最先看_强车身风险候选_可能可抢救\007_V03_byx_2025_09_28_17_25_18_0023_弯道_曲率_score10.1_body30.1.png,True,,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,V03_byx_2025_09_28_17_25_18_0023,排除样本,弯道/曲率,extreme,10.05811012152728,30.08151583333333,medium,-3.214896,return,True,byx,2025_09_28_17_25_18,581.28,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,23,585.39,582.77,4.110000000000014,7.085997125007266,False,579.28,581.28,581.28,586.28,4,True,True,True,True,True,False,True,True,0.0091849999999999,0.0094900000000004,12.4481,0.489195,1.71853,0.865987,0.0182434,1.0,96.045,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,581.169,near_sync,-0.11099999999999,3.102146,8.0,15.428000000014029,2.964845807065638,False,582.335,-3.119601,True,False,all_raw_vehicle_instability_candidates_v0_1.csv,554.14,27.139999999999983,differentmu_road,design_high_risk_surface,roll_rate;ay;roll_rate;roll_rate;roll_rate;roll_rate;ay;roll_rate;ay;roll_rate,,,excluded,窗口不完整或坐标连续性异常,排除,0,True,True,True,False,False,7
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\01_明确极限主样本_可作为标尺,006_V03_byx_2025_09_28_17_25_18_0003_低附着_score8.5_body27.4.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\01_明确极限主样本_可作为标尺\006_V03_byx_2025_09_28_17_25_18_0003_低附着_score8.5_body27.4.png,True,,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,V03_byx_2025_09_28_17_25_18_0003,弱响应/保守响应,低附着,extreme,8.518012211883942,27.40530983333333,weak,-1.570102,return,True,byx,2025_09_28_17_25_18,86.09,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,3,87.684,86.604,1.593999999999994,6.593987826818441,True,84.09,86.09,86.09,91.09,3,True,True,True,True,False,True,True,True,0.0208650000000005,0.0213499999999999,4.91907,0.41043,2.45008,0.316161,2.24601e-09,0.8,37.03045,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,86.329,after_condition,0.2389999999999901,3.2245417935,8.0,9.60000000000874,1.6869225150588896,False,88.875,1.585108,True,False,all_raw_vehicle_instability_candidates_v0_1.csv,97.035,-10.944999999999991,middle_section,design_regular_road,roll_rate,,,weak_or_conservative,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,1,True,True,True,False,True,6
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\01_明确极限主样本_可作为标尺,022_V03_byx_2025_09_28_17_25_18_0019_弯道_曲率_score9.8_body11.9.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\01_明确极限主样本_可作为标尺\022_V03_byx_2025_09_28_17_25_18_0019_弯道_曲率_score9.8_body11.9.png,True,,KEEP_EXTREME_MAIN,车身姿态/横向动态强，且方向盘响应明显,V03_byx_2025_09_28_17_25_18_0019,延迟或无明显转向响应,弯道/曲率,extreme,9.786524254953363,11.876955416666666,medium,2.164908,return,True,byx,2025_09_28_17_25_18,519.599,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,19,524.895,523.14,5.295999999999935,5.0342559950907,True,517.599,519.599,519.599,524.599,4,True,True,True,True,True,False,False,False,0.0049365,0.004941,10.6702,0.358315,0.8129,0.0941739,0.00573954,1.0,124.794,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,521.124,after_condition,1.5249999999999773,2.051038828,8.0,15.498000000014065,2.992767804172748,False,524.235,-2.06106,True,False,all_raw_vehicle_instability_candidates_v0_1.csv,507.245,12.354000000000042,differentmu_road,design_high_risk_surface,roll_rate;ay;ay;roll_rate;roll_rate;roll_rate,,,delayed_or_no_steer,工况先出现，方向盘响应偏晚,响应时序分析,1,True,True,True,False,True,22
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\02_弱响应或保守响应_车身强但方向盘不大,001_V03_byx_2025_09_28_17_25_18_0011_低附着_score8.9_body26.9.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\02_弱响应或保守响应_车身强但方向盘不大\001_V03_byx_2025_09_28_17_25_18_0011_低附着_score8.9_body26.9.png,True,,KEEP_WEAK_CONSERVATIVE,车身姿态/横向动态强，但方向盘幅度不大，符合保守/弱响应,V03_byx_2025_09_28_17_25_18_0011,弱响应/保守响应,低附着,extreme,8.868960266318918,26.927147166666668,none,-0.1151899999999996,weak_or_no_clear_steer,True,byx,2025_09_28_17_25_18,276.809,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,11,278.454,277.999,1.6449999999999818,5.679784491171262,True,274.809,276.809,276.809,281.809,4,True,True,True,True,False,True,True,True,0.01933,1.238445,5.04404,0.544172,2.40302,0.253785,1.90066e-09,0.8,18.146,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,1.362000000001191,0.0,False,281.25,-0.1438199999999998,False,False,episode_candidates_v0_6.csv,275.87,0.9390000000000214,fix_road,design_special_event_segment,roll_rate,,,weak_or_conservative,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,2,True,True,False,True,True,1
F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\02_弱响应或保守响应_车身强但方向盘不大,003_V03_byx_2025_09_28_17_25_18_0002_低附着_score7.1_body24.3.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\new_rule_review_groups_v0_3\02_弱响应或保守响应_车身强但方向盘不大\003_V03_byx_2025_09_28_17_25_18_0002_低附着_score7.1_body24.3.png,True,,KEEP_WEAK_CONSERVATIVE,车身姿态/横向动态强，但方向盘幅度不大，符合保守/弱响应,V03_byx_2025_09_28_17_25_18_0002,弱响应/保守响应,低附着,extreme,7.094310579144001,24.254205833333337,none,0.1071600000000001,weak_or_no_clear_steer,True,byx,2025_09_28_17_25_18,68.035,extreme_condition_episodes_v0_3_all_raw,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,2,80.88,69.51,12.845,3.787477029582609,True,66.035,68.035,68.035,73.035,3,True,True,True,True,False,True,True,True,0.01648,0.0165200000000003,5.73925,0.355392,2.04694,0.341725,2.17892e-09,0.8,32.0112,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,1.9200000000017567,0.0,False,72.72,0.1123999999999998,False,False,episode_candidates_v0_6.csv,65.55,2.4849999999999994,middle_section,design_regular_road,roll_rate;roll_rate;roll_rate,,,weak_or_conservative,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,2,True,True,False,True,True,3
