anchor_timing_label,anchor_timing_reason_cn,fast_vehicle_response_split,count
ANCHOR_USABLE_FAST_RESPONSE,锚点后仍有可见车辆响应和方向盘活动，可作为快速响应候选继续复核。,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,1
EXCLUDE_LATE_ANCHOR_STABILIZED,主要方向盘动作和车辆动态峰值都在锚点前，锚点后进入恢复/稳定段；不适合作为后续响应预测训练样本。,FAST_STEER_BODY_RESPONSE_BOUNDARY,2
EXCLUDE_LATE_ANCHOR_STABILIZED,主要方向盘动作和车辆动态峰值都在锚点前，锚点后进入恢复/稳定段；不适合作为后续响应预测训练样本。,FAST_STEER_ONLY_WEAK_VEHICLE_RESPONSE,2
EXCLUDE_LATE_ANCHOR_STABILIZED,主要方向盘动作和车辆动态峰值都在锚点前，锚点后进入恢复/稳定段；不适合作为后续响应预测训练样本。,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,1
FAST_STEER_WEAK_POST_RESPONSE,锚点后车辆响应或方向盘活动较弱，不适合直接进入极限主训练。,FAST_STEER_ONLY_WEAK_VEHICLE_RESPONSE,32
FAST_STEER_WEAK_POST_RESPONSE,锚点后车辆响应或方向盘活动较弱，不适合直接进入极限主训练。,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,21
FAST_STEER_WEAK_POST_RESPONSE,锚点后车辆响应或方向盘活动较弱，不适合直接进入极限主训练。,FAST_STEER_BODY_RESPONSE_BOUNDARY,16
RISK_LATE_ANCHOR_REVIEW,锚点前活动明显强于锚点后，可能存在锚点偏晚，需要人工判断是否只能作为恢复段样本。,FAST_STEER_BODY_RESPONSE_BOUNDARY,1
RISK_LATE_ANCHOR_REVIEW,锚点前活动明显强于锚点后，可能存在锚点偏晚，需要人工判断是否只能作为恢复段样本。,FAST_STEER_ONLY_WEAK_VEHICLE_RESPONSE,1
RISK_LATE_ANCHOR_REVIEW,锚点前活动明显强于锚点后，可能存在锚点偏晚，需要人工判断是否只能作为恢复段样本。,FAST_STEER_WITH_VISIBLE_VEHICLE_RESPONSE,1
