episode_uid,new_rule_auto_label,new_rule_reason_cn,v0_3_category_cn,condition_context_cn,condition_level,condition_score_peak,body_attitude_score_simple,peak_abs_ay_window,peak_abs_yaw_rate_window,peak_abs_roll_rate_window,peak_abs_roll_window,steer_response_strength,steer_delta_prepost,response_shape,coordinate_continuity_ok,window_complete,subject,session_stamp,t_condition_anchor,nearest_old_road_module,vehicle_raw_absolute_path
V03_txj_2025_09_27_09_06_19_0022,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,extreme,8.016038115427744,48.59250933333334,9.20363,0.321465,3.91555,1.00119,weak,0.7895,return,False,True,txj,2025_09_27_09_06_19,473.805,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_06_19_vehicle.csv
V03_zxy_2025_09_28_16_35_30_0006,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,extreme,11.0,47.22028916666667,12.5188,2.64155,2.91542,0.577089,medium,2.712244,sustained_same_side,False,True,zxy,2025_09_28_16_35_30,197.02,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zxy\Entity_Recording_2025_09_28_16_35_30_vehicle.csv
V03_byx_2025_09_28_17_46_00_0001,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,extreme,8.271126292601533,38.27135266666667,5.53378,0.373201,3.26267,0.648774,none,1.250179,weak_or_no_clear_steer,False,True,byx,2025_09_28_17_46_00,70.95,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv
V03_byx_2025_09_28_17_35_43_0006,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,extreme,8.13262406985185,33.03754666666667,6.2909,0.46838,2.69699,0.557004,weak,-2.355667,weak_or_no_clear_steer,False,True,byx,2025_09_28_17_35_43,194.335,curve1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv
V03_hzh_2025_09_27_19_22_27_0001,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,extreme,9.123019187630032,32.747460000000004,7.13655,0.27678,2.58717,0.67012,weak,1.759644,countersteer,False,True,hzh,2025_09_27_19_22_27,74.017,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_22_27_vehicle.csv
V03_txj_2025_09_27_08_53_44_0022,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,extreme,9.42016740847879,30.74596783333333,7.89796,0.693536,2.65819,0.283769,weak,1.08987,weak_or_no_clear_steer,False,True,txj,2025_09_27_08_53_44,454.797,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_08_53_44_vehicle.csv
V03_byx_2025_09_28_17_25_18_0023,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,弯道/曲率,extreme,10.05811012152728,30.081515833333334,12.4481,0.489195,1.71853,0.865987,medium,-3.214896,return,True,False,byx,2025_09_28_17_25_18,581.28,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv
V03_byx_2025_09_28_17_35_43_0020,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,extreme,9.301859735059978,26.952805833333333,14.1615,0.420187,1.55887,0.722319,medium,-3.466748,countersteer,False,True,byx,2025_09_28_17_35_43,578.8,differentmu_road,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv
V03_lxy_2025_09_28_17_55_52_0014,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,低附着,extreme,10.51286907538105,26.292631,5.58723,0.604487,1.9446,0.47582,medium,1.3332566,return,False,True,lxy,2025_09_28_17_55_52,274.04,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv
V03_tyy_2025_09_28_14_57_17_0008,RISK_POOL_BODY_STRONG,车身姿态/横向动态强，但窗口或坐标连续性有风险，需要人工复核后决定是否抢救,排除样本,横滚/姿态,extreme,11.0,26.097084666666664,6.40779,0.415212,1.92851,0.533484,strong,-2.145706,countersteer,False,True,tyy,2025_09_28_14_57_17,402.99,middle_section,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_57_17_vehicle.csv
