instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,nearby_old_context_count_m2_p5s,nearby_road_curvature_count_m5_p5s,nearby_steer_rate_count_p0_p4s,vehicle_read_status,vehicle_read_error,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,human_review_priority
vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,99.815,99.815,115.085,15.27,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,4,0,4,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00008;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00009;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,ay;ay;ay;ay,weak;extreme;strong;extreme,12.1978,56.330183,0,0,0,ok,,2600,3054,12.1978,12.1978,12.1978,0.867881,1.23614,21.962859,0.0,14.1146,-3.068375,0.071475,0.071475,88.06,auto_accept_instability_high,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_05_51__000338940,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,338.94,338.94,339.7,0.76,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00029,ay,weak,1.64097,1.262284,0,0,0,ok,,2600,152,6.51106,6.51106,1.64097,0.320818,0.21841,2.689424,0.0,126.871,-0.26913,0.449597,0.449597,61.5,auto_accept_instability_medium,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_05_51__000356420,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,356.42,356.42,363.51,7.09,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00032;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00033,ay;ay,strong;weak,3.06134,3.010668,3,0,0,ok,,2600,1418,5.58881,-5.58881,3.06123,0.356212,0.246733,2.834119,0.0,140.695,-0.263021,0.486947,0.486947,70.8,auto_accept_instability_medium,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_05_51__000366800,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,366.8,366.8,367.925,1.125,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00034,ay,weak,1.44336,1.44858,0,0,0,ok,,2600,224,5.57396,5.57396,1.44323,0.282903,0.232093,3.20444,0.0,135.522,-0.306131,0.259531,0.259531,59.58,auto_accept_instability_medium,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_05_51__000484195,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,484.195,484.195,508.035,23.84,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,3,0,3,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00047;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00048;raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00049,ay;ay;ay,extreme;weak;medium,7.01236,16.316084,3,0,0,ok,,2600,4768,6.99362,-6.99362,6.99362,0.839722,0.303284,3.279624,0.00614421,104.078,0.082903,1.182457,1.182457,87.7,auto_accept_instability_high,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_05_51__000546280,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,546.28,546.28,548.01,1.73,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00054,ay,medium,2.29687,1.766823,1,1,1,ok,,2600,345,7.10076,7.10076,2.29687,0.066931,0.322989,3.432976,0.252471,89.5064,-0.325766,0.112835,-0.112835,61.09,auto_accept_instability_medium,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_15_52__000263885,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,263.885,263.885,265.285,1.4,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00029,ay,strong,4.49432,4.424419,2,1,1,ok,,2600,280,6.09988,-6.09988,4.49339,0.242154,0.285065,3.187573,0.00816471,103.513,-0.090233,1.157324,1.157324,64.42,auto_accept_instability_medium,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_15_52__000287425,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,287.425,287.425,290.36,2.935,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00031;raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00032,ay;ay,medium;weak,1.70178,1.989653,2,1,0,ok,,2600,587,6.5769,-6.5769,1.70166,0.737563,0.462711,3.191694,0.00108101,124.104,-0.134216,0.297055,0.297055,86.54,auto_accept_instability_high,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_15_52__000319770,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,319.77,319.77,321.16,1.39,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00035,ay,medium,1.86847,1.876192,2,0,1,ok,,2600,278,6.15651,-6.15651,1.86847,0.591924,0.406753,3.219625,0.0,122.024,-0.141197,0.329867,-0.329867,75.13,auto_accept_instability_high,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
vehicle_instability_onset__byx__2025_09_28_17_15_52__000327430,vehicle_instability_onset_codex_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,327.43,327.43,337.25,9.82,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,4,0,4,raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00037;raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00038;raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00039;raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00040,ay;ay;ay;ay,medium;weak;medium;weak,2.36081,2.853591,2,0,0,ok,,2600,1965,6.15651,-6.15651,2.36081,0.591924,0.406753,3.208811,0.0,117.754,-0.280649,0.46164,0.46164,82.68,auto_accept_instability_high,detected_vehicle_instability_onset_predict_future_steering_response,Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,normal
