episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn
rec_v1_byx_2025_09_28_17_05_51_0002,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,2,58.66,66.04,7.38000000000001,61.375,60.88,58.675,61.375,60.905,驾驶员先动,-2.2050000000000054,极强,5,4.0,4.0,2.6481548160291286,方向盘快速操作,正常,True,False,True,True,0.8,103.86608823529411,5.194861176470589,0.2980268235294118,0.3722925588235294,0.07347836470588236,2.9617691176470586,5.801008996539441,0.288509,25.10274705882351,3.425921176470588,56.66,68.04,middle_section,连续超车负荷事件段,59.2,-3.1499999999999986,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0003,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,3,85.52,115.09,29.570000000000007,88.915,87.885,85.535,88.915,89.78,驾驶员先动,-2.3500000000000085,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,40.358626470588234,12.06524705882353,1.8120329411764708,2.808229117647059,0.708968794117647,5.632015588235294,11.45355259516015,0.465048,139.62932352941175,22.739167058823533,83.52,117.09,curve1|middle_section,弯道路段|连续超车负荷事件段,95.64,-4.665000000000006,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0005,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,5,158.04,183.55,25.51000000000002,159.71,158.81,158.06,159.71,178.91,驾驶员先动,-0.75,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,True,True,True,0.8,91.6337411764706,6.704544411764705,0.39552632352941175,0.4701772647058824,0.09477536470588235,4.664638235294118,15.97875294118921,0.529244,36.276708823529404,3.4680785294117644,156.04,185.55,curve1,弯道路段,171.265,0.46999999999997044,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0006,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,6,189.26,199.955,10.695000000000022,190.915,190.25,190.095,190.915,196.34,驾驶员先动,-0.15500000000000114,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,117.27747058823529,5.318110588235294,0.24469688235294118,0.37947949999999997,0.07679422058823529,2.854135588235294,10.46176716263735,0.0,13.452764705882345,3.4723155882352943,187.26,201.955,middle_section,连续超车负荷事件段,196.75,2.142499999999984,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0007,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,7,219.17,228.175,9.005000000000024,220.31,220.135,219.955,220.31,222.415,驾驶员先动,-0.1799999999999784,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,113.215,7.936059411764706,0.5199608235294118,0.7027885588235294,0.11012329411764706,3.747250294117647,10.819016851204648,0.08971710000000001,16.490411764705897,3.4023652941176468,217.17,230.175,fix_road,施工/维修变道/道路受限,223.115,-0.5575000000000045,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0008,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,8,241.605,246.47,4.865000000000009,245.01,244.29,241.63,245.01,245.855,驾驶员先动,-2.6599999999999966,极强,5,4.0,4.0,3.4775296264306608,方向盘快速操作,正常,True,False,True,True,0.8,75.28345882352941,4.409838235294117,0.31903291176470594,0.24491267647058823,0.0629571,2.9981408235294116,7.617825259516401,0.617348,56.51421176470588,3.346148235294118,239.605,248.47,fix_road,施工/维修变道/道路受限,245.403,1.3654999999999973,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0009,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,9,257.82,267.285,9.465000000000032,258.86,258.425,258.265,258.86,266.095,驾驶员先动,-0.160000000000025,极强,4,4.0,4.0,2.7985277196330975,方向盘快速操作,正常,True,False,True,True,0.8,111.67166176470587,4.914154705882353,0.17798255882352942,0.26408738235294116,0.07042186176470588,2.325115294117647,6.130413667808021,0.0,10.46691176470587,3.487218235294118,255.82,269.285,fix_road,施工/维修变道/道路受限,264.921,2.368499999999983,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0010,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,10,298.44,320.935,22.495000000000005,303.185,302.835,298.455,303.185,304.925,驾驶员先动,-4.3799999999999955,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,False,True,True,True,1.0,104.51004411764706,11.305944117647059,0.44972708823529406,0.9368827058823529,0.1620286176470588,4.996278823529412,9.528320830446482,0.408752,45.73223529411766,3.476945882352941,296.44,322.935,curve2|middle_section,弯道路段|连续超车负荷事件段,305.59,-4.097500000000025,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0011,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,11,328.29,338.59,10.299999999999955,329.26,328.48,328.35,329.26,336.85,驾驶员先动,-0.12999999999999545,极强,5,4.0,4.0,3.3486699095986556,方向盘快速操作,正常,True,False,True,True,0.8,120.95588235294117,6.511945882352941,0.21815426470588237,0.31978691176470586,0.08978507058823529,3.1433829411764704,7.335547058820085,0.0,5.811117647058822,3.4408726470588236,326.29,340.59,curve2,弯道路段,326.75,-6.689999999999998,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_05_51_0013,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,13,349.37,361.085,11.714999999999975,352.245,350.705,350.71,352.245,352.135,车辆先变化,0.0049999999999954525,极强,5,4.0,4.0,2.9715834899970344,方向盘快速操作,正常,True,False,True,True,0.8,138.99008823529408,5.566652352941176,0.24645891176470588,0.35511488235294114,0.07825662058823529,2.433450882352941,6.509507093429409,0.0,8.018000000000029,3.4529441176470588,347.37,363.085,middle_section,连续超车负荷事件段,352.805,-2.422499999999957,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
