episode_uid,episode_group_id,episode_group_cn,manual_decision_v1_1,review_panel_path,trajectory_3d_path
rec_v1_byx_2025_09_28_17_05_51_0000,review,需要复核,暂不进入训练,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0000.png,
rec_v1_byx_2025_09_28_17_05_51_0001,review,需要复核,暂不进入训练,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_05_51_0001.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0001.png,
rec_v1_byx_2025_09_28_17_05_51_0002,core_extreme,核心极限样本,保留为主训练候选,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0002.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0002.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0002_3d.png
rec_v1_byx_2025_09_28_17_05_51_0003,core_extreme,核心极限样本,保留为主训练候选,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0003.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0003.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0003_3d.png
rec_v1_byx_2025_09_28_17_05_51_0004,review,需要复核,暂不进入训练,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0004.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0004.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0004_3d.png
rec_v1_byx_2025_09_28_17_05_51_0005,core_extreme,核心极限样本,保留为主训练候选,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0005.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0005.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0005_3d.png
rec_v1_byx_2025_09_28_17_05_51_0006,core_extreme,核心极限样本,保留为主训练候选,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0006.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0006.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0006_3d.png
rec_v1_byx_2025_09_28_17_05_51_0007,core_extreme,核心极限样本,保留为主训练候选,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0007.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0007.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0007_3d.png
rec_v1_byx_2025_09_28_17_05_51_0008,core_extreme,核心极限样本,保留为主训练候选,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0008.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0008.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0008_3d.png
rec_v1_byx_2025_09_28_17_05_51_0009,core_extreme,核心极限样本,保留为主训练候选,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0009.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0009.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0009_3d.png
