episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1,raw_feature_ok_v1_2,z_range_v1_2,z_rate_peak_v1_2,pitch_range_v1_2,pitch_rate_peak_v1_2,lat_offset_range_raw_v1_2,speed_range_raw_v1_2,brake_range_raw_v1_2,roll_range_raw_v1_2,ay_abs_peak_raw_v1_2,yaw_rate_abs_peak_raw_v1_2,duration_over_15s_v1_2,duration_over_20s_v1_2,height_jump_suspected_v1_2,pitch_jump_suspected_v1_2,lat_offset_extreme_suspected_v1_2,speed_range_extreme_suspected_v1_2,offroad_or_road_recovery_suspected_v1_2,v1_2_decision,v1_2_decision_cn,v1_2_decision_detail_cn,is_train_candidate_v1_2,is_deferred_v1_2,is_control_candidate_v1_2,is_discarded_v1_2,review_panel_v1_2_path
rec_v1_byx_2025_09_28_17_05_51_0018,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,18,483.875,503.375,19.5,484.72,484.68,486.16,484.72,497.57,车辆先变化,1.4800000000000182,极强,5,4.0,4.0,2.522584656280676,方向盘快速操作,正常,False,True,True,True,1.0,106.13525,6.987259411764706,0.2966505588235294,0.8128716764705882,0.098329894117647,3.135442058823529,5.525936851214515,0.0,20.19149999999999,3.728177058823529,481.875,505.375,differentmu_road,低附着路段,492.111,-1.51400000000001,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0018.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0018_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0965000000000007,0.5950000000007094,0.0497694,0.338693,3.76385,20.198000000000008,0.0,0.18322280000000002,7.01236,0.307131,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 19.50 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\03_15到20秒_需要复核\0018_rec_v1_byx_2025_09_28_17_05_51_0018.png
rec_v1_byx_2025_09_28_17_15_52_0020,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,20,470.93,486.63,15.699999999999989,471.38,471.375,477.525,471.38,478.79,车辆先变化,6.149999999999977,极强,5,4.0,4.0,2.691821919896685,方向盘快速操作,正常,True,False,True,True,0.8,125.90188235294116,6.301909705882353,0.2810699705882353,0.481699,0.0877769882352941,3.052964411764705,6.638529411770326,0.0,23.197235294117647,3.4695897058823526,468.93,488.63,differentmu_road,低附着路段,475.385,-3.394999999999982,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_15_52_0020.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_15_52_0020.png,,True,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.008999999999998565,0.04500000000007276,0.00973069,0.017379,3.4987,23.20299999999999,0.0,0.16484490000000002,6.3054,0.281498,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.70 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_25_18_0008,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,8,226.69,242.49,15.800000000000011,226.71,226.695,228.06,226.71,235.539,车辆先变化,1.365000000000009,极强,4,4.0,4.0,4.0,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,114.40838095238097,5.192539047619047,0.2121904761904761,0.294967619047619,0.071056669047619,2.5033609047619043,21.10448134915308,0.0,4.095476190476177,3.373318333333333,224.69,244.49,fix_road,施工/维修变道/道路受限,225.305,-9.284999999999997,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_25_18_0008.png,,True,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.006120000000000125,0.055249999999432475,0.0017165699999999997,0.00723586,3.49338,4.096999999999994,0.0,0.13512259999999998,5.19462,0.21245,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.80 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_25_18_0011,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,11,330.995,350.394,19.399,335.495,333.179,331.02,335.495,344.485,驾驶员先动,-2.158999999999992,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,True,True,True,0.8,106.80176190476188,6.738911428571429,0.2672589999999999,0.3501704047619047,0.093268019047619,3.688020476190476,20.00969387751477,0.5077759999999999,51.834833333333336,3.4654711904761903,328.995,352.394,curve2|middle_section,弯道路段|连续超车负荷事件段,340.0,-0.694500000000005,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_25_18_0011.png,,True,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,5.287449999999999,1.682999999939966,0.05211234,0.113949,3.49844,51.84,0.507776,0.1817618,6.74562,0.267808,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 19.40 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\03_15到20秒_需要复核\0056_rec_v1_byx_2025_09_28_17_25_18_0011.png
rec_v1_byx_2025_09_28_17_46_00_0016,byx,2025_09_28_17_46_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,16,363.836,381.791,17.954999999999984,364.501,364.266,364.106,364.501,373.591,驾驶员先动,-0.160000000000025,极强,5,4.0,4.0,3.3897546594309387,方向盘快速操作,正常,True,False,True,True,0.8,112.36669696969696,7.642136212121213,0.4945549848484848,0.7466568787878788,0.1061934393939394,3.043427272727273,15.392328030419652,0.207396,23.60412121212121,3.446327272727273,361.836,383.791,middle_section|stop,前向急停|连续超车负荷事件段,370.605,-2.208499999999958,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.018200000000000216,0.17000000000552973,0.02304211,0.0772698,3.49895,23.61500000000001,0.207396,0.1950982,7.64333,0.498083,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 17.95 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,
rec_v1_cwh_2025_09_26_19_23_28_0000,cwh,2025_09_26_19_23_28,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_23_28_vehicle.csv,0,9.61,25.575,15.965,18.61,18.0,16.055,18.61,16.685,驾驶员先动,-1.9450000000000005,极强,3,4.0,4.0,1.786057683286108,方向盘快速操作,正常,True,False,True,True,0.8,0.1522984999999999,0.4414759411764706,0.0556885705882352,0.9772811470588234,0.0852785999999999,1.4303744705882353,3.00849480968858,0.2679519999999999,53.026370588235295,2.472351176470588,7.609999999999999,27.575,middle_section,连续超车负荷事件段,20.32,2.727499999999999,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.093625,0.6716500000001346,0.035161029999999996,0.290397,2.4965900000000003,53.0285,0.26795199999999997,0.1276167,0.536931,0.0557224,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.96 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,
rec_v1_cwh_2025_09_26_19_27_21_0016,cwh,2025_09_26_19_27_21,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,16,318.895,334.62,15.725000000000025,325.62,324.2,,325.62,325.54,缺少一方起点,,极强,4,1.7820145916868255,1.7820145916868255,0.617025,制动为主,正常,False,True,True,True,1.0,75.67104411764706,3.298732647058824,0.1552513823529411,0.042640544117647,0.0457717705882353,0.6434058647058822,1.047441176469459,0.0917024999999999,8.964211764705908,1.2591260000000002,316.895,336.62,,,263.4,-63.357500000000016,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0030799999999997496,0.013500000000021828,0.01014804,0.0231723,1.2592020000000002,8.968699999999998,0.09170249999999999,0.03740274,3.29939,0.155329,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.73 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,
rec_v1_cwh_2025_09_26_19_45_40_0011,cwh,2025_09_26_19_45_40,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_45_40_vehicle.csv,11,268.13,285.89,17.75999999999999,273.54,269.935,271.33,273.54,273.45,车辆先变化,1.3949999999999818,极强,5,4.0,4.0,1.5894287197229722,方向盘快速操作,正常,False,True,True,True,1.0,89.86593823529412,4.601461176470588,0.19231,0.1786513529411764,0.0633918470588235,1.991952382352941,3.1788574394459443,0.149115,19.02078823529413,3.4265894117647058,266.13,287.89,curve2|middle_section,弯道路段|连续超车负荷事件段,273.165,-3.8449999999999696,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,4.317394999999999,0.5950000000007094,0.02199595,0.065186,3.4916799999999997,19.023700000000005,0.149115,0.1204761,4.60928,0.192537,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 17.76 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,
rec_v1_cwh_2025_09_26_19_56_16_0006,cwh,2025_09_26_19_56_16,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_56_16_vehicle.csv,6,204.685,222.185,17.5,206.431,205.086,204.99,206.431,216.226,驾驶员先动,-0.0960000000000036,极强,5,4.0,4.0,3.64077896695831,方向盘快速操作,正常,True,False,True,True,0.8,126.8913787878788,3.852523181818182,0.1398625606060606,0.2006178636363636,0.0563179287878787,1.7059033484848487,7.625808102376347,0.0,32.70309090909092,3.448399090909091,202.685,224.185,fix_road,施工/维修变道/道路受限,216.49,3.055000000000007,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.004280000000000506,0.02550000000081809,0.00296099,0.0164178,3.49859,32.702499999999986,0.0,0.1048943,3.86102,0.140288,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 17.50 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,
rec_v1_cwh_2025_09_26_19_56_16_0007,cwh,2025_09_26_19_56_16,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_56_16_vehicle.csv,7,259.175,275.285,16.110000000000014,263.166,259.355,259.3,263.166,263.941,驾驶员先动,-0.0550000000000068,极强,5,4.0,4.0,1.942565881999636,方向盘快速操作,正常,False,True,True,True,1.0,91.8292818181818,4.695075303030303,0.2036003333333333,0.1254317121212121,0.0631085863636363,2.222084575757576,4.068809113871785,0.179393,14.219975757575751,3.338611060606061,257.175,277.285,curve2|middle_section,弯道路段|连续超车负荷事件段,264.985,-2.2450000000000045,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,3.8486100000000008,1.1900000000309774,0.029098979999999997,0.0575254,3.48154,14.228300000000004,0.179393,0.1260717,4.71127,0.204665,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 16.11 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,
