episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1,raw_feature_ok_v1_2,z_range_v1_2,z_rate_peak_v1_2,pitch_range_v1_2,pitch_rate_peak_v1_2,lat_offset_range_raw_v1_2,speed_range_raw_v1_2,brake_range_raw_v1_2,roll_range_raw_v1_2,ay_abs_peak_raw_v1_2,yaw_rate_abs_peak_raw_v1_2,duration_over_15s_v1_2,duration_over_20s_v1_2,height_jump_suspected_v1_2,pitch_jump_suspected_v1_2,lat_offset_extreme_suspected_v1_2,speed_range_extreme_suspected_v1_2,offroad_or_road_recovery_suspected_v1_2,v1_2_decision,v1_2_decision_cn,v1_2_decision_detail_cn,is_train_candidate_v1_2,is_deferred_v1_2,is_control_candidate_v1_2,is_discarded_v1_2,review_panel_v1_2_path
rec_v1_byx_2025_09_28_17_15_52_0007,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,7,163.885,200.55,36.66500000000002,164.405,164.14,164.05,164.405,168.225,驾驶员先动,-0.0899999999999749,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,139.83451470588233,7.268710882352941,0.3290892941176471,0.5341413529411765,0.0972551264705882,3.647189117647059,17.282746712797532,0.0,24.79855882352939,3.465107058823529,161.885,202.55,fix_road|middle_section,施工/维修变道/道路受限|连续超车负荷事件段,175.805,-6.412499999999994,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_15_52_0007.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_15_52_0007.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_15_52_0007_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.01188999999999929,0.07200000000000273,0.00756128,0.0360252,3.4970499999999998,24.80450000000002,0.0,0.17771520000000002,7.32192,0.329674,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 36.67 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0029_rec_v1_byx_2025_09_28_17_15_52_0007.png
rec_v1_byx_2025_09_28_17_35_43_0016,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,16,333.09,353.865,20.77500000000004,335.015,335.01,333.11,335.015,345.92,驾驶员先动,-1.8999999999999773,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,False,True,True,True,1.0,105.14826470588235,7.342365882352941,0.3805086176470588,0.3976938529411765,0.1110035882352941,4.196123529411764,11.02069342561556,0.37107,42.55711470588236,3.446101470588235,331.09,355.865,curve2|middle_section,弯道路段|连续超车负荷事件段,340.07,-3.4074999999999704,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,5.346420000000001,0.7855000000007522,0.04547908,0.135401,3.4988900000000003,42.58340000000001,0.37107,0.193771,7.3527,0.381268,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 20.78 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,
rec_v1_cwh_2025_09_26_19_27_21_0007,cwh,2025_09_26_19_27_21,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,7,117.285,138.48,21.195,123.545,122.73,117.84,123.545,128.335,驾驶员先动,-4.890000000000001,极强,5,4.0,4.0,3.14805,方向盘快速操作,正常,False,True,True,True,1.0,85.87209999999999,6.134442352941177,0.3172066764705882,0.2055614705882353,0.08457925,2.620058529411765,3.374100875433662,0.344805,42.50525588235294,3.3573247058823528,115.285,140.48,curve1,弯道路段,127.815,-0.0674999999999954,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,3.9447490000000007,0.3979999999996551,0.045225272999999996,0.111243,3.47882,42.51110000000001,0.34480500000000003,0.148822,6.14876,0.317823,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 21.20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0132_rec_v1_cwh_2025_09_26_19_27_21_0007.png
rec_v1_cwh_2025_09_26_19_27_21_0018,cwh,2025_09_26_19_27_21,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,18,392.83,413.84,21.00999999999999,395.745,395.74,393.16,395.745,407.28,驾驶员先动,-2.579999999999984,极强,5,4.0,4.0,2.19959,制动为主,正常,False,True,True,True,1.0,55.32401470588236,3.2878473529411765,0.2287762647058823,0.0497266705882352,0.0456288970588235,1.3993682117647055,1.2136453287201268,0.249959,66.11564705882354,3.697857647058824,390.83,415.84,,,263.4,-139.935,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.012710000000000221,0.053500000000099135,0.034040730000000005,0.161606,3.73982,66.1188,0.249959,0.0521044,3.29173,0.228847,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 21.01 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,
rec_v1_cwh_2025_09_26_19_45_40_0019,cwh,2025_09_26_19_45_40,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_45_40_vehicle.csv,19,447.11,471.805,24.695,449.835,449.83,,449.835,447.11,缺少一方起点,,极强,4,4.0,4.0,0.3,无明显操作,正常,False,True,True,True,1.0,93.34030735294118,3.7463273529411767,0.1531545,0.0400582911764705,0.0520100735294117,0.8457710882352941,0.5916046712791485,0.0466165,24.145797058823547,3.4931858823529414,445.11,473.805,differentmu_road,低附着路段,457.253,-2.204499999999996,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0038999999999997925,0.015000000000327418,0.007665600000000001,0.02097,3.49979,24.148500000000013,0.0466165,0.052319035,3.75058,0.153213,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 24.70 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0189_rec_v1_cwh_2025_09_26_19_45_40_0019.png
rec_v1_gf_2025_09_26_10_03_00_0008,gf,2025_09_26_10_03_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,8,324.114,344.559,20.44500000000005,331.539,324.51,331.914,331.539,332.135,车辆先变化,7.403999999999996,极强,5,4.0,4.0,2.895570339744493,方向盘快速操作,正常,True,True,True,True,0.0,79.05636212121212,5.368794848484848,0.2608766363636364,0.1409229848484848,0.0745202257575757,2.207255287878788,5.791140679488986,0.261416,35.302260606060614,3.390673333333333,322.114,346.559,curve2|middle_section,弯道路段|连续超车负荷事件段,333.6,-0.7364999999999782,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,4.083645,1.0327499999621068,0.02900461,0.0571601,3.4947,35.317,0.261416,0.1359505,5.37844,0.261333,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 20.45 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,
rec_v1_gf_2025_09_26_10_03_00_0014,gf,2025_09_26_10_03_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,14,555.454,589.224,33.770000000000095,558.544,555.965,555.97,558.544,582.38,车辆先变化,0.0049999999999954,极强,5,4.0,4.0,2.609048805393789,方向盘快速操作,正常,True,True,True,True,0.0,97.59547575757576,5.154871212121212,0.1900221969696969,0.1445863181818182,0.0717214954545454,1.4747799696969697,5.218097610787579,0.0,18.68557424242425,2.1169488787878787,553.454,591.224,differentmu_road,低附着路段,573.03,0.6910000000000309,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.004800000000001248,0.04250000000320142,0.00677559,0.0219313,2.117734,18.697500000000005,0.0,0.097086,5.1587,0.190227,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 33.77 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0247_rec_v1_gf_2025_09_26_10_03_00_0014.png
rec_v1_gf_2025_09_26_10_52_57_0008,gf,2025_09_26_10_52_57,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,8,299.94,321.72,21.78000000000003,308.605,300.289,300.18,308.605,308.814,驾驶员先动,-0.1089999999999804,极强,5,4.0,4.0,2.9830618229373616,方向盘快速操作,正常,True,True,True,True,0.0,87.10322857142856,5.107368095238095,0.2243132619047619,0.1694838333333333,0.0710251333333333,2.458476428571428,7.339436984145529,0.1901469999999999,27.004119047619056,3.3668819047619047,297.94,323.72,curve2|middle_section,弯道路段|连续超车负荷事件段,309.46,-1.3700000000000614,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,5.101919999999999,1.7000000000443833,0.01997409,0.0668267,3.48848,27.016599999999997,0.190147,0.14104719999999998,5.1206,0.224583,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 21.78 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0314_rec_v1_gf_2025_09_26_10_52_57_0008.png
rec_v1_gzj_2025_09_27_11_41_47_0013,gzj,2025_09_27_11_41_47,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,13,260.04,280.465,20.424999999999955,261.38,261.375,263.3,261.38,269.38,车辆先变化,1.925000000000012,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,True,True,True,0.8,108.44241176470588,11.127408235294116,0.3816282058823529,0.890506794117647,0.3024996470588235,5.934402941176471,14.216657439459286,0.928566,78.62237352941176,5.393830294117647,258.04,282.465,curve2|middle_section,弯道路段|连续超车负荷事件段,269.845,-0.4074999999999704,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,4.128710000000001,0.8700000000008004,0.0938864,0.411789,5.4202699999999995,78.65549999999999,0.928566,0.40608500000000003,12.024,0.384191,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 20.42 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,
rec_v1_hzh_2025_09_26_20_50_27_0011,hzh,2025_09_26_20_50_27,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_20_50_27_vehicle.csv,11,264.25,312.97,48.72000000000003,264.26,264.255,266.55,264.26,308.345,车辆先变化,2.295000000000016,极强,4,4.0,4.0,4.0,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,7.017529411764706,0.7588325588235294,0.160516794117647,1.856758823529412,0.3549422647058823,7.312843529411764,9.901704152245308,0.729649,12.522435294117646,17.157776176470588,262.25,314.97,fix_road,施工/维修变道/道路受限,300.702,12.091999999999985,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.5469200000000001,1.5634999999880392,0.26233290000000004,0.821858,17.181359999999998,12.5233,0.729649,0.468588,0.817223,0.160559,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 48.72 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0468_rec_v1_hzh_2025_09_26_20_50_27_0011.png
