episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1,raw_feature_ok_v1_2,z_range_v1_2,z_rate_peak_v1_2,pitch_range_v1_2,pitch_rate_peak_v1_2,lat_offset_range_raw_v1_2,speed_range_raw_v1_2,brake_range_raw_v1_2,roll_range_raw_v1_2,ay_abs_peak_raw_v1_2,yaw_rate_abs_peak_raw_v1_2,duration_over_15s_v1_2,duration_over_20s_v1_2,height_jump_suspected_v1_2,pitch_jump_suspected_v1_2,lat_offset_extreme_suspected_v1_2,speed_range_extreme_suspected_v1_2,offroad_or_road_recovery_suspected_v1_2,v1_2_decision,v1_2_decision_cn,v1_2_decision_detail_cn,is_train_candidate_v1_2,is_deferred_v1_2,is_control_candidate_v1_2,is_discarded_v1_2,review_panel_v1_2_path
rec_v1_byx_2025_09_28_17_05_51_0002,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,2,58.66,66.04,7.38000000000001,61.375,60.88,58.675,61.375,60.905,驾驶员先动,-2.2050000000000054,极强,5,4.0,4.0,2.6481548160291286,方向盘快速操作,正常,True,False,True,True,0.8,103.86608823529411,5.194861176470589,0.2980268235294118,0.3722925588235294,0.0734783647058823,2.961769117647058,5.801008996539441,0.288509,25.10274705882351,3.425921176470588,56.66,68.04,middle_section,连续超车负荷事件段,59.2,-3.1499999999999986,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0002.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0002.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0002_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.016585000000000016,0.06040000000002266,0.02799148,0.109151,3.4946599999999997,25.107600000000005,0.288509,0.1441086,5.20337,0.29898,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0002_rec_v1_byx_2025_09_28_17_05_51_0002.png
rec_v1_byx_2025_09_28_17_05_51_0006,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,6,189.26,199.955,10.695000000000022,190.915,190.25,190.095,190.915,196.34,驾驶员先动,-0.1550000000000011,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,117.27747058823527,5.318110588235294,0.2446968823529411,0.3794794999999999,0.0767942205882352,2.854135588235294,10.46176716263735,0.0,13.452764705882345,3.4723155882352943,187.26,201.955,middle_section,连续超车负荷事件段,196.75,2.142499999999984,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0006.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0006.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0006_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.009449999999999292,0.03300000000001546,0.00755487,0.0277498,3.49696,13.453999999999994,0.0,0.1399304,5.3184,0.245007,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0006_rec_v1_byx_2025_09_28_17_05_51_0006.png
rec_v1_byx_2025_09_28_17_05_51_0007,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,7,219.17,228.175,9.005000000000024,220.31,220.135,219.955,220.31,222.415,驾驶员先动,-0.1799999999999784,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,113.215,7.936059411764706,0.5199608235294118,0.7027885588235294,0.110123294117647,3.747250294117647,10.819016851204648,0.0897171,16.490411764705897,3.4023652941176468,217.17,230.175,fix_road,施工/维修变道/道路受限,223.115,-0.5575000000000045,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0007.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0007.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0007_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.015979999999999883,0.09050000000002001,0.01074599,0.0318427,3.4903399999999998,16.497000000000014,0.0897171,0.1961674,8.03359,0.520831,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0007_rec_v1_byx_2025_09_28_17_05_51_0007.png
rec_v1_byx_2025_09_28_17_05_51_0008,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,8,241.605,246.47,4.865000000000009,245.01,244.29,241.63,245.01,245.855,驾驶员先动,-2.6599999999999966,极强,5,4.0,4.0,3.4775296264306608,方向盘快速操作,正常,True,False,True,True,0.8,75.28345882352941,4.409838235294117,0.3190329117647059,0.2449126764705882,0.0629571,2.998140823529412,7.617825259516401,0.617348,56.51421176470588,3.346148235294118,239.605,248.47,fix_road,施工/维修变道/道路受限,245.403,1.3654999999999973,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0008.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0008.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0008_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.019870000000000054,0.07400000000006912,0.055843149999999994,0.0976902,3.48415,56.535500000000006,0.617348,0.1126221,4.4116,0.320094,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0008_rec_v1_byx_2025_09_28_17_05_51_0008.png
rec_v1_byx_2025_09_28_17_05_51_0009,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,9,257.82,267.285,9.465000000000032,258.86,258.425,258.265,258.86,266.095,驾驶员先动,-0.160000000000025,极强,4,4.0,4.0,2.798527719633097,方向盘快速操作,正常,True,False,True,True,0.8,111.67166176470587,4.914154705882353,0.1779825588235294,0.2640873823529411,0.0704218617647058,2.325115294117647,6.130413667808021,0.0,10.46691176470587,3.487218235294118,255.82,269.285,fix_road,施工/维修变道/道路受限,264.921,2.368499999999983,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0009.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0009.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0009_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.007029999999999426,0.020500000000083674,0.00638876,0.0128888,3.49844,10.468999999999994,0.0,0.12417810000000001,4.91931,0.178149,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0009_rec_v1_byx_2025_09_28_17_05_51_0009.png
rec_v1_byx_2025_09_28_17_05_51_0011,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,11,328.29,338.59,10.299999999999956,329.26,328.48,328.35,329.26,336.85,驾驶员先动,-0.1299999999999954,极强,5,4.0,4.0,3.348669909598656,方向盘快速操作,正常,True,False,True,True,0.8,120.95588235294116,6.511945882352941,0.2181542647058823,0.3197869117647058,0.0897850705882352,3.1433829411764704,7.335547058820085,0.0,5.811117647058822,3.440872647058824,326.29,340.59,curve2,弯道路段,326.75,-6.689999999999998,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0011.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0011.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0011_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.009399999999999409,0.040000000000190994,0.00760504,0.023065,3.49629,5.814000000000007,0.0,0.1583526,6.51872,0.21841,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0011_rec_v1_byx_2025_09_28_17_05_51_0011.png
rec_v1_byx_2025_09_28_17_05_51_0013,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,13,349.37,361.085,11.714999999999977,352.245,350.705,350.71,352.245,352.135,车辆先变化,0.0049999999999954,极强,5,4.0,4.0,2.9715834899970344,方向盘快速操作,正常,True,False,True,True,0.8,138.99008823529408,5.566652352941176,0.2464589117647058,0.3551148823529411,0.0782566205882352,2.433450882352941,6.509507093429409,0.0,8.018000000000029,3.4529441176470588,347.37,363.085,middle_section,连续超车负荷事件段,352.805,-2.422499999999957,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0013.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0013.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0013_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.007500000000000284,0.049999999999954525,0.00471495,0.00868276,3.49592,8.021000000000015,0.0,0.14258579999999998,5.58881,0.246733,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0013_rec_v1_byx_2025_09_28_17_05_51_0013.png
rec_v1_byx_2025_09_28_17_05_51_0014,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,14,372.595,380.475,7.8799999999999955,372.81,372.805,373.065,372.81,374.165,车辆先变化,0.2599999999999909,极强,5,4.0,4.0,3.22491263533051,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,110.15510294117648,5.670134411764706,0.2655552647058823,0.2821775294117647,0.0799354999999999,2.656245882352941,7.064446193768239,0.355766,20.217352941176472,3.4652720588235293,370.595,382.475,stop,前向急停,375.01,-1.525000000000034,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0014.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0014.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0014_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.014099999999999113,0.0649999999998272,0.03323051,0.102479,3.49831,20.218000000000004,0.355766,0.1568706,5.67314,0.266375,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0014_rec_v1_byx_2025_09_28_17_05_51_0014.png
rec_v1_byx_2025_09_28_17_05_51_0015,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,15,391.865,397.66,5.795000000000016,392.295,392.29,,392.295,394.98,缺少一方起点,,极强,2,4.0,4.0,0.9900020400300932,弱操作,正常,True,False,True,True,0.8,124.00113235294116,3.638176470588234,0.1330566764705882,0.1355040588235294,0.0495165470588235,1.3725884117647058,2.1686839100360964,0.0,4.784676470588238,3.436920588235294,389.865,399.66,stop,前向急停,392.6,-2.1625000000000227,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0015.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0015_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0032999999999994145,0.010000000000218279,0.006250250000000001,0.0127162,3.49688,4.786500000000004,0.0,0.0905308,3.64036,0.133229,False,False,False,False,False,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\02_主训练_保守弱操作极限事件\0015_rec_v1_byx_2025_09_28_17_05_51_0015.png
rec_v1_byx_2025_09_28_17_05_51_0016,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,16,401.085,404.195,3.1100000000000136,402.405,402.4,,402.405,402.26,缺少一方起点,,极强,2,4.0,4.0,0.8698500811474918,弱操作,正常,True,False,True,True,0.8,127.0075,3.127774117647059,0.1112037647058823,0.1096496764705882,0.0420533117647058,0.9756850294117648,1.9054807958484776,0.0,1.7813823529411792,3.40937794117647,399.085,406.195,,,410.3,7.660000000000025,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0016.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_05_51_0016.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0016_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.002200000000000202,0.010000000000218279,0.0025748100000000003,0.00782352,3.49066,1.7819999999999823,0.0,0.06873850000000001,3.13067,0.111348,False,False,False,False,False,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\02_主训练_保守弱操作极限事件\0016_rec_v1_byx_2025_09_28_17_05_51_0016.png
