episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1,raw_feature_ok_v1_2,z_range_v1_2,z_rate_peak_v1_2,pitch_range_v1_2,pitch_rate_peak_v1_2,lat_offset_range_raw_v1_2,speed_range_raw_v1_2,brake_range_raw_v1_2,roll_range_raw_v1_2,ay_abs_peak_raw_v1_2,yaw_rate_abs_peak_raw_v1_2,duration_over_15s_v1_2,duration_over_20s_v1_2,height_jump_suspected_v1_2,pitch_jump_suspected_v1_2,lat_offset_extreme_suspected_v1_2,speed_range_extreme_suspected_v1_2,offroad_or_road_recovery_suspected_v1_2,v1_2_decision,v1_2_decision_cn,v1_2_decision_detail_cn,is_train_candidate_v1_2,is_deferred_v1_2,is_control_candidate_v1_2,is_discarded_v1_2,review_panel_v1_2_path,raw_feature_ok_v1_3,z_residual_range_v1_3,z_residual_rate_peak_v1_3,z_trend_ratio_v1_3,z_monotonic_fraction_v1_3,lat_offset_adjacent_jump_peak_v1_3,lat_offset_large_jump_count_v1_3,speed_drop_from_start_v1_3,speed_drop_peak_to_peak_v1_3,brake_peak_v1_3,pitch_residual_range_v1_3,road_grade_like_z_v1_3,z_transient_suspected_v1_3,lat_offset_jump_suspected_v1_3,speed_brake_response_suspected_v1_3,roadedge_or_offroad_suspected_v1_3,v1_3_decision,v1_3_decision_cn,v1_3_decision_detail_cn,is_train_candidate_v1_3,is_deferred_v1_3,is_control_candidate_v1_3,is_discarded_v1_3,review_panel_v1_3_path
rec_v1_byx_2025_09_28_17_25_18_0008,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,8,226.69,242.49,15.800000000000011,226.71,226.695,228.06,226.71,235.539,车辆先变化,1.365000000000009,极强,4,4.0,4.0,4.0,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,114.40838095238097,5.192539047619047,0.2121904761904761,0.294967619047619,0.071056669047619,2.5033609047619043,21.10448134915308,0.0,4.095476190476177,3.373318333333333,224.69,244.49,fix_road,施工/维修变道/道路受限,225.305,-9.284999999999997,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_25_18_0008.png,,True,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0061200000000001,0.0552499999994324,0.0017165699999999,0.00723586,3.49338,4.096999999999994,0.0,0.1351225999999999,5.19462,0.21245,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.80 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.006173346361770804,0.05522365611729063,1.0087167257795266,0.6025316455696202,1.744,14,4.0859999999999985,4.096999999999994,0.03,0.0018261365268432053,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.80 秒，先进入复核而不直接训练,False,True,False,False,
rec_v1_cwh_2025_09_26_19_27_21_0016,cwh,2025_09_26_19_27_21,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,16,318.895,334.62,15.725000000000025,325.62,324.2,,325.62,325.54,缺少一方起点,,极强,4,1.7820145916868255,1.7820145916868255,0.617025,制动为主,正常,False,True,True,True,1.0,75.67104411764706,3.298732647058824,0.1552513823529411,0.042640544117647,0.0457717705882353,0.6434058647058822,1.047441176469459,0.0917024999999999,8.964211764705908,1.2591260000000002,316.895,336.62,,,263.4,-63.357500000000016,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0030799999999997,0.0135000000000218,0.01014804,0.0231723,1.2592020000000002,8.968699999999998,0.0917024999999999,0.03740274,3.29939,0.155329,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.73 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.003031856482309081,0.013561731201429242,0.9843689877627845,0.7547289779049435,0.0015650000000000386,0,6.032199999999989,8.968699999999998,0.0617025,0.010044946611713578,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.73 秒，先进入复核而不直接训练,False,True,False,False,
rec_v1_cwh_2025_09_26_19_56_16_0012,cwh,2025_09_26_19_56_16,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_56_16_vehicle.csv,12,386.655,402.28,15.625,387.765,387.755,388.696,387.765,391.741,车辆先变化,0.9410000000000308,极强,5,4.0,4.0,3.011292144881818,方向盘快速操作,正常,True,False,True,True,0.2,114.1779393939394,3.5617683333333336,0.1457385454545454,0.1840599696969697,0.0495648409090909,1.4724763636363636,6.30731396919899,0.0537723,10.071803030303045,3.439192424242424,384.655,404.28,differentmu_road|middle_section,低附着路段|连续超车负荷事件段,391.706,-2.7614999999999554,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.004199999999999,0.0425000000025193,0.0074832799999999,0.0206611,3.49859,10.0745,0.0537722999999999,0.0902439999999999,3.57165,0.1465,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.62 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.003995912917469369,0.04264937136375358,0.9514078374929335,0.9488,1.748345,16,10.0745,10.0745,0.03,0.006415016290946797,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.62 秒，先进入复核而不直接训练,False,True,False,False,
rec_v1_gf_2025_09_26_10_03_00_0006,gf,2025_09_26_10_03_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,6,265.405,281.625,16.220000000000027,266.779,265.549,265.45,266.779,266.675,驾驶员先动,-0.0989999999999895,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.0,113.41624242424244,4.096301212121212,0.1661930757575757,0.2364305454545454,0.0547733,1.7822823181818184,12.081288843066153,0.0,16.448757575757583,3.2709127272727274,263.405,283.625,fix_road,施工/维修变道/道路受限,273.485,-0.0299999999999727,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0049899999999993,0.0297500000015134,0.00663116,0.0246,3.48749,16.454499999999996,0.0,0.1037297,4.1039,0.166651,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 16.22 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.005047503787340979,0.02981211796783942,1.0115238050784945,0.7441430332922319,1.743745,2,1.4765000000000015,16.454499999999996,0.03,0.006586072212896536,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 16.22 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0239_rec_v1_gf_2025_09_26_10_03_00_0006.png
rec_v1_gf_2025_09_26_10_18_49_0013,gf,2025_09_26_10_18_49,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_18_49_vehicle.csv,13,482.563,499.978,17.41500000000002,487.435,482.72,484.755,487.435,491.538,车辆先变化,2.034999999999968,极强,5,4.0,4.0,2.085249341902085,方向盘快速操作,正常,True,True,True,True,0.0,116.16766666666666,8.05796712121212,0.3123997121212121,1.2054375909090909,0.1832639999999999,2.376827287878788,4.170498683804171,0.0,7.980196969696976,5.500919242424242,480.563,501.978,differentmu_road,低附着路段,495.711,4.440500000000043,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.2469999999999999,0.7583333333309383,0.03117065,0.287628,5.50168,7.986000000000004,0.0,0.242476,10.0506,0.318963,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 17.42 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.24170206848550357,0.7566514503106276,0.978550884556695,0.8397932816537468,0.01759000000000005,0,7.373500000000007,7.986000000000004,0.03,0.03150805742344573,False,True,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 17.42 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0265_rec_v1_gf_2025_09_26_10_18_49_0013.png
rec_v1_gf_2025_09_26_10_30_12_0014,gf,2025_09_26_10_30_12,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_30_12_vehicle.csv,14,459.675,476.39,16.714999999999975,472.865,459.835,463.625,472.865,473.81,车辆先变化,3.790000000000021,极强,5,4.0,4.0,1.8575947231850805,方向盘快速操作,正常,True,True,True,True,0.0,112.88029411764704,10.223692647058822,0.4968911470588236,0.7828494705882353,0.1485845588235294,2.1349171176470585,3.715189446370161,0.0,14.84676470588235,2.2082214705882355,457.675,478.39,,,480.413,12.380499999999984,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0944000000000002,0.6449999999954343,0.07466884,0.508238,2.20839,14.848000000000011,0.0,0.1664277,10.3643,0.505023,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 16.71 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.09496641411031526,0.5656824266393727,1.0060001494736763,0.8932256617317182,0.008534000000000042,0,13.960500000000025,14.848000000000013,0.03,0.07480933213956809,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 16.71 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0284_rec_v1_gf_2025_09_26_10_30_12_0014.png
rec_v1_gzj_2025_09_27_11_41_47_0014,gzj,2025_09_27_11_41_47,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,14,289.345,308.435,19.08999999999997,289.355,289.35,292.545,289.355,302.145,车辆先变化,3.194999999999993,极强,5,4.0,4.0,3.4091928894786108,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,115.5088823529412,5.587190882352941,0.3077489705882353,0.4601452058823529,0.0799765558823529,2.8885214705882354,8.886471903115414,0.0,29.19849999999998,3.46885,287.345,310.435,curve2,弯道路段,292.605,-6.284999999999968,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0126999999999988,0.0699999999999363,0.006885941,0.0650055,3.49946,29.200500000000005,0.0,0.1511714,5.59595,0.309099,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 19.09 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\03_15到20秒_需要复核\0345_rec_v1_gzj_2025_09_27_11_41_47_0014.png,True,0.012723368059123885,0.06505699526619202,1.0018400046555187,0.8915804635328008,1.7483950000000001,22,0.019499999999993634,29.200500000000005,0.03,0.007298957047940094,False,False,True,True,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 19.09 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0345_rec_v1_gzj_2025_09_27_11_41_47_0014.png
rec_v1_hzh_2025_09_26_21_03_19_0005,hzh,2025_09_26_21_03_19,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_03_19_vehicle.csv,5,160.686,176.665,15.978999999999983,161.826,161.43,161.751,161.826,163.981,车辆先变化,0.3209999999999979,极强,5,4.0,4.0,3.521195416691424,方向盘快速操作,正常,True,False,True,True,0.8,101.49766666666667,5.814303636363636,0.2710311363636363,0.3249988636363636,0.0808972166666666,2.954982272727273,11.971975174478542,0.0,13.92343939393939,3.397280909090909,158.686,178.665,middle_section,连续超车负荷事件段,166.371,-2.3044999999999902,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0071199999999995,0.0552499999984092,0.00725841,0.0143527,3.49675,13.930700000000002,0.0,0.1503941,5.81593,0.271549,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.98 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.007165347263835997,0.05531211953956665,1.0063689977298456,0.6886246283836646,1.746645,16,13.294200000000004,13.930700000000002,0.03,0.00830002249386728,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.98 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0494_rec_v1_hzh_2025_09_26_21_03_19_0005.png
rec_v1_hzh_2025_09_26_21_17_02_0020,hzh,2025_09_26_21_17_02,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,20,362.43,379.825,17.394999999999982,363.675,362.58,362.48,363.675,362.835,驾驶员先动,-0.0999999999999659,极强,5,4.0,4.0,1.50882,方向盘快速操作,正常,True,False,True,True,0.8,90.71948823529412,3.199773823529412,0.1380549411764706,0.1491321176470588,0.0444075529411764,1.429763411764706,2.794490034597758,0.180882,9.362858823529422,3.430630588235294,360.43,381.825,curve2,弯道路段,362.8,-8.327499999999986,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0077999999999995,0.0350000000000818,0.01808195,0.0613059,3.49865,9.3694,0.180882,0.0872788999999999,3.20177,0.138122,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 17.39 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.006296054426380593,0.03516297349793618,0.8071864649206406,0.9545911768932318,1.745945,6,8.793199999999999,9.369399999999999,0.150882,0.014205735843165852,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 17.39 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0533_rec_v1_hzh_2025_09_26_21_17_02_0020.png
rec_v1_hzh_2025_09_26_21_17_02_0031,hzh,2025_09_26_21_17_02,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,31,548.94,568.55,19.6099999999999,549.0,548.995,,549.0,564.75,缺少一方起点,,极强,5,4.0,4.0,0.9504801764714526,弱操作,可能切在事件中段,False,True,True,True,1.0,80.83001176470589,3.372291470588235,0.1541191470588235,0.1014337352941176,0.0477877823529411,1.124992970588235,1.900960352942905,0.0,11.232714705882344,3.49133,546.94,570.55,differentmu_road,低附着路段,564.262,5.516999999999939,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.002600000000001,0.0150000000001,0.00340679,0.0185866,3.49944,11.234800000000009,0.0,0.0642566,3.37413,0.154331,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 19.61 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\03_15到20秒_需要复核\0544_rec_v1_hzh_2025_09_26_21_17_02_0031.png,True,0.0026497679734287516,0.01500619004667613,1.0191415282414356,0.9599745060548119,1.749465,16,0.20140000000000668,11.234800000000007,0.03,0.0033298919868155557,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 19.61 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0544_rec_v1_hzh_2025_09_26_21_17_02_0031.png
