v1_3_decision,duration_bin,count
control_normal_or_curve,0-5,3
control_normal_or_curve,5-10,0
control_normal_or_curve,10-15,0
control_normal_or_curve,15-20,0
control_normal_or_curve,20-30,0
control_normal_or_curve,30-60,0
control_normal_or_curve,>60,0
defer_long_merged,0-5,0
defer_long_merged,5-10,0
defer_long_merged,10-15,0
defer_long_merged,15-20,0
defer_long_merged,20-30,8
defer_long_merged,30-60,1
defer_long_merged,>60,0
defer_roadedge_or_offroad,0-5,35
defer_roadedge_or_offroad,5-10,126
defer_roadedge_or_offroad,10-15,104
defer_roadedge_or_offroad,15-20,53
defer_roadedge_or_offroad,20-30,0
defer_roadedge_or_offroad,30-60,0
defer_roadedge_or_offroad,>60,0
defer_roadedge_or_offroad_long,0-5,0
defer_roadedge_or_offroad_long,5-10,0
defer_roadedge_or_offroad_long,10-15,0
defer_roadedge_or_offroad_long,15-20,0
defer_roadedge_or_offroad_long,20-30,47
defer_roadedge_or_offroad_long,30-60,23
defer_roadedge_or_offroad_long,>60,4
defer_roadedge_or_offroad_user_feedback,0-5,0
defer_roadedge_or_offroad_user_feedback,5-10,1
defer_roadedge_or_offroad_user_feedback,10-15,0
defer_roadedge_or_offroad_user_feedback,15-20,0
defer_roadedge_or_offroad_user_feedback,20-30,0
defer_roadedge_or_offroad_user_feedback,30-60,0
defer_roadedge_or_offroad_user_feedback,>60,0
discard_prior_review,0-5,266
discard_prior_review,5-10,62
discard_prior_review,10-15,25
discard_prior_review,15-20,18
discard_prior_review,20-30,8
discard_prior_review,30-60,1
discard_prior_review,>60,0
review_curve_high_dynamics,0-5,0
review_curve_high_dynamics,5-10,5
review_curve_high_dynamics,10-15,10
review_curve_high_dynamics,15-20,0
review_curve_high_dynamics,20-30,0
review_curve_high_dynamics,30-60,0
review_curve_high_dynamics,>60,0
review_duration_15_20s,0-5,0
review_duration_15_20s,5-10,0
review_duration_15_20s,10-15,0
review_duration_15_20s,15-20,36
review_duration_15_20s,20-30,0
review_duration_15_20s,30-60,0
review_duration_15_20s,>60,0
review_long_curve_or_grade,0-5,0
review_long_curve_or_grade,5-10,0
review_long_curve_or_grade,10-15,0
review_long_curve_or_grade,15-20,63
review_long_curve_or_grade,20-30,43
review_long_curve_or_grade,30-60,3
review_long_curve_or_grade,>60,0
review_long_curve_or_grade_user_feedback,0-5,0
review_long_curve_or_grade_user_feedback,5-10,0
review_long_curve_or_grade_user_feedback,10-15,0
review_long_curve_or_grade_user_feedback,15-20,0
review_long_curve_or_grade_user_feedback,20-30,1
review_long_curve_or_grade_user_feedback,30-60,0
review_long_curve_or_grade_user_feedback,>60,0
train_conservative_extreme,0-5,242
train_conservative_extreme,5-10,81
train_conservative_extreme,10-15,25
train_conservative_extreme,15-20,0
train_conservative_extreme,20-30,0
train_conservative_extreme,30-60,0
train_conservative_extreme,>60,0
train_target_extreme,0-5,136
train_target_extreme,5-10,236
train_target_extreme,10-15,100
train_target_extreme,15-20,0
train_target_extreme,20-30,0
train_target_extreme,30-60,0
train_target_extreme,>60,0
