v1_3_decision,subject,count
control_normal_or_curve,lxy,1
control_normal_or_curve,txj,2
defer_long_merged,cwh,1
defer_long_merged,gf,1
defer_long_merged,hzh,2
defer_long_merged,jy,1
defer_long_merged,lx,1
defer_long_merged,zdq,2
defer_long_merged,zxy,1
defer_roadedge_or_offroad,byx,19
defer_roadedge_or_offroad,cwh,9
defer_roadedge_or_offroad,gf,10
defer_roadedge_or_offroad,gzj,18
defer_roadedge_or_offroad,hzh,24
defer_roadedge_or_offroad,jy,18
defer_roadedge_or_offroad,lx,5
defer_roadedge_or_offroad,lxy,15
defer_roadedge_or_offroad,rjy,14
defer_roadedge_or_offroad,txj,33
defer_roadedge_or_offroad,tyy,17
defer_roadedge_or_offroad,xst,2
defer_roadedge_or_offroad,yyl,15
defer_roadedge_or_offroad,yzy,28
defer_roadedge_or_offroad,zdq,19
defer_roadedge_or_offroad,zt,9
defer_roadedge_or_offroad,zx,46
defer_roadedge_or_offroad,zxy,17
defer_roadedge_or_offroad_long,byx,6
defer_roadedge_or_offroad_long,cwh,1
defer_roadedge_or_offroad_long,gzj,1
defer_roadedge_or_offroad_long,hzh,3
defer_roadedge_or_offroad_long,jy,5
defer_roadedge_or_offroad_long,lx,1
defer_roadedge_or_offroad_long,lxy,5
defer_roadedge_or_offroad_long,rjy,3
defer_roadedge_or_offroad_long,txj,7
defer_roadedge_or_offroad_long,tyy,3
defer_roadedge_or_offroad_long,xst,3
defer_roadedge_or_offroad_long,yyl,4
defer_roadedge_or_offroad_long,yzy,6
defer_roadedge_or_offroad_long,zdq,7
defer_roadedge_or_offroad_long,zx,11
defer_roadedge_or_offroad_long,zxy,8
defer_roadedge_or_offroad_user_feedback,byx,1
discard_prior_review,byx,32
discard_prior_review,cwh,23
discard_prior_review,gf,23
discard_prior_review,gzj,27
discard_prior_review,hzh,27
discard_prior_review,jy,29
discard_prior_review,lx,7
discard_prior_review,lxy,22
discard_prior_review,rjy,15
discard_prior_review,txj,30
discard_prior_review,tyy,12
discard_prior_review,xst,2
discard_prior_review,yyl,16
discard_prior_review,yzy,18
discard_prior_review,zdq,26
discard_prior_review,zt,5
discard_prior_review,zx,41
discard_prior_review,zxy,25
review_curve_high_dynamics,byx,2
review_curve_high_dynamics,gzj,2
review_curve_high_dynamics,hzh,1
review_curve_high_dynamics,lxy,2
review_curve_high_dynamics,txj,3
review_curve_high_dynamics,tyy,1
review_curve_high_dynamics,zdq,1
review_curve_high_dynamics,zt,1
review_curve_high_dynamics,zx,1
review_curve_high_dynamics,zxy,1
review_duration_15_20s,byx,1
review_duration_15_20s,cwh,2
review_duration_15_20s,gf,3
review_duration_15_20s,gzj,1
review_duration_15_20s,hzh,4
review_duration_15_20s,jy,4
review_duration_15_20s,lxy,1
review_duration_15_20s,rjy,2
review_duration_15_20s,txj,2
review_duration_15_20s,tyy,1
review_duration_15_20s,yyl,3
review_duration_15_20s,yzy,1
review_duration_15_20s,zdq,2
review_duration_15_20s,zt,3
review_duration_15_20s,zx,1
review_duration_15_20s,zxy,5
review_long_curve_or_grade,byx,7
review_long_curve_or_grade,cwh,9
review_long_curve_or_grade,gf,9
review_long_curve_or_grade,gzj,7
review_long_curve_or_grade,hzh,8
review_long_curve_or_grade,jy,8
review_long_curve_or_grade,lx,2
review_long_curve_or_grade,lxy,4
review_long_curve_or_grade,rjy,9
review_long_curve_or_grade,txj,4
review_long_curve_or_grade,tyy,2
review_long_curve_or_grade,xst,2
review_long_curve_or_grade,yyl,6
review_long_curve_or_grade,yzy,8
review_long_curve_or_grade,zdq,7
review_long_curve_or_grade,zt,1
review_long_curve_or_grade,zx,12
review_long_curve_or_grade,zxy,4
review_long_curve_or_grade_user_feedback,gzj,1
train_conservative_extreme,byx,24
train_conservative_extreme,cwh,35
train_conservative_extreme,gf,19
train_conservative_extreme,gzj,19
train_conservative_extreme,hzh,51
train_conservative_extreme,jy,24
train_conservative_extreme,lx,11
train_conservative_extreme,lxy,12
train_conservative_extreme,rjy,16
train_conservative_extreme,txj,22
train_conservative_extreme,tyy,11
train_conservative_extreme,xst,5
train_conservative_extreme,yyl,18
train_conservative_extreme,yzy,19
train_conservative_extreme,zdq,12
train_conservative_extreme,zt,5
train_conservative_extreme,zx,16
train_conservative_extreme,zxy,29
train_target_extreme,byx,29
train_target_extreme,cwh,32
train_target_extreme,gf,28
train_target_extreme,gzj,55
train_target_extreme,hzh,50
train_target_extreme,jy,11
train_target_extreme,lx,10
train_target_extreme,lxy,21
train_target_extreme,rjy,33
train_target_extreme,txj,12
train_target_extreme,tyy,24
train_target_extreme,xst,5
train_target_extreme,yyl,35
train_target_extreme,yzy,23
train_target_extreme,zdq,8
train_target_extreme,zt,2
train_target_extreme,zx,60
train_target_extreme,zxy,34
