episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1,raw_feature_ok_v1_2,z_range_v1_2,z_rate_peak_v1_2,pitch_range_v1_2,pitch_rate_peak_v1_2,lat_offset_range_raw_v1_2,speed_range_raw_v1_2,brake_range_raw_v1_2,roll_range_raw_v1_2,ay_abs_peak_raw_v1_2,yaw_rate_abs_peak_raw_v1_2,duration_over_15s_v1_2,duration_over_20s_v1_2,height_jump_suspected_v1_2,pitch_jump_suspected_v1_2,lat_offset_extreme_suspected_v1_2,speed_range_extreme_suspected_v1_2,offroad_or_road_recovery_suspected_v1_2,v1_2_decision,v1_2_decision_cn,v1_2_decision_detail_cn,is_train_candidate_v1_2,is_deferred_v1_2,is_control_candidate_v1_2,is_discarded_v1_2,review_panel_v1_2_path,raw_feature_ok_v1_3,z_residual_range_v1_3,z_residual_rate_peak_v1_3,z_trend_ratio_v1_3,z_monotonic_fraction_v1_3,lat_offset_adjacent_jump_peak_v1_3,lat_offset_large_jump_count_v1_3,speed_drop_from_start_v1_3,speed_drop_peak_to_peak_v1_3,brake_peak_v1_3,pitch_residual_range_v1_3,road_grade_like_z_v1_3,z_transient_suspected_v1_3,lat_offset_jump_suspected_v1_3,speed_brake_response_suspected_v1_3,roadedge_or_offroad_suspected_v1_3,v1_3_decision,v1_3_decision_cn,v1_3_decision_detail_cn,is_train_candidate_v1_3,is_deferred_v1_3,is_control_candidate_v1_3,is_discarded_v1_3,review_panel_v1_3_path
rec_v1_byx_2025_09_28_17_05_51_0002,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,2,58.66,66.04,7.38000000000001,61.375,60.88,58.675,61.375,60.905,驾驶员先动,-2.2050000000000054,极强,5,4.0,4.0,2.6481548160291286,方向盘快速操作,正常,True,False,True,True,0.8,103.86608823529411,5.194861176470589,0.2980268235294118,0.3722925588235294,0.0734783647058823,2.961769117647058,5.801008996539441,0.288509,25.10274705882351,3.425921176470588,56.66,68.04,middle_section,连续超车负荷事件段,59.2,-3.1499999999999986,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0002.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0002.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0002_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.016585,0.0604000000000226,0.02799148,0.109151,3.49466,25.107600000000005,0.288509,0.1441086,5.20337,0.29898,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0002_rec_v1_byx_2025_09_28_17_05_51_0002.png,True,0.011977585432125043,0.06324702532076792,0.7221938759195082,0.5099898408398239,1.74496,6,25.107600000000005,25.107600000000005,0.258509,0.027624838467745855,False,False,True,True,True,defer_roadedge_or_offroad_user_feedback,用户复核指出：该样本更像上下马路/路边恢复，不应作为目标极限工况主训练样本,用户复核指出：该样本更像上下马路/路边恢复，不应作为目标极限工况主训练样本,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\06_疑似路边恢复或上下马路_暂缓\0002_rec_v1_byx_2025_09_28_17_05_51_0002.png
rec_v1_byx_2025_09_28_17_05_51_0003,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,3,85.52,115.09,29.570000000000007,88.915,87.885,85.535,88.915,89.78,驾驶员先动,-2.3500000000000085,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,40.35862647058824,12.06524705882353,1.8120329411764708,2.808229117647059,0.708968794117647,5.632015588235294,11.45355259516015,0.465048,139.62932352941175,22.739167058823533,83.52,117.09,curve1|middle_section,弯道路段|连续超车负荷事件段,95.64,-4.665000000000006,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0003.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0003.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0003_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.951245,2.7467129999974333,0.511833,1.73847,22.80392,139.637,0.465048,1.117125,12.1978,1.81476,True,True,False,True,True,True,True,defer_offroad_recovery_long,持续时间超过 20 秒且存在高度/俯仰/横向偏移异常，疑似上下马路或路外恢复误合并,持续时间 29.57 秒且存在高度/俯仰/横向偏移异常，疑似上下马路或路外恢复误合并,False,True,False,False,,True,0.9365231932748187,2.6747347132870267,0.9845236435143614,0.631752472736495,1.73913,22,139.637,139.637,0.435048,0.5034049347759538,False,True,True,True,True,defer_roadedge_or_offroad_long,20 秒以上且存在路边/上下马路风险，暂不进入主训练,持续时间 29.57 秒且存在路边/上下马路风险，暂不进入主训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\06_疑似路边恢复或上下马路_暂缓\0003_rec_v1_byx_2025_09_28_17_05_51_0003.png
rec_v1_byx_2025_09_28_17_05_51_0005,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,5,158.04,183.55,25.51000000000002,159.71,158.81,158.06,159.71,178.91,驾驶员先动,-0.75,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,True,True,True,0.8,91.6337411764706,6.704544411764705,0.3955263235294117,0.4701772647058824,0.0947753647058823,4.664638235294118,15.97875294118921,0.529244,36.27670882352941,3.4680785294117644,156.04,185.55,curve1,弯道路段,171.265,0.4699999999999704,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0005.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0005.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0005_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,7.002543,1.3374999999957708,0.0848415954,0.108045,3.49884,36.2878,0.529244,0.1879764,6.71268,0.396939,True,True,True,False,False,False,True,defer_offroad_recovery_long,持续时间超过 20 秒且存在高度/俯仰/横向偏移异常，疑似上下马路或路外恢复误合并,持续时间 25.51 秒且存在高度/俯仰/横向偏移异常，疑似上下马路或路外恢复误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\04_疑似上下马路或路外恢复\0005_rec_v1_byx_2025_09_28_17_05_51_0005.png,True,2.547842255163771,1.0502905745542392,0.36384528522906195,0.8594806467417933,1.74803,16,36.287800000000004,36.287800000000004,0.499244,0.08010653895622669,False,True,True,True,True,defer_roadedge_or_offroad_long,20 秒以上且存在路边/上下马路风险，暂不进入主训练,持续时间 25.51 秒且存在路边/上下马路风险，暂不进入主训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_05_51_0008,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,8,241.605,246.47,4.865000000000009,245.01,244.29,241.63,245.01,245.855,驾驶员先动,-2.6599999999999966,极强,5,4.0,4.0,3.4775296264306608,方向盘快速操作,正常,True,False,True,True,0.8,75.28345882352941,4.409838235294117,0.3190329117647059,0.2449126764705882,0.0629571,2.998140823529412,7.617825259516401,0.617348,56.51421176470588,3.346148235294118,239.605,248.47,fix_road,施工/维修变道/道路受限,245.403,1.3654999999999973,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0008.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0008.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0008_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.01987,0.0740000000000691,0.0558431499999999,0.0976902,3.48415,56.535500000000006,0.617348,0.1126221,4.4116,0.320094,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0008_rec_v1_byx_2025_09_28_17_05_51_0008.png,True,0.01873616398962863,0.056426417395501166,0.9429372918786427,0.5819209039548022,1.742075,2,56.535500000000006,56.535500000000006,0.587348,0.055909450155667686,False,False,True,True,True,defer_roadedge_or_offroad,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_05_51_0014,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,14,372.595,380.475,7.8799999999999955,372.81,372.805,373.065,372.81,374.165,车辆先变化,0.2599999999999909,极强,5,4.0,4.0,3.22491263533051,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,110.15510294117648,5.670134411764706,0.2655552647058823,0.2821775294117647,0.0799354999999999,2.656245882352941,7.064446193768239,0.355766,20.217352941176472,3.4652720588235293,370.595,382.475,stop,前向急停,375.01,-1.525000000000034,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0014.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0014.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0014_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0140999999999991,0.0649999999998272,0.03323051,0.102479,3.49831,20.218000000000004,0.355766,0.1568706,5.67314,0.266375,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0014_rec_v1_byx_2025_09_28_17_05_51_0014.png,True,0.013861077312556702,0.06045509083337733,0.9830551285501835,0.8471297177291468,1.748215,8,20.218000000000004,20.218000000000004,0.325766,0.029472951750728053,False,False,True,True,True,defer_roadedge_or_offroad,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_05_51_0017,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,17,443.785,457.38,13.59499999999997,443.795,443.79,,443.795,447.485,缺少一方起点,,极强,2,4.0,4.0,0.9018880972466978,弱操作,可能切在事件中段,True,False,True,True,0.8,113.2363088235294,3.428877647058824,0.1347528235294117,0.1180982647058823,0.0476255558823529,1.3368759705882352,1.9756628027680927,0.0,19.47467647058825,3.469929117647059,441.785,459.38,differentmu_road|middle_section,低附着路段|连续超车负荷事件段,447.1,-3.482499999999959,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0017.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0017.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0017_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0044999999999983,0.0150000000003274,0.00707183,0.022275,3.4984200000000003,19.480999999999995,0.0,0.0878037,3.43457,0.134878,False,False,False,False,False,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\02_主训练_保守弱操作极限事件\0017_rec_v1_byx_2025_09_28_17_05_51_0017.png,True,0.003956565518302924,0.01982637875991982,0.8792367818454263,0.9610222467365325,1.74815,12,6.86699999999999,19.480999999999995,0.03,0.0058367798704574685,False,False,True,True,True,defer_roadedge_or_offroad,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_05_51_0018,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,18,483.875,503.375,19.5,484.72,484.68,486.16,484.72,497.57,车辆先变化,1.4800000000000182,极强,5,4.0,4.0,2.522584656280676,方向盘快速操作,正常,False,True,True,True,1.0,106.13525,6.987259411764706,0.2966505588235294,0.8128716764705882,0.098329894117647,3.135442058823529,5.525936851214515,0.0,20.19149999999999,3.728177058823529,481.875,505.375,differentmu_road,低附着路段,492.111,-1.51400000000001,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0018.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0018_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0965000000000007,0.5950000000007094,0.0497694,0.338693,3.76385,20.198000000000008,0.0,0.1832228,7.01236,0.307131,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 19.50 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\03_15到20秒_需要复核\0018_rec_v1_byx_2025_09_28_17_05_51_0018.png,True,0.09454685389201956,0.471216913463375,0.9797601439587448,0.8718113062427894,1.74536,8,12.114000000000004,20.198000000000008,0.03,0.0502314813555317,False,False,True,True,True,defer_roadedge_or_offroad,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_15_52_0007,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,7,163.885,200.55,36.66500000000002,164.405,164.14,164.05,164.405,168.225,驾驶员先动,-0.0899999999999749,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,139.83451470588233,7.268710882352941,0.3290892941176471,0.5341413529411765,0.0972551264705882,3.647189117647059,17.282746712797532,0.0,24.79855882352939,3.465107058823529,161.885,202.55,fix_road|middle_section,施工/维修变道/道路受限|连续超车负荷事件段,175.805,-6.412499999999994,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_15_52_0007.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_15_52_0007.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_15_52_0007_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0118899999999992,0.0720000000000027,0.00756128,0.0360252,3.49705,24.80450000000002,0.0,0.1777152,7.32192,0.329674,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 36.67 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0029_rec_v1_byx_2025_09_28_17_15_52_0007.png,True,0.011868787400620917,0.07343851420473797,0.998215929404686,0.6417126883479921,1.748205,44,0.04250000000001819,24.80450000000002,0.03,0.005263773197862729,False,False,True,True,True,defer_roadedge_or_offroad_long,超长片段且存在路边/上下马路风险，暂不进入主训练,持续时间 36.67 秒且存在路边/上下马路风险，暂不进入主训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_15_52_0017,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,17,411.94,423.29,11.350000000000025,412.635,412.005,412.745,412.635,415.505,车辆先变化,0.7400000000000091,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.2,113.46188235294116,6.043858235294118,0.3070725294117647,0.3767650588235294,0.0836992735294117,2.6428007352941174,14.620521626285823,0.2437129999999999,15.429176470588231,3.490782352941177,409.94,425.29,differentmu_road|middle_section,低附着路段|连续超车负荷事件段,415.61,-2.0049999999999955,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_15_52_0017.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_15_52_0017.png,,True,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0129000000000001,0.0500000000001819,0.02299042,0.0859345,3.4990300000000003,15.430999999999996,0.2437129999999999,0.1416257,6.05141,0.307221,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0039_rec_v1_byx_2025_09_28_17_15_52_0017.png,True,0.012496157961210841,0.06033513862148057,0.9686944155977321,0.8700726712177934,1.74943,18,14.769000000000005,15.430999999999997,0.213713,0.023697532689843114,False,False,True,True,True,defer_roadedge_or_offroad,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,False,True,False,False,
rec_v1_byx_2025_09_28_17_15_52_0020,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,20,470.93,486.63,15.699999999999989,471.38,471.375,477.525,471.38,478.79,车辆先变化,6.149999999999977,极强,5,4.0,4.0,2.691821919896685,方向盘快速操作,正常,True,False,True,True,0.8,125.90188235294116,6.301909705882353,0.2810699705882353,0.481699,0.0877769882352941,3.052964411764705,6.638529411770326,0.0,23.197235294117647,3.4695897058823526,468.93,488.63,differentmu_road,低附着路段,475.385,-3.394999999999982,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_15_52_0020.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_15_52_0020.png,,True,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0089999999999985,0.0450000000000727,0.00973069,0.017379,3.4987,23.20299999999999,0.0,0.1648449,6.3054,0.281498,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.70 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.008956050612679789,0.05009659206014598,0.9951167347423646,0.9054290718038529,1.7483,20,14.980000000000004,23.20299999999999,0.03,0.007338218297312451,False,False,True,True,True,defer_roadedge_or_offroad,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,车速/制动/横向偏移/高度残差组合提示可能是路边恢复或上下马路，暂不进入主训练,False,True,False,False,
