episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1,raw_feature_ok_v1_2,z_range_v1_2,z_rate_peak_v1_2,pitch_range_v1_2,pitch_rate_peak_v1_2,lat_offset_range_raw_v1_2,speed_range_raw_v1_2,brake_range_raw_v1_2,roll_range_raw_v1_2,ay_abs_peak_raw_v1_2,yaw_rate_abs_peak_raw_v1_2,duration_over_15s_v1_2,duration_over_20s_v1_2,height_jump_suspected_v1_2,pitch_jump_suspected_v1_2,lat_offset_extreme_suspected_v1_2,speed_range_extreme_suspected_v1_2,offroad_or_road_recovery_suspected_v1_2,v1_2_decision,v1_2_decision_cn,v1_2_decision_detail_cn,is_train_candidate_v1_2,is_deferred_v1_2,is_control_candidate_v1_2,is_discarded_v1_2,review_panel_v1_2_path,raw_feature_ok_v1_3,z_residual_range_v1_3,z_residual_rate_peak_v1_3,z_trend_ratio_v1_3,z_monotonic_fraction_v1_3,lat_offset_adjacent_jump_peak_v1_3,lat_offset_large_jump_count_v1_3,speed_drop_from_start_v1_3,speed_drop_peak_to_peak_v1_3,brake_peak_v1_3,pitch_residual_range_v1_3,road_grade_like_z_v1_3,z_transient_suspected_v1_3,lat_offset_jump_suspected_v1_3,speed_brake_response_suspected_v1_3,roadedge_or_offroad_suspected_v1_3,v1_3_decision,v1_3_decision_cn,v1_3_decision_detail_cn,is_train_candidate_v1_3,is_deferred_v1_3,is_control_candidate_v1_3,is_discarded_v1_3,review_panel_v1_3_path
rec_v1_byx_2025_09_28_17_05_51_0006,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,6,189.26,199.955,10.695000000000022,190.915,190.25,190.095,190.915,196.34,驾驶员先动,-0.1550000000000011,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,117.27747058823527,5.318110588235294,0.2446968823529411,0.3794794999999999,0.0767942205882352,2.854135588235294,10.46176716263735,0.0,13.452764705882345,3.4723155882352943,187.26,201.955,middle_section,连续超车负荷事件段,196.75,2.142499999999984,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0006.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0006.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0006_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0094499999999992,0.0330000000000154,0.00755487,0.0277498,3.49696,13.453999999999994,0.0,0.1399304,5.3184,0.245007,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0006_rec_v1_byx_2025_09_28_17_05_51_0006.png,True,0.009776746432080152,0.03280892021509613,1.0345763420191514,0.6718859546623043,1.7483,6,4.481999999999999,13.453999999999994,0.03,0.008059932273188842,False,False,True,False,False,train_target_extreme,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\01_主训练_目标极限事件\0006_rec_v1_byx_2025_09_28_17_05_51_0006.png
rec_v1_byx_2025_09_28_17_05_51_0007,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,7,219.17,228.175,9.005000000000024,220.31,220.135,219.955,220.31,222.415,驾驶员先动,-0.1799999999999784,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,113.215,7.936059411764706,0.5199608235294118,0.7027885588235294,0.110123294117647,3.747250294117647,10.819016851204648,0.0897171,16.490411764705897,3.4023652941176468,217.17,230.175,fix_road,施工/维修变道/道路受限,223.115,-0.5575000000000045,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0007.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0007.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0007_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0159799999999998,0.09050000000002,0.01074599,0.0318427,3.49034,16.497000000000014,0.0897171,0.1961674,8.03359,0.520831,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0007_rec_v1_byx_2025_09_28_17_05_51_0007.png,True,0.015947276025003454,0.07626974274648478,0.9979521918024814,0.6788787121842909,1.74497,10,16.497000000000014,16.497000000000014,0.0597171,0.00841105686884716,False,False,True,False,False,train_target_extreme,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\01_主训练_目标极限事件\0007_rec_v1_byx_2025_09_28_17_05_51_0007.png
rec_v1_byx_2025_09_28_17_05_51_0009,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,9,257.82,267.285,9.465000000000032,258.86,258.425,258.265,258.86,266.095,驾驶员先动,-0.160000000000025,极强,4,4.0,4.0,2.798527719633097,方向盘快速操作,正常,True,False,True,True,0.8,111.67166176470587,4.914154705882353,0.1779825588235294,0.2640873823529411,0.0704218617647058,2.325115294117647,6.130413667808021,0.0,10.46691176470587,3.487218235294118,255.82,269.285,fix_road,施工/维修变道/道路受限,264.921,2.368499999999983,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0009.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0009.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0009_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0070299999999994,0.0205000000000836,0.00638876,0.0128888,3.49844,10.468999999999994,0.0,0.1241781,4.91931,0.178149,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0009_rec_v1_byx_2025_09_28_17_05_51_0009.png,True,0.005656695715274829,0.022763320595252264,0.8046508841074412,0.5650911011354635,1.74922,6,2.92049999999999,10.468999999999994,0.03,0.005252279217653009,False,False,True,False,False,train_target_extreme,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\01_主训练_目标极限事件\0009_rec_v1_byx_2025_09_28_17_05_51_0009.png
rec_v1_byx_2025_09_28_17_05_51_0011,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,11,328.29,338.59,10.299999999999956,329.26,328.48,328.35,329.26,336.85,驾驶员先动,-0.1299999999999954,极强,5,4.0,4.0,3.348669909598656,方向盘快速操作,正常,True,False,True,True,0.8,120.95588235294116,6.511945882352941,0.2181542647058823,0.3197869117647058,0.0897850705882352,3.1433829411764704,7.335547058820085,0.0,5.811117647058822,3.440872647058824,326.29,340.59,curve2,弯道路段,326.75,-6.689999999999998,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0011.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0011.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0011_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0093999999999994,0.0400000000001909,0.00760504,0.023065,3.49629,5.814000000000007,0.0,0.1583526,6.51872,0.21841,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0011_rec_v1_byx_2025_09_28_17_05_51_0011.png,True,0.009195522400846201,0.040156594099941406,0.978247063919871,0.8563455471972822,1.74635,10,4.143500000000003,5.814000000000007,0.03,0.006332869666724716,False,False,True,False,False,train_target_extreme,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\01_主训练_目标极限事件\0011_rec_v1_byx_2025_09_28_17_05_51_0011.png
rec_v1_byx_2025_09_28_17_05_51_0013,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,13,349.37,361.085,11.714999999999977,352.245,350.705,350.71,352.245,352.135,车辆先变化,0.0049999999999954,极强,5,4.0,4.0,2.9715834899970344,方向盘快速操作,正常,True,False,True,True,0.8,138.99008823529408,5.566652352941176,0.2464589117647058,0.3551148823529411,0.0782566205882352,2.433450882352941,6.509507093429409,0.0,8.018000000000029,3.4529441176470588,347.37,363.085,middle_section,连续超车负荷事件段,352.805,-2.422499999999957,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0013.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_05_51_0013.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0013_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0075000000000002,0.0499999999999545,0.00471495,0.00868276,3.49592,8.021000000000015,0.0,0.1425857999999999,5.58881,0.246733,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0013_rec_v1_byx_2025_09_28_17_05_51_0013.png,True,0.007489067850823261,0.05002231050874714,0.9985423801097415,0.9261787924045232,1.747425,14,2.1899999999999977,8.021000000000015,0.03,0.005262166222232653,False,False,True,False,False,train_target_extreme,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\01_主训练_目标极限事件\0013_rec_v1_byx_2025_09_28_17_05_51_0013.png
rec_v1_byx_2025_09_28_17_05_51_0015,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,15,391.865,397.66,5.795000000000016,392.295,392.29,,392.295,394.98,缺少一方起点,,极强,2,4.0,4.0,0.9900020400300932,弱操作,正常,True,False,True,True,0.8,124.00113235294116,3.638176470588234,0.1330566764705882,0.1355040588235294,0.0495165470588235,1.3725884117647058,2.1686839100360964,0.0,4.784676470588238,3.436920588235294,389.865,399.66,stop,前向急停,392.6,-2.1625000000000227,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0015.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0015_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0032999999999994,0.0100000000002182,0.00625025,0.0127162,3.49688,4.786500000000004,0.0,0.0905308,3.64036,0.133229,False,False,False,False,False,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\02_主训练_保守弱操作极限事件\0015_rec_v1_byx_2025_09_28_17_05_51_0015.png,True,0.003529305552959272,0.01047576217263185,1.0694865311999737,0.9517033203967227,1.74675,6,0.014499999999998181,4.786500000000004,0.03,0.005053979532464534,False,False,True,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发 v1.3 路边/超长风险，保留为训练候选,保守/弱操作极限样本，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\02_主训练_保守弱操作极限事件\0015_rec_v1_byx_2025_09_28_17_05_51_0015.png
rec_v1_byx_2025_09_28_17_05_51_0016,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,16,401.085,404.195,3.1100000000000136,402.405,402.4,,402.405,402.26,缺少一方起点,,极强,2,4.0,4.0,0.8698500811474918,弱操作,正常,True,False,True,True,0.8,127.0075,3.127774117647059,0.1112037647058823,0.1096496764705882,0.0420533117647058,0.9756850294117648,1.9054807958484776,0.0,1.7813823529411792,3.40937794117647,399.085,406.195,,,410.3,7.660000000000025,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0016.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_05_51_0016.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0016_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0022000000000002,0.0100000000002182,0.00257481,0.00782352,3.49066,1.7819999999999825,0.0,0.0687385,3.13067,0.111348,False,False,False,False,False,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\02_主训练_保守弱操作极限事件\0016_rec_v1_byx_2025_09_28_17_05_51_0016.png,True,0.0017958884991511326,0.01041383006904321,0.8163129541595315,0.9646586345381526,1.74533,2,0.018999999999991246,1.7819999999999823,0.03,0.002047671500058903,False,False,True,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发 v1.3 路边/超长风险，保留为训练候选,保守/弱操作极限样本，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\02_主训练_保守弱操作极限事件\0016_rec_v1_byx_2025_09_28_17_05_51_0016.png
rec_v1_byx_2025_09_28_17_05_51_0019,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,19,509.935,519.59,9.65500000000003,509.945,509.94,511.22,509.945,513.115,车辆先变化,1.2800000000000296,极强,2,4.0,4.0,1.1709617115028588,弱操作,可能切在事件中段,True,False,True,True,0.8,117.34676470588236,2.932465588235294,0.1095899705882352,0.1489497647058823,0.042210244117647,1.0964976176470589,2.5650915051926435,0.0,8.625117647058829,3.480328823529412,507.935,521.59,,,507.585,-7.177500000000066,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0019.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0019_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0038999999999997,0.0150000000003274,0.00640632,0.0244625,3.49757,8.632499999999993,0.0,0.0809353,2.93442,0.109703,False,False,False,False,False,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\02_主训练_保守弱操作极限事件\0019_rec_v1_byx_2025_09_28_17_05_51_0019.png,True,0.0038719197813001927,0.019677132596047774,0.9927999439232027,0.9590991457416516,1.748785,10,8.632499999999993,8.632499999999993,0.03,0.005897609679992276,False,False,True,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发 v1.3 路边/超长风险，保留为训练候选,保守/弱操作极限样本，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\02_主训练_保守弱操作极限事件\0019_rec_v1_byx_2025_09_28_17_05_51_0019.png
rec_v1_byx_2025_09_28_17_05_51_0020,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,20,530.075,531.32,1.2450000000000043,530.085,530.08,,530.085,530.21,缺少一方起点,,极强,2,4.0,4.0,0.7086331543219229,无明显操作,可能切在事件中段,False,False,True,True,1.0,134.45532352941177,1.858204117647059,0.0600046117647058,0.1025948529411764,0.0267288705882352,0.4481081470588235,1.5523213667815936,0.0,0.8581176470588332,3.589476764705882,528.075,533.32,differentmu_road,低附着路段,531.548,0.8505000000000109,conservative_extreme,保守/弱操作极限样本,车辆动态强但驾驶员转向不强,车辆状态预测+驾驶员类型分类,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0020.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0020_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0023000000000017,0.0100000000002182,0.00510911,0.0138125,3.64701,0.8600000000000136,0.0,0.0454780999999999,1.86707,0.0600728,False,False,False,False,False,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,保守/弱操作极限样本，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\02_主训练_保守弱操作极限事件\0020_rec_v1_byx_2025_09_28_17_05_51_0020.png,True,0.0012516048192789953,0.011713734939899467,0.5441760083817696,0.9839679358717435,1.8235050000000002,2,0.1939999999999884,0.8600000000000136,0.03,0.0027329684522267544,False,False,True,False,False,train_conservative_extreme,保守/弱操作极限样本，未触发 v1.3 路边/超长风险，保留为训练候选,保守/弱操作极限样本，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\02_主训练_保守弱操作极限事件\0020_rec_v1_byx_2025_09_28_17_05_51_0020.png
rec_v1_byx_2025_09_28_17_15_52_0001,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,1,58.765,66.935,8.170000000000002,60.1,59.735,59.56,60.1,60.69,驾驶员先动,-0.1749999999999971,极强,5,4.0,4.0,3.437745208397382,方向盘快速操作,正常,True,False,True,True,0.8,116.35942647058825,5.972417941176471,0.2838782941176471,0.3990869705882353,0.0827575735294117,2.983449411764705,8.478113840827348,0.0,4.546176470588222,3.4383182352941173,56.765,68.935,middle_section,连续超车负荷事件段,60.485,-2.365000000000002,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_15_52_0001.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_15_52_0001.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_15_52_0001_3d.png,True,True,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0079029999999999,0.0364499999999949,0.00607558,0.00923991,3.49669,4.548000000000002,0.0,0.1528462,5.97524,0.284063,False,False,False,False,False,False,False,train_target_extreme,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,核心/次级目标极限事件，未触发超长或路外恢复风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\01_主训练_目标极限事件\0023_rec_v1_byx_2025_09_28_17_15_52_0001.png,True,0.007833907844229826,0.03558036255807204,0.9912574774427338,0.5347200978892628,1.746195,10,4.170000000000002,4.548000000000002,0.03,0.0064551011864505785,False,False,True,False,False,train_target_extreme,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,目标极限事件，未触发 v1.3 路边/超长风险，保留为训练候选,True,False,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\01_主训练_目标极限事件\0023_rec_v1_byx_2025_09_28_17_15_52_0001.png
