road_coord_dominant_module_v1_9,v1_9_decision,count
curve1,train_curve_coord_valid_normal_or_weak,84
curve1,train_curve_coord_valid_roll_candidate,66
curve1,review_road_coordinate_mapping_uncertain,64
curve1,discard_curve_coord_height_or_pose_abnormal,39
curve2,train_curve_coord_valid_normal_or_weak,88
curve2,train_curve_coord_valid_roll_candidate,57
curve2,discard_curve_coord_height_or_pose_abnormal,14
differentmu_road,train_noncurve_target_extreme,165
differentmu_road,discard_noncurve_prior_review,106
differentmu_road,review_noncurve_recovered_from_height_rule_conflict,61
differentmu_road,train_noncurve_recovered_from_false_curve_dynamic,31
differentmu_road,review_noncurve_false_curve_weak,21
differentmu_road,review_road_coordinate_mapping_uncertain,14
differentmu_road,defer_noncurve_prior_review,4
fix_road,discard_noncurve_prior_review,94
fix_road,train_noncurve_target_extreme,91
fix_road,defer_noncurve_prior_review,4
fix_road,review_noncurve_recovered_from_height_rule_conflict,1
longstraight,discard_noncurve_prior_review,25
longstraight,train_noncurve_target_extreme,12
middle_section,discard_noncurve_prior_review,322
middle_section,train_noncurve_target_extreme,268
middle_section,train_curve_coord_valid_roll_candidate,59
middle_section,train_curve_coord_valid_normal_or_weak,29
middle_section,defer_noncurve_prior_review,7
middle_section,discard_curve_coord_height_or_pose_abnormal,6
middle_section,review_noncurve_false_curve_weak,1
middle_section,review_noncurve_recovered_from_height_rule_conflict,1
middle_section,review_road_coordinate_mapping_uncertain,1
stop,train_noncurve_target_extreme,21
stop,discard_noncurve_prior_review,10
