road_coord_dominant_module_v1_9,v2_0_decision,count
curve1,review_curve_height_pose_abnormal,106
curve1,train_curve_normal_or_weak,79
curve1,review_mapping_uncertain,64
curve1,train_curve_roll_dynamic,4
curve2,train_curve_normal_or_weak,89
curve2,review_curve_height_pose_abnormal,61
curve2,train_curve_roll_dynamic,9
differentmu_road,control_noncurve_weak_or_normal,124
differentmu_road,train_noncurve_vehicle_dynamic,114
differentmu_road,train_noncurve_secondary_dynamic,95
differentmu_road,review_speed_brake_only,42
differentmu_road,review_mapping_uncertain,14
differentmu_road,review_fast_steer_weak_vehicle,13
fix_road,train_noncurve_secondary_dynamic,77
fix_road,train_noncurve_vehicle_dynamic,50
fix_road,control_noncurve_weak_or_normal,28
fix_road,review_speed_brake_only,18
fix_road,review_fast_steer_weak_vehicle,17
longstraight,train_noncurve_secondary_dynamic,15
longstraight,control_noncurve_weak_or_normal,9
longstraight,review_speed_brake_only,7
longstraight,train_noncurve_vehicle_dynamic,5
longstraight,review_fast_steer_weak_vehicle,1
middle_section,train_noncurve_secondary_dynamic,208
middle_section,train_noncurve_vehicle_dynamic,162
middle_section,control_noncurve_weak_or_normal,148
middle_section,review_fast_steer_weak_vehicle,40
middle_section,review_speed_brake_only,40
middle_section,train_curve_normal_or_weak,40
middle_section,review_curve_height_pose_abnormal,37
middle_section,train_curve_roll_dynamic,17
middle_section,review_mapping_uncertain,1
middle_section,review_noncurve_height_abnormal_weak_dynamic,1
stop,train_noncurve_secondary_dynamic,14
stop,control_noncurve_weak_or_normal,10
stop,train_noncurve_vehicle_dynamic,6
stop,review_fast_steer_weak_vehicle,1
