v1_9_decision,v2_0_decision,count,train_count,recovered_from_v19_nontrain
discard_noncurve_prior_review,train_noncurve_vehicle_dynamic,179,179,179
discard_noncurve_prior_review,train_noncurve_secondary_dynamic,111,111,111
review_noncurve_recovered_from_height_rule_conflict,train_noncurve_vehicle_dynamic,63,63,63
review_noncurve_false_curve_weak,train_noncurve_secondary_dynamic,15,15,15
defer_noncurve_prior_review,train_noncurve_secondary_dynamic,10,10,10
defer_noncurve_prior_review,train_noncurve_vehicle_dynamic,5,5,5
train_noncurve_target_extreme,train_noncurve_secondary_dynamic,260,260,0
train_curve_coord_valid_normal_or_weak,train_curve_normal_or_weak,182,182,0
train_noncurve_target_extreme,control_noncurve_weak_or_normal,175,0,0
discard_noncurve_prior_review,control_noncurve_weak_or_normal,137,0,0
train_curve_coord_valid_roll_candidate,review_curve_height_pose_abnormal,126,0,0
discard_noncurve_prior_review,review_speed_brake_only,95,0,0
review_road_coordinate_mapping_uncertain,review_mapping_uncertain,79,0,0
train_noncurve_target_extreme,train_noncurve_vehicle_dynamic,73,73,0
discard_curve_coord_height_or_pose_abnormal,review_curve_height_pose_abnormal,59,0,0
train_noncurve_target_extreme,review_fast_steer_weak_vehicle,38,0,0
discard_noncurve_prior_review,review_fast_steer_weak_vehicle,34,0,0
train_curve_coord_valid_roll_candidate,train_curve_roll_dynamic,30,30,0
train_curve_coord_valid_roll_candidate,train_curve_normal_or_weak,26,26,0
train_curve_coord_valid_normal_or_weak,review_curve_height_pose_abnormal,19,0,0
train_noncurve_recovered_from_false_curve_dynamic,train_noncurve_vehicle_dynamic,17,17,0
train_noncurve_recovered_from_false_curve_dynamic,train_noncurve_secondary_dynamic,13,13,0
train_noncurve_target_extreme,review_speed_brake_only,11,0,0
review_noncurve_false_curve_weak,control_noncurve_weak_or_normal,6,0,0
discard_noncurve_prior_review,review_noncurve_height_abnormal_weak_dynamic,1,0,0
review_noncurve_false_curve_weak,review_speed_brake_only,1,0,0
train_noncurve_recovered_from_false_curve_dynamic,control_noncurve_weak_or_normal,1,0,0
