episode_uid,folder,vehicle_file,v2_2_epoch_quality_flags,v2_2_epoch_quality_cn,figure_path
rec_v1_zx_2025_09_27_17_14_07_0000,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_17_14_07_vehicle.csv,old_start_too_early;old_end_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧结束偏早，后续仍有车辆/驾驶员动态；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_zx_2025_09_27_17_14_07_0000.png
rec_v1_zx_2025_09_27_16_32_00_0000,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_16_32_00_vehicle.csv,old_start_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_zx_2025_09_27_16_32_00_0000.png
rec_v1_yzy_2025_09_27_14_37_08_0000,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_37_08_vehicle.csv,old_start_too_early;old_end_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧结束偏早，后续仍有车辆/驾驶员动态；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_yzy_2025_09_27_14_37_08_0000.png
rec_v1_zx_2025_09_27_18_07_01_0000,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_18_07_01_vehicle.csv,old_start_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_zx_2025_09_27_18_07_01_0000.png
rec_v1_gf_2025_09_26_10_30_12_0014,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_30_12_vehicle.csv,old_start_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_gf_2025_09_26_10_30_12_0014.png
rec_v1_yyl_2025_09_28_09_39_01_0020,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_39_01_vehicle.csv,old_start_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_yyl_2025_09_28_09_39_01_0020.png
rec_v1_zt_2025_09_28_11_20_08_0024,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zt\Entity_Recording_2025_09_28_11_20_08_vehicle.csv,old_start_too_early;old_end_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧结束偏早，后续仍有车辆/驾驶员动态；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_zt_2025_09_28_11_20_08_0024.png
rec_v1_yyl_2025_09_28_09_14_23_0000,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_14_23_vehicle.csv,old_start_too_early;old_end_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧结束偏早，后续仍有车辆/驾驶员动态；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_yyl_2025_09_28_09_14_23_0000.png
rec_v1_zdq_2025_09_26_15_27_09_0007,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_27_09_vehicle.csv,old_start_too_early;old_end_too_late;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧结束偏晚，后面可能混入恢复或下一段驾驶；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_zdq_2025_09_26_15_27_09_0007.png
rec_v1_cwh_2025_09_26_19_23_28_0000,00_旧开始偏早,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_23_28_vehicle.csv,old_start_too_early;old_end_too_early;old_anchor_too_early,旧开始偏早，前面包含较长平稳段；旧结束偏早，后续仍有车辆/驾驶员动态；旧模型锚点偏早,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\00_旧开始偏早\rec_v1_cwh_2025_09_26_19_23_28_0000.png
