old_event_uid,subject,session_stamp,old_anchor_time_rel_s,old_phase_type,old_event_level,old_road_type_anchor,old_trigger_type,old_curvature_anchor,nearest_road_curvature_event_uid,nearest_road_curvature_time_rel_s,nearest_road_curvature_delta_s,nearest_nonsteering_dynamic_event_uid,nearest_nonsteering_dynamic_time_rel_s,nearest_nonsteering_dynamic_delta_s,nearest_nonsteering_dynamic_type,nearest_road_guided_event_uid,nearest_road_guided_time_rel_s,nearest_road_guided_delta_s,nearest_module_boundary_time_rel_s,nearest_module_boundary_type,nearest_module_boundary_delta_s,active_module_name_at_old_anchor,active_instance_name_at_old_anchor,active_module_reliability_at_old_anchor,active_module_risk_class_cn,nearest_boundary_instance_name,nearest_boundary_reliability,within_1s_road_curvature,within_1s_nonsteering_dynamic,within_1s_module_boundary,old_anchor_audit_bucket
old_v400_context__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,12.655,primary,weak,straight,context_residual,0.0,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,145.88,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00001,1.1,-11.555,roll_rate,vehicle_instability_onset__byx__2025_09_28_17_05_51__000001100,1.1,-11.555,0.0,entry,-12.655,middle_section,section1,high,普通连接段,section1,high,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00002,byx,2025_09_28_17_05_51,34.295,secondary,weak,straight,context_residual,-1.50798e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,124.24,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,35.83,1.535,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,35.83,1.535,46.7,exit,12.405,middle_section,section1,high,普通连接段,section1,high,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,37.17,primary,weak,straight,context_residual,-4.0256e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,121.365,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,35.83,-1.34,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,35.83,-1.34,46.7,exit,9.53,middle_section,section1,high,普通连接段,section1,high,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00004,byx,2025_09_28_17_05_51,60.725,primary,extreme_active,straight,context_residual,3.76996e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,97.81,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,35.83,-24.895,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,35.83,-24.895,59.2,entry,-1.525,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,67.0,secondary,weak,straight,context_residual,6.19805e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,91.535,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,35.83,-31.17,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000035830,35.83,-31.17,59.2,entry,-7.8,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_after_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00006,byx,2025_09_28_17_05_51,87.665,secondary,strong_active,straight,context_residual,-1.74528e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,70.87,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007,99.815,12.15,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,12.15,110.1,exit,22.435,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00007,byx,2025_09_28_17_05_51,90.8,primary,extreme_active,straight,context_residual,-9.19255e-10,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,67.735,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007,99.815,9.015,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,9.015,110.1,exit,19.3,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00008,byx,2025_09_28_17_05_51,96.55,secondary,strong_active,straight,context_residual,-1.76082e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,61.985,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00007,99.815,3.265,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,3.265,110.1,exit,13.55,middle_section,section2,high,普通连接段,section2,high,False,False,False,old_before_body_onset
old_v400_context__byx__2025_09_28_17_05_51__00009,byx,2025_09_28_17_05_51,109.39,secondary,strong_active,straight,context_residual,1.77636e-09,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,49.145,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,104.66,-4.73,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,-9.575,110.1,exit,0.71,middle_section,section2,high,普通连接段,section2,high,False,False,True,old_close_to_road_only
old_v400_context__byx__2025_09_28_17_05_51__00010,byx,2025_09_28_17_05_51,111.205,primary,strong_active,straight,context_residual,1.55386e-11,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,158.535,47.33,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,104.66,-6.545,ay,vehicle_instability_onset__byx__2025_09_28_17_05_51__000099815,99.815,-11.39,110.2,entry,-1.005,curve1,curve1,medium,弯道路段,curve1,medium,False,False,False,old_after_body_onset
