subject,session_stamp,vehicle_raw_relative_path,segment_index,module_name,instance_name,road_risk_class_cn,entry_time_rel_s,exit_time_rel_s,duration_s,road_s_start_m,road_s_end_m,road_s_min_m,road_s_max_m,median_nearest_dist_m,p90_nearest_dist_m,point_count,high_point_ratio,medium_point_ratio,low_point_ratio,very_low_point_ratio,segment_mapping_reliability
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0,middle_section,section1,普通连接段,0.0,46.7,46.7,2.625,1157.625,2.625,1157.625,5.826,8.321,468,1.0,0.0,0.0,0.0,high
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,1,longstraight,longstraight,长直线路段,46.805,59.1,12.295,1161.625,1609.625,1161.625,1609.625,3.165,3.42,124,1.0,0.0,0.0,0.0,high
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,2,middle_section,section2,普通连接段,59.2,110.1,50.9,1612.517,2770.517,1612.517,2770.517,6.286,25.509,510,0.8451,0.1549,0.0,0.0,high
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,3,curve1,curve1,弯道路段,110.2,186.7,76.5,2772.142,4586.574,2772.142,4586.574,7.362,281.121,766,0.5731,0.1488,0.2781,0.0,medium
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,4,middle_section,section3,普通连接段,186.805,220.7,33.895,4589.574,5746.199,4589.574,5746.199,280.824,282.789,340,0.0,0.0,1.0,0.0,low
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,5,fix_road,fix_road,特殊道路段,220.805,270.0,49.195,5750.199,7192.256,5750.199,7192.256,282.395,283.764,493,0.0,0.0,1.0,0.0,low
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,6,middle_section,section4,普通连接段,270.1,302.4,32.3,7196.256,8351.256,7196.256,8351.256,280.153,282.808,324,0.0,0.0,1.0,0.0,low
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,7,curve2,curve2,弯道路段,302.5,351.0,48.5,8353.88,9579.88,8353.88,9579.88,455.682,887.83,486,0.0,0.0,0.5412,0.4588,low
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,8,middle_section,section5,普通连接段,351.1,374.9,23.8,10436.287,11338.287,10436.287,11338.287,971.522,1003.341,239,0.0,0.0,0.0,1.0,very_low
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,9,stop,stop,特殊道路段,375.0,410.2,35.2,11341.911,12499.911,11341.911,12499.911,886.956,923.06,353,0.0,0.0,0.0,1.0,very_low
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,10,middle_section,section6,普通连接段,410.3,447.0,36.7,12502.536,13660.161,12502.536,13660.161,786.04,826.187,368,0.0,0.0,0.0,1.0,very_low
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,11,differentmu_road,mu1,高风险路面,447.1,565.4,118.3,13663.161,14401.161,13663.161,15047.161,670.404,1292.682,1184,0.011,0.0769,0.2052,0.7069,very_low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,0,middle_section,section1,普通连接段,0.0,44.705,44.705,1.625,1157.625,1.625,1157.625,5.124,7.098,448,1.0,0.0,0.0,0.0,high
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,1,longstraight,longstraight,长直线路段,44.805,57.605,12.8,1160.625,1610.625,1160.625,1610.625,2.587,3.922,129,1.0,0.0,0.0,0.0,high
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,2,middle_section,section2,普通连接段,57.705,91.905,34.2,1613.517,2770.517,1613.517,2770.517,4.051,6.274,343,1.0,0.0,0.0,0.0,high
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,3,curve1,curve1,弯道路段,92.0,160.105,68.105,2773.142,4584.14,2773.142,4584.14,16.436,283.0,682,0.5073,0.1569,0.3358,0.0,low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,4,middle_section,section3,普通连接段,160.205,191.405,31.2,4587.574,5743.574,4587.574,5743.574,280.863,282.586,313,0.0,0.0,1.0,0.0,low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,5,fix_road,fix_road,特殊道路段,191.5,234.305,42.805,5747.199,7192.256,5747.199,7192.256,281.406,283.733,429,0.0,0.0,1.0,0.0,low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,6,middle_section,section4,普通连接段,234.405,267.105,32.7,7196.256,8351.256,7196.256,8351.256,280.584,283.381,328,0.0,0.0,1.0,0.0,low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,7,curve2,curve2,弯道路段,267.205,320.405,53.2,8353.88,9577.88,8353.88,9577.88,499.006,890.84,533,0.0,0.0,0.5009,0.4991,low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,8,middle_section,section5,普通连接段,320.5,347.805,27.305,10433.287,11340.287,10433.287,11340.287,972.009,1000.369,274,0.0,0.0,0.0,1.0,very_low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,9,stop,stop,特殊道路段,347.905,382.305,34.4,11343.911,12500.536,11343.911,12500.536,888.969,922.771,345,0.0,0.0,0.0,1.0,very_low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,10,middle_section,section6,普通连接段,382.405,415.5,33.095,12504.536,13660.161,12504.536,13660.161,784.375,827.284,332,0.0,0.0,0.0,1.0,very_low
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,11,differentmu_road,mu1,高风险路面,415.605,533.705,118.1,13664.161,14380.161,13664.161,15045.161,670.021,1230.276,1182,0.011,0.0702,0.2107,0.7081,very_low
byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,0,middle_section,section1,普通连接段,0.0,42.605,42.605,0.0,1159.625,0.0,1159.625,5.104,7.671,427,1.0,0.0,0.0,0.0,high
byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,1,longstraight,longstraight,长直线路段,42.7,53.5,10.8,1163.625,1610.625,1163.625,1610.625,4.315,6.468,109,1.0,0.0,0.0,0.0,high
byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,2,middle_section,section2,普通连接段,53.605,121.805,68.2,1615.517,2771.142,1615.517,2771.142,6.497,38.059,683,0.7818,0.2182,0.0,0.0,high
byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,3,curve1,curve1,弯道路段,121.905,190.7,68.795,2775.142,4584.14,2775.142,4584.14,7.049,280.417,689,0.5486,0.1553,0.2961,0.0,medium
byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,4,middle_section,section3,普通连接段,190.805,225.2,34.395,4587.574,5744.574,4587.574,5744.574,280.107,282.392,345,0.0,0.0,1.0,0.0,low
