subject,session_stamp,vehicle_raw_relative_path,mapping_status,sampled_point_count,t_start_rel_s,t_end_rel_s,median_nearest_dist_m,p90_nearest_dist_m,high_point_ratio,medium_or_better_point_ratio,dominant_instance_name
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,ok,5655,0.0,565.4,281.17,926.319,0.2608,0.3111,mu1
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,ok,5338,0.0,533.705,282.233,934.064,0.2396,0.2752,mu1
byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,ok,5854,0.0,585.305,279.981,902.545,0.2496,0.3077,mu1
byx,2025_09_28_17_35_43,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,ok,5859,0.0,585.805,280.838,903.225,0.2838,0.3354,mu1
byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,ok,5475,0.0,547.405,281.668,943.364,0.2258,0.2811,mu1
cwh,2025_09_26_19_23_28,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_23_28_vehicle.csv,ok,1641,0.0,164.0,2.944,54.517,0.8702,0.922,section1
cwh,2025_09_26_19_27_21,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,ok,4340,0.0,433.9,2477.695,5665.257,0.2885,0.3479,curve1
cwh,2025_09_26_19_35_47,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,ok,5495,0.0,549.405,281.722,952.017,0.2288,0.2697,mu1
cwh,2025_09_26_19_45_40,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,ok,5390,0.0,538.905,280.792,939.023,0.2384,0.2783,mu1
cwh,2025_09_26_19_56_16,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,ok,5260,0.0,525.905,281.027,942.634,0.2279,0.2722,mu1
cwh,2025_09_26_20_06_19,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,ok,5045,0.0,504.4,281.218,956.625,0.2418,0.2813,mu1
gf,2025_09_26_10_03_00,原始车辆数据/gf/Entity_Recording_2025_09_26_10_03_00_vehicle.csv,ok,6593,0.0,659.205,274.687,961.242,0.2489,0.2871,mu1
gf,2025_09_26_10_18_49,原始车辆数据/gf/Entity_Recording_2025_09_26_10_18_49_vehicle.csv,ok,5839,0.0,583.805,272.646,983.073,0.2518,0.284,mu1
gf,2025_09_26_10_30_12,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,ok,5660,0.0,565.905,272.816,981.928,0.2406,0.2749,mu1
gf,2025_09_26_10_40_59,原始车辆数据/gf/Entity_Recording_2025_09_26_10_40_59_vehicle.csv,ok,5914,0.0,591.305,273.673,967.066,0.23,0.2607,mu1
gf,2025_09_26_10_52_57,原始车辆数据/gf/Entity_Recording_2025_09_26_10_52_57_vehicle.csv,ok,6184,0.0,618.305,273.076,961.79,0.2222,0.2667,mu1
gzj,2025_09_27_11_38_49,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_38_49_vehicle.csv,ok,862,0.0,86.105,4.87,6.044,1.0,1.0,section1
gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,ok,6416,0.0,641.505,359.806,937.067,0.2051,0.2449,mu1
gzj,2025_09_27_11_53_25,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_53_25_vehicle.csv,ok,5945,0.0,594.4,282.056,917.887,0.2669,0.3038,mu1
gzj,2025_09_27_12_04_23,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_04_23_vehicle.csv,ok,3142,0.0,314.1,178.817,283.437,0.4468,0.4768,curve1
gzj,2025_09_27_12_17_12,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv,ok,6148,0.0,614.7,283.082,933.427,0.2422,0.2762,mu1
gzj,2025_09_27_12_28_14,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_28_14_vehicle.csv,ok,6275,0.0,627.4,282.781,917.863,0.2392,0.2786,mu1
hzh,2025_09_26_20_50_27,原始车辆数据/hzh/Entity_Recording_2025_09_26_20_50_27_vehicle.csv,ok,7312,0.0,731.1,282.369,963.162,0.1983,0.2262,fix_road
hzh,2025_09_26_21_03_19,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv,ok,5986,0.0,598.5,283.594,1121.448,0.2207,0.2528,mu1
hzh,2025_09_26_21_17_02,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_17_02_vehicle.csv,ok,6646,0.0,664.5,282.268,961.206,0.2448,0.28,mu1
hzh,2025_09_27_19_22_27,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_22_27_vehicle.csv,ok,5770,0.0,576.9,280.484,921.582,0.2428,0.2981,mu1
