instability_event_uid,manual_label_decision_mode,manual_label_count,codex_recommended_decision,road_guided_recommended_decision,instability_review_score,road_guided_instability_score,road_design_instance_name,road_design_risk_class,old_v400_near_count,old_v400_max_level,peak_abs_ay_window,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,steering_delta_peak_post3s
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000001105,accept_candidate,1,needs_human_review,manual_confirmed_accept,38.86,72.0,section1,design_regular_road,0,none,0.564105,0.533214,0.041108,1.882107,0.134215
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000034500,accept_candidate,1,needs_human_review,manual_confirmed_accept,41.08,72.0,section1,design_regular_road,2,weak,2.45002,0.111522,0.099597,1.778866,0.530405
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000061190,accept_candidate,1,needs_human_review,manual_confirmed_accept,45.48,72.0,section2,design_regular_road,2,medium_active,3.46922,0.169528,0.152331,2.529093,0.742463
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000102590,manual_adjusted,1,needs_human_review,manual_confirmed_accept,47.74,75.06,curve1,design_curve_context,2,medium_active,3.67223,0.204038,0.154875,3.030473,0.771435
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000128690,accept_candidate,1,needs_human_review,manual_confirmed_accept,57.94,92.1,curve1,design_curve_context,1,strong_active,5.10314,0.235087,0.175999,2.612549,0.945449
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000148635,accept_candidate,1,auto_accept_instability_high,manual_confirmed_accept,89.36,100.0,curve1,design_curve_context,2,extreme_active,9.20779,1.44469,0.472965,7.365562,1.55422
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000182485,manual_adjusted,1,needs_human_review,manual_confirmed_accept,47.82,72.0,section3,design_regular_road,2,medium_active,4.61377,0.139785,0.170127,2.58399,0.332834
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000201730,manual_adjusted,1,needs_human_review,manual_confirmed_accept,46.6,72.0,section3,design_regular_road,0,none,3.65287,0.186076,0.141029,1.669905,0.613832
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000221460,accept_candidate,1,auto_accept_instability_high,manual_confirmed_accept,79.94,100.0,fix_road,design_special_event_segment,2,strong_active,7.88034,2.27863,0.206116,9.782744,1.195725
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000245880,accept_candidate,1,needs_human_review,manual_confirmed_accept,45.42,72.0,fix_road,design_special_event_segment,0,none,0.473924,1.13471,0.115015,5.997138,0.15812
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000267185,accept_candidate,1,needs_human_review,manual_confirmed_accept,42.9,72.0,fix_road,design_special_event_segment,0,none,0.817223,1.80308,0.029585,11.798815,0.059865
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000318410,manual_adjusted,1,reject_low_instability_evidence,manual_confirmed_accept,14.68,72.0,fix_road,design_special_event_segment,0,none,0.156054,0.479741,0.031754,2.381195,3.015057
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000337435,manual_adjusted,1,reject_low_instability_evidence,manual_confirmed_accept,32.98,73.32,fix_road,design_special_event_segment,2,extreme_active,0.745668,0.545845,0.171146,2.41271,4.160695
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000368815,manual_adjusted,1,needs_human_review,manual_confirmed_accept,42.78,72.0,fix_road,design_special_event_segment,0,none,3.60751,0.153469,0.140999,2.564274,0.577704
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000394695,manual_adjusted,1,reject_low_instability_evidence,manual_confirmed_accept,37.57,72.0,section4,design_regular_road,1,medium_active,3.313,0.167429,0.129881,2.599189,0.752673
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000404965,accept_candidate,1,needs_human_review,manual_confirmed_accept,56.24,82.44,section4,design_regular_road,3,medium_active,4.1842,0.200869,0.16958,2.720486,0.880519
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000449755,manual_adjusted,1,reject_low_instability_evidence,manual_confirmed_accept,24.71,72.0,curve2,design_curve_context,0,none,1.76322,0.057374,0.066218,2.560218,0.280474
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000455665,accept_candidate,1,needs_human_review,manual_confirmed_accept,38.04,72.0,curve2,design_curve_context,0,none,2.24175,0.061893,0.085197,2.810575,0.51557
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000478280,manual_adjusted,1,needs_human_review,manual_confirmed_accept,42.82,72.0,section5,design_regular_road,1,weak,3.83573,0.177643,0.153335,3.160493,0.386765
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000557420,manual_adjusted,1,reject_low_instability_evidence,manual_confirmed_accept,35.59,72.0,section6,design_regular_road,2,medium_active,2.50476,0.163578,0.092548,2.858411,0.704328
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000572110,manual_adjusted,1,reject_low_instability_evidence,manual_confirmed_accept,32.26,72.0,section6,design_regular_road,2,weak,2.21383,0.118886,0.080926,2.262558,0.311891
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000579225,accept_candidate,1,needs_human_review,manual_confirmed_accept,42.38,72.0,mu1,design_high_risk_surface,2,weak,3.22232,0.142766,0.123165,2.527597,0.687485
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000590940,manual_adjusted,1,reject_low_instability_evidence,manual_confirmed_accept,35.55,72.0,mu1,design_high_risk_surface,0,none,3.05302,0.142766,0.121522,2.715748,0.290248
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000599030,accept_candidate,1,auto_accept_instability_medium,manual_confirmed_accept,60.25,72.0,mu1,design_high_risk_surface,0,none,1.76381,0.846665,0.086621,3.116432,0.215897
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000610335,accept_candidate,1,needs_human_review,manual_confirmed_accept,40.26,72.0,mu1,design_high_risk_surface,1,weak,3.22787,0.076366,0.116842,2.678825,0.62797
vehicle_instability_onset__hzh__2025_09_26_20_50_27__000616100,accept_candidate,1,auto_accept_instability_high,manual_confirmed_accept,85.44,100.0,mu1,design_high_risk_surface,0,none,8.09152,1.24545,0.251151,5.285131,0.299847
