road_design_mapping_reliability,road_design_risk_class,road_design_instance_name,road_guided_recommended_decision,count
high,design_curve_context,curve1,hybrid_accept_high,26
low,design_curve_context,curve1,hybrid_accept_high,10
medium,design_curve_context,curve1,hybrid_accept_high,19
very_low,design_curve_context,curve1,hybrid_accept_high,16
high,design_curve_context,curve1,hybrid_accept_medium,20
low,design_curve_context,curve1,hybrid_accept_medium,12
medium,design_curve_context,curve1,hybrid_accept_medium,12
very_low,design_curve_context,curve1,hybrid_accept_medium,24
high,design_curve_context,curve1,hybrid_reject_low_evidence,22
low,design_curve_context,curve1,hybrid_reject_low_evidence,5
medium,design_curve_context,curve1,hybrid_reject_low_evidence,7
very_low,design_curve_context,curve1,hybrid_reject_low_evidence,12
high,design_curve_context,curve1,hybrid_review_conflict_or_medium,6
low,design_curve_context,curve1,hybrid_review_conflict_or_medium,8
medium,design_curve_context,curve1,hybrid_review_conflict_or_medium,2
very_low,design_curve_context,curve1,hybrid_review_conflict_or_medium,9
high,design_curve_context,curve1,manual_confirmed_accept,3
low,design_curve_context,curve2,hybrid_accept_high,14
very_low,design_curve_context,curve2,hybrid_accept_high,7
low,design_curve_context,curve2,hybrid_accept_medium,16
very_low,design_curve_context,curve2,hybrid_accept_medium,9
low,design_curve_context,curve2,hybrid_reject_low_evidence,11
very_low,design_curve_context,curve2,hybrid_reject_low_evidence,11
low,design_curve_context,curve2,hybrid_review_conflict_or_medium,5
very_low,design_curve_context,curve2,hybrid_review_conflict_or_medium,5
very_low,design_curve_context,curve2,manual_confirmed_accept,2
high,design_high_risk_surface,mu1,hybrid_accept_high,1
low,design_high_risk_surface,mu1,hybrid_accept_high,19
very_low,design_high_risk_surface,mu1,hybrid_accept_high,44
low,design_high_risk_surface,mu1,hybrid_accept_medium,17
medium,design_high_risk_surface,mu1,hybrid_accept_medium,7
very_low,design_high_risk_surface,mu1,hybrid_accept_medium,74
high,design_high_risk_surface,mu1,hybrid_reject_low_evidence,1
low,design_high_risk_surface,mu1,hybrid_reject_low_evidence,13
medium,design_high_risk_surface,mu1,hybrid_reject_low_evidence,3
very_low,design_high_risk_surface,mu1,hybrid_reject_low_evidence,82
high,design_high_risk_surface,mu1,hybrid_review_conflict_or_medium,1
low,design_high_risk_surface,mu1,hybrid_review_conflict_or_medium,11
medium,design_high_risk_surface,mu1,hybrid_review_conflict_or_medium,1
very_low,design_high_risk_surface,mu1,hybrid_review_conflict_or_medium,42
medium,design_high_risk_surface,mu1,manual_confirmed_accept,1
very_low,design_high_risk_surface,mu1,manual_confirmed_accept,9
high,design_regular_road,longstraight,hybrid_accept_high,15
high,design_regular_road,longstraight,hybrid_accept_medium,8
high,design_regular_road,longstraight,hybrid_reject_low_evidence,6
high,design_regular_road,longstraight,hybrid_review_conflict_or_medium,6
high,design_regular_road,section1,hybrid_accept_high,4
high,design_regular_road,section1,hybrid_accept_medium,15
high,design_regular_road,section1,hybrid_reject_low_evidence,45
high,design_regular_road,section1,hybrid_review_conflict_or_medium,16
high,design_regular_road,section1,manual_confirmed_accept,2
high,design_regular_road,section2,hybrid_accept_high,25
medium,design_regular_road,section2,hybrid_accept_high,5
high,design_regular_road,section2,hybrid_accept_medium,17
medium,design_regular_road,section2,hybrid_accept_medium,1
high,design_regular_road,section2,hybrid_reject_low_evidence,20
high,design_regular_road,section2,hybrid_review_conflict_or_medium,5
high,design_regular_road,section2,manual_confirmed_accept,1
low,design_regular_road,section3,hybrid_accept_high,21
low,design_regular_road,section3,hybrid_accept_medium,18
low,design_regular_road,section3,hybrid_reject_low_evidence,18
low,design_regular_road,section3,hybrid_review_conflict_or_medium,15
very_low,design_regular_road,section3,hybrid_review_conflict_or_medium,1
low,design_regular_road,section3,manual_confirmed_accept,2
low,design_regular_road,section4,hybrid_accept_high,29
low,design_regular_road,section4,hybrid_accept_medium,20
low,design_regular_road,section4,hybrid_reject_low_evidence,16
low,design_regular_road,section4,hybrid_review_conflict_or_medium,6
low,design_regular_road,section4,manual_confirmed_accept,2
very_low,design_regular_road,section5,hybrid_accept_high,22
very_low,design_regular_road,section5,hybrid_accept_medium,16
very_low,design_regular_road,section5,hybrid_reject_low_evidence,21
very_low,design_regular_road,section5,hybrid_review_conflict_or_medium,7
very_low,design_regular_road,section5,manual_confirmed_accept,1
very_low,design_regular_road,section6,hybrid_accept_high,16
very_low,design_regular_road,section6,hybrid_accept_medium,25
very_low,design_regular_road,section6,hybrid_reject_low_evidence,19
very_low,design_regular_road,section6,hybrid_review_conflict_or_medium,10
very_low,design_regular_road,section6,manual_confirmed_accept,2
low,design_special_event_segment,fix_road,hybrid_accept_high,30
low,design_special_event_segment,fix_road,hybrid_accept_medium,22
low,design_special_event_segment,fix_road,hybrid_reject_low_evidence,19
low,design_special_event_segment,fix_road,hybrid_review_conflict_or_medium,13
low,design_special_event_segment,fix_road,manual_confirmed_accept,6
very_low,design_special_event_segment,stop,hybrid_accept_high,3
very_low,design_special_event_segment,stop,hybrid_accept_medium,11
very_low,design_special_event_segment,stop,hybrid_reject_low_evidence,18
very_low,design_special_event_segment,stop,hybrid_review_conflict_or_medium,8
