old_event_uid,subject,session_stamp,old_anchor_source,old_anchor_time_rel_s,phase_type,event_level,nearest_raw_road_curvature_onset_event_uid,nearest_raw_road_curvature_onset_delta_s,nearest_raw_road_curvature_onset_within_0p5s,nearest_raw_road_curvature_onset_within_1s,nearest_raw_vehicle_dynamic_onset_event_uid,nearest_raw_vehicle_dynamic_onset_delta_s,nearest_raw_vehicle_dynamic_onset_within_0p5s,nearest_raw_vehicle_dynamic_onset_within_1s
old_v400_context__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,12.655,primary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,145.88,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00001,-11.555,False,False
old_v400_context__byx__2025_09_28_17_05_51__00002,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,34.295,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,124.24,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,1.5349999999999966,False,False
old_v400_context__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,37.17,primary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,121.365,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,-1.3400000000000034,False,False
old_v400_context__byx__2025_09_28_17_05_51__00004,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,60.725,primary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,97.81,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00003,-0.015000000000000568,True,True
old_v400_context__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,67.0,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,91.535,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00004,-0.7950000000000017,False,True
old_v400_context__byx__2025_09_28_17_05_51__00006,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,87.665,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,70.86999999999999,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00005,-0.07000000000000739,True,True
old_v400_context__byx__2025_09_28_17_05_51__00007,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,90.8,primary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,67.735,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00005,-3.2049999999999983,False,False
old_v400_context__byx__2025_09_28_17_05_51__00008,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,96.55,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,61.985,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00006,-0.28000000000000114,True,True
old_v400_context__byx__2025_09_28_17_05_51__00009,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,109.39,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,49.144999999999996,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,-4.730000000000004,False,False
old_v400_context__byx__2025_09_28_17_05_51__00010,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,111.205,primary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,47.33,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,-6.545000000000002,False,False
old_v400_context__byx__2025_09_28_17_05_51__00011,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,113.485,secondary,extreme_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,45.05,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00010,-8.825000000000003,False,False
old_v400_context__byx__2025_09_28_17_05_51__00012,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,124.67,primary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,33.864999999999995,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00011,10.71499999999999,False,False
old_v400_context__byx__2025_09_28_17_05_51__00013,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,135.43,primary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,23.10499999999999,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00011,-0.045000000000015916,True,True
old_v400_context__byx__2025_09_28_17_05_51__00014,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,158.565,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-0.030000000000001137,True,True,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00012,-0.07499999999998863,True,True
old_v400_context__byx__2025_09_28_17_05_51__00015,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,160.505,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-1.9699999999999989,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00012,-2.0149999999999864,False,False
old_v400_context__byx__2025_09_28_17_05_51__00016,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,165.9,secondary,medium_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-7.365000000000009,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00013,-2.5250000000000057,False,False
old_v400_context__byx__2025_09_28_17_05_51__00017,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,170.03,secondary,weak,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-11.495000000000005,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00013,-6.655000000000001,False,False
old_v400_context__byx__2025_09_28_17_05_51__00018,byx,2025_09_28_17_05_51,old_v400_context_trigger_idx,171.855,secondary,strong_active,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,-13.319999999999993,False,False,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00013,-8.47999999999999,False,False
