event_uid,anchor_source,anchor_source_priority,subject,session_stamp,event_index_in_source,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,source_reference_path,anchor_time_rel_s,anchor_time_abs_s,event_start_rel_s,event_end_rel_s,event_duration_s,event_type,event_level,phase_type,road_type_anchor,curvature_anchor,trigger_type,anchor_signal,anchor_value,source_detail,leakage_risk_anchor,causal_anchor_status,raw_dynamic_peak_time_rel_s,raw_dynamic_peak_score
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,158.535,1759079310.425,158.535,175.46,16.92500000000001,curve_left_or_positive,extreme,candidate,curve,0.010909812711789514,raw_curvature_threshold,zx1|lanecurvatureXY,0.010909812711789514,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,2,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,298.52500000000003,1759079450.415,298.52500000000003,313.595,15.069999999999993,curve_right_or_negative,extreme,candidate,curve,-0.008061629987201372,raw_curvature_threshold,zx1|lanecurvatureXY,-0.008061629987201372,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,3,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,317.53000000000003,1759079469.4199998,317.53000000000003,319.335,1.80499999999995,curve_left_or_positive,weak,candidate,curve,0.0010842599946592887,raw_curvature_threshold,zx1|lanecurvatureXY,0.0010842599946592887,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,4,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,476.495,1759079628.3849998,476.495,504.96500000000003,28.470000000000027,curve_right_or_negative,extreme,candidate,curve,-0.006164559912798013,raw_curvature_threshold,zx1|lanecurvatureXY,-0.006164559912798013,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,5,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,546.3100000000001,1759079698.1999998,546.3100000000001,556.6850000000001,10.375,curve_right_or_negative,extreme,candidate,curve,-0.25247043898717275,raw_curvature_threshold,zx1|lanecurvatureXY,-0.25247043898717275,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00001,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,1.1,1759079152.9899998,1.1,1.465,0.365,roll_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,roll_rate,0.5082848358244159,"{""steer_rate"": 0.0, ""yaw_rate"": 0.005014728451745173, ""ay"": 0.23507979732977308, ""roll_rate"": 0.5082848358244159}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,1.19,10.165696716488316
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00002,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,2,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,35.83,1759079187.7199998,35.83,38.415,2.585000000000001,ay,medium,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,1.7137398960328072,"{""steer_rate"": 1.3194722829432126, ""yaw_rate"": 0.052354699966239086, ""ay"": 1.7137398960328072, ""roll_rate"": 0.06800143286487646}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,37.175000000000004,1.6493403536790157
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00003,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,3,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,60.71,1759079212.6,60.71,65.545,4.835000000000001,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,9.082696085142617,"{""steer_rate"": 9.082696085142617, ""yaw_rate"": 0.29897999860773367, ""ay"": 5.203369735914556, ""roll_rate"": 0.37247618422934947}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,60.910000000000004,11.35337010642827
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00004,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,4,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,66.205,1759079218.0949998,66.205,67.115,0.9099999999999966,steer_rate,medium,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,1.9337939017595687,"{""steer_rate"": 1.9337939017595687, ""yaw_rate"": 0.05877849972820904, ""ay"": 1.665699896352103, ""roll_rate"": 0.04407396011335517}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,67.035,2.417242377199461
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00005,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,5,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,87.595,1759079239.485,87.595,94.47,6.875,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,18.214214266560113,"{""steer_rate"": 18.214214266560113, ""yaw_rate"": 1.8147599897000624, ""ay"": 9.897418939964776, ""roll_rate"": 0.7798803304528784}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,91.19,22.76776783320014
