event_uid,anchor_source,anchor_source_priority,subject,session_stamp,event_index_in_source,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,source_reference_path,anchor_time_rel_s,anchor_time_abs_s,event_start_rel_s,event_end_rel_s,event_duration_s,event_type,event_level,phase_type,road_type_anchor,curvature_anchor,trigger_type,anchor_signal,anchor_value,source_detail,leakage_risk_anchor,causal_anchor_status,old_keep_for_training,old_primary_score,old_trigger_score,old_episode_id,raw_dynamic_peak_time_rel_s,raw_dynamic_peak_score
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,158.535,1759079310.425,158.535,175.46,16.92500000000001,curve_left_or_positive,extreme,candidate,curve,0.010909812711789514,raw_curvature_threshold,zx1|lanecurvatureXY,0.010909812711789514,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,,,,,
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,2,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,298.52500000000003,1759079450.415,298.52500000000003,313.595,15.069999999999993,curve_right_or_negative,extreme,candidate,curve,-0.008061629987201372,raw_curvature_threshold,zx1|lanecurvatureXY,-0.008061629987201372,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,,,,,
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,3,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,317.53000000000003,1759079469.4199998,317.53000000000003,319.335,1.80499999999995,curve_left_or_positive,weak,candidate,curve,0.0010842599946592887,raw_curvature_threshold,zx1|lanecurvatureXY,0.0010842599946592887,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,,,,,
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,4,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,476.495,1759079628.3849998,476.495,504.96500000000003,28.470000000000027,curve_right_or_negative,extreme,candidate,curve,-0.006164559912798013,raw_curvature_threshold,zx1|lanecurvatureXY,-0.006164559912798013,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,,,,,
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,raw_road_curvature_onset,1,byx,2025_09_28_17_05_51,5,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,546.3100000000001,1759079698.1999998,546.3100000000001,556.6850000000001,10.375,curve_right_or_negative,extreme,candidate,curve,-0.25247043898717275,raw_curvature_threshold,zx1|lanecurvatureXY,-0.25247043898717275,raw vehicle curvature crossing |curvature|>=8e-4 for >=0.8s,low_if_road_context_available_before_response,candidate_unverified,,,,,,
old_v400_context__byx__2025_09_28_17_05_51__00001,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,1,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,12.655,1759079164.545,11.455,14.455,3.0,context_residual,weak,primary,straight,0.0,context_residual,trigger_idx/200Hz,2531.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,0.9310702339500004,18.035033333333335,1.0,,
old_v400_context__byx__2025_09_28_17_05_51__00002,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,2,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,34.295,1759079186.1850002,33.445,36.08,2.634999999999998,context_residual,weak,secondary,straight,-1.50798e-09,context_residual,trigger_idx/200Hz,6859.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,0.41722034425,14.660666666666671,2.0,,
old_v400_context__byx__2025_09_28_17_05_51__00003,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,3,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,37.17,1759079189.0600002,35.97,38.97,3.0,context_residual,weak,primary,straight,-4.0256e-10,context_residual,trigger_idx/200Hz,7434.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,0.9168423372500004,14.893333333333352,2.0,,
old_v400_context__byx__2025_09_28_17_05_51__00004,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,4,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,60.725,1759079212.615,60.37,62.525,2.155000000000001,context_residual,extreme_active,primary,straight,3.76996e-10,context_residual,trigger_idx/200Hz,12145.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,3.0830669230000005,14.427999999999995,3.0,,
old_v400_context__byx__2025_09_28_17_05_51__00005,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,5,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,67.0,1759079218.89,65.8,67.86,2.0600000000000023,context_residual,weak,secondary,straight,6.19805e-10,context_residual,trigger_idx/200Hz,13400.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,0.8061315049999997,6.427255449142956,3.0,,
old_v400_context__byx__2025_09_28_17_05_51__00006,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,6,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,87.665,1759079239.555,86.465,89.465,3.0,context_residual,strong_active,secondary,straight,-1.74528e-09,context_residual,trigger_idx/200Hz,17533.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,2.750223145,14.544399999999994,4.0,,
old_v400_context__byx__2025_09_28_17_05_51__00007,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,7,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,90.8,1759079242.69,89.6,92.075,2.4750000000000085,context_residual,extreme_active,primary,straight,-9.19255e-10,context_residual,trigger_idx/200Hz,18160.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,10.04685899,22.4000000000002,4.0,,
old_v400_context__byx__2025_09_28_17_05_51__00008,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,8,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,96.55,1759079248.44,96.54,98.35,1.809999999999988,context_residual,strong_active,secondary,straight,-1.76082e-09,context_residual,trigger_idx/200Hz,19310.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,2.415609560000001,16.522000000000002,4.0,,
old_v400_context__byx__2025_09_28_17_05_51__00009,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,9,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,109.39,1759079261.2800002,108.305,111.19,2.884999999999991,context_residual,strong_active,secondary,straight,1.77636e-09,context_residual,trigger_idx/200Hz,21878.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,5.615967417499999,14.313333333333253,5.0,,
old_v400_context__byx__2025_09_28_17_05_51__00010,old_v400_context_trigger_idx,2,byx,2025_09_28_17_05_51,10,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,01_datasets/多模态数据/被试数据集合/byx/event/Entity_Recording_2025_09_28_17_05_51_vehicle_aligned_cleaned_events_v400_context.csv,111.205,1759079263.095,110.005,112.055,2.0500000000000114,context_residual,strong_active,primary,straight,1.55386e-11,context_residual,trigger_idx/200Hz,22241.0,old processed v400 context event table; reference only,medium_old_processed_anchor_unverified,old_reference_needs_raw_validation,True,7.142387698999999,3.5166486527045726,5.0,,
