subject,session_stamp,vehicle_raw_relative_path,read_status,read_error,duration_s,grid_rows
byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,ok,,565.4350000000001,113088
byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,ok,,533.76,106753
byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,ok,,585.39,117079
byx,2025_09_28_17_35_43,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,ok,,585.865,117174
byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,ok,,547.415,109484
cwh,2025_09_26_19_23_28,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_23_28_vehicle.csv,ok,,164.04500000000002,32810
cwh,2025_09_26_19_27_21,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,ok,,433.93,86787
cwh,2025_09_26_19_35_47,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,ok,,549.41,109883
cwh,2025_09_26_19_45_40,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_45_40_vehicle.csv,ok,,538.98,107797
cwh,2025_09_26_19_56_16,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_56_16_vehicle.csv,ok,,525.975,105196
cwh,2025_09_26_20_06_19,原始车辆数据/cwh/Entity_Recording_2025_09_26_20_06_19_vehicle.csv,ok,,504.48,100897
gf,2025_09_26_10_03_00,原始车辆数据/gf/Entity_Recording_2025_09_26_10_03_00_vehicle.csv,ok,,659.27,131855
gf,2025_09_26_10_18_49,原始车辆数据/gf/Entity_Recording_2025_09_26_10_18_49_vehicle.csv,ok,,583.83,116767
gf,2025_09_26_10_30_12,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,ok,,565.995,113200
gf,2025_09_26_10_40_59,原始车辆数据/gf/Entity_Recording_2025_09_26_10_40_59_vehicle.csv,ok,,591.325,118266
gf,2025_09_26_10_52_57,原始车辆数据/gf/Entity_Recording_2025_09_26_10_52_57_vehicle.csv,ok,,618.3100000000001,123663
gzj,2025_09_27_11_38_49,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_38_49_vehicle.csv,ok,,86.18,17237
gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,ok,,641.57,128315
gzj,2025_09_27_11_53_25,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_53_25_vehicle.csv,ok,,594.44,118889
gzj,2025_09_27_12_04_23,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_04_23_vehicle.csv,ok,,314.13,62827
gzj,2025_09_27_12_17_12,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv,ok,,614.75,122951
gzj,2025_09_27_12_28_14,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_28_14_vehicle.csv,ok,,627.485,125498
hzh,2025_09_26_20_50_27,原始车辆数据/hzh/Entity_Recording_2025_09_26_20_50_27_vehicle.csv,ok,,731.16,146233
hzh,2025_09_26_21_03_19,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv,ok,,598.58,119717
hzh,2025_09_26_21_17_02,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_17_02_vehicle.csv,ok,,664.59,132919
hzh,2025_09_27_19_22_27,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_22_27_vehicle.csv,ok,,576.95,115391
hzh,2025_09_27_19_33_25,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_33_25_vehicle.csv,ok,,565.455,113092
hzh,2025_09_27_19_44_05,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_44_05_vehicle.csv,ok,,546.66,109333
jy,2025_09_26_17_17_11,原始车辆数据/jy/Entity_Recording_2025_09_26_17_17_11_vehicle.csv,ok,,676.225,135246
jy,2025_09_26_17_29_44,原始车辆数据/jy/Entity_Recording_2025_09_26_17_29_44_vehicle.csv,ok,,639.01,127803
jy,2025_09_26_17_40_51,原始车辆数据/jy/Entity_Recording_2025_09_26_17_40_51_vehicle.csv,ok,,549.58,109917
jy,2025_09_26_17_51_46,原始车辆数据/jy/Entity_Recording_2025_09_26_17_51_46_vehicle.csv,ok,,564.895,112980
jy,2025_09_26_18_01_40,原始车辆数据/jy/Entity_Recording_2025_09_26_18_01_40_vehicle.csv,ok,,522.6850000000001,104538
lx,2025_09_26_08_58_43,原始车辆数据/lx/Entity_Recording_2025_09_26_08_58_43_vehicle.csv,ok,,273.045,54610
lx,2025_09_26_09_06_38,原始车辆数据/lx/Entity_Recording_2025_09_26_09_06_38_vehicle.csv,ok,,383.045,76610
lx,2025_09_26_09_17_22,原始车辆数据/lx/Entity_Recording_2025_09_26_09_17_22_vehicle.csv,ok,,619.49,123899
