road_design_mapping_reliability,road_design_risk_class,road_design_instance_name,road_guided_recommended_decision,count
high,design_curve_context,curve1,hybrid_accept_high,60
high,design_curve_context,curve1,hybrid_accept_medium,25
high,design_curve_context,curve1,hybrid_reject_low_evidence,28
high,design_curve_context,curve1,hybrid_review_conflict_or_medium,12
high,design_curve_context,curve1,manual_confirmed_accept,2
high,design_high_risk_surface,mu1,hybrid_accept_high,5
high,design_high_risk_surface,mu1,hybrid_accept_medium,3
high,design_high_risk_surface,mu1,hybrid_review_conflict_or_medium,1
high,design_regular_road,longstraight,hybrid_accept_high,30
high,design_regular_road,longstraight,hybrid_accept_medium,11
high,design_regular_road,longstraight,hybrid_reject_low_evidence,4
high,design_regular_road,longstraight,hybrid_review_conflict_or_medium,6
high,design_regular_road,section1,hybrid_accept_high,16
high,design_regular_road,section1,hybrid_accept_medium,32
high,design_regular_road,section1,hybrid_reject_low_evidence,54
high,design_regular_road,section1,hybrid_review_conflict_or_medium,57
high,design_regular_road,section1,manual_confirmed_accept,2
high,design_regular_road,section2,hybrid_accept_high,100
high,design_regular_road,section2,hybrid_accept_medium,23
high,design_regular_road,section2,hybrid_reject_low_evidence,27
high,design_regular_road,section2,hybrid_review_conflict_or_medium,13
high,design_regular_road,section2,manual_confirmed_accept,1
low,design_curve_context,curve1,hybrid_accept_high,20
low,design_curve_context,curve1,hybrid_accept_medium,13
low,design_curve_context,curve1,hybrid_reject_low_evidence,6
low,design_curve_context,curve1,hybrid_review_conflict_or_medium,9
low,design_curve_context,curve2,hybrid_accept_high,33
low,design_curve_context,curve2,hybrid_accept_medium,21
low,design_curve_context,curve2,hybrid_reject_low_evidence,13
low,design_curve_context,curve2,hybrid_review_conflict_or_medium,8
low,design_high_risk_surface,mu1,hybrid_accept_high,15
low,design_high_risk_surface,mu1,hybrid_accept_medium,13
low,design_high_risk_surface,mu1,hybrid_reject_low_evidence,10
low,design_high_risk_surface,mu1,hybrid_review_conflict_or_medium,8
low,design_regular_road,section2,hybrid_accept_medium,1
low,design_regular_road,section2,hybrid_review_conflict_or_medium,1
low,design_regular_road,section3,hybrid_accept_high,83
low,design_regular_road,section3,hybrid_accept_medium,42
low,design_regular_road,section3,hybrid_reject_low_evidence,19
low,design_regular_road,section3,hybrid_review_conflict_or_medium,15
low,design_regular_road,section3,manual_confirmed_accept,2
low,design_regular_road,section4,hybrid_accept_high,72
low,design_regular_road,section4,hybrid_accept_medium,21
low,design_regular_road,section4,hybrid_reject_low_evidence,25
low,design_regular_road,section4,hybrid_review_conflict_or_medium,15
low,design_regular_road,section4,manual_confirmed_accept,2
low,design_special_event_segment,fix_road,hybrid_accept_high,102
low,design_special_event_segment,fix_road,hybrid_accept_medium,42
low,design_special_event_segment,fix_road,hybrid_reject_low_evidence,22
low,design_special_event_segment,fix_road,hybrid_review_conflict_or_medium,24
low,design_special_event_segment,fix_road,manual_confirmed_accept,4
medium,design_curve_context,curve1,hybrid_accept_high,35
medium,design_curve_context,curve1,hybrid_accept_medium,8
medium,design_curve_context,curve1,hybrid_reject_low_evidence,13
medium,design_curve_context,curve1,hybrid_review_conflict_or_medium,3
medium,design_high_risk_surface,mu1,hybrid_accept_high,13
medium,design_high_risk_surface,mu1,hybrid_accept_medium,6
medium,design_high_risk_surface,mu1,hybrid_reject_low_evidence,2
medium,design_high_risk_surface,mu1,hybrid_review_conflict_or_medium,4
medium,design_high_risk_surface,mu1,manual_confirmed_accept,1
medium,design_regular_road,section2,hybrid_accept_high,5
medium,design_regular_road,section2,hybrid_accept_medium,1
very_low,design_curve_context,curve1,hybrid_accept_high,30
very_low,design_curve_context,curve1,hybrid_accept_medium,30
very_low,design_curve_context,curve1,hybrid_reject_low_evidence,16
very_low,design_curve_context,curve1,hybrid_review_conflict_or_medium,7
very_low,design_curve_context,curve2,hybrid_accept_high,34
very_low,design_curve_context,curve2,hybrid_accept_medium,12
very_low,design_curve_context,curve2,hybrid_reject_low_evidence,9
very_low,design_curve_context,curve2,hybrid_review_conflict_or_medium,12
very_low,design_curve_context,curve2,manual_confirmed_accept,3
very_low,design_high_risk_surface,mu1,hybrid_accept_high,80
very_low,design_high_risk_surface,mu1,hybrid_accept_medium,73
very_low,design_high_risk_surface,mu1,hybrid_reject_low_evidence,68
very_low,design_high_risk_surface,mu1,hybrid_review_conflict_or_medium,44
very_low,design_high_risk_surface,mu1,manual_confirmed_accept,6
very_low,design_regular_road,section3,hybrid_accept_medium,1
very_low,design_regular_road,section5,hybrid_accept_high,83
very_low,design_regular_road,section5,hybrid_accept_medium,16
very_low,design_regular_road,section5,hybrid_reject_low_evidence,12
very_low,design_regular_road,section5,hybrid_review_conflict_or_medium,12
very_low,design_regular_road,section6,hybrid_accept_high,56
very_low,design_regular_road,section6,hybrid_accept_medium,34
very_low,design_regular_road,section6,hybrid_reject_low_evidence,24
very_low,design_regular_road,section6,hybrid_review_conflict_or_medium,12
very_low,design_special_event_segment,fix_road,hybrid_accept_high,1
very_low,design_special_event_segment,stop,hybrid_accept_high,12
very_low,design_special_event_segment,stop,hybrid_accept_medium,12
very_low,design_special_event_segment,stop,hybrid_reject_low_evidence,22
very_low,design_special_event_segment,stop,hybrid_review_conflict_or_medium,6
