instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,vehicle_read_status,vehicle_read_error,event_index_in_session,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,old_v400_near_count,old_v400_overlap_count,old_v400_primary_count,old_v400_active_count,old_v400_max_primary_score,old_v400_max_trigger_score,old_v400_max_level_rank,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,old_v400_nearest_event_uid,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_s,road_design_curvature,road_design_nearest_dist_m,road_design_vehicle_time_gap_s,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,manual_label_anchor_rel_s,manual_label_start_rel_s,manual_label_end_rel_s,manual_label_confidence_max,manual_label_match_type,road_guided_instability_score,road_guided_recommended_decision,road_guided_decision_reasons
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000035830,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,35.83,35.83,38.415,2.585,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00002,roll_rate,weak,0.068001,1.360029,ok,,2,2601,518,1.71374,1.71374,1.71374,0.068001,0.052355,2.097258,0.0,130.408,0.005236,0.461465,-0.461465,39.05,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,1,0,0.916842,14.893333,1,weak,straight,secondary,1.34,old_v400_context__byx__2025_09_28_17_05_51__00003,ok,middle_section,section1,759.624693,-0.0,6.078378,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,47.1,hybrid_review_conflict_or_medium,base_dynamic_score=39.05; post_steering_response=+0.0; old_v400_nearby=+3.0; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000135555,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,135.555,135.555,136.615,1.06,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00010,roll_rate,medium,0.102008,2.040163,ok,,6,2601,213,2.37813,-2.37813,2.37813,0.102008,0.104413,3.27113,1.1e-07,118.144,-0.194255,0.567232,0.567232,41.79,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,0,0.833448,13.614,1,weak,straight,primary,0.125,old_v400_context__byx__2025_09_28_17_05_51__00013,ok,curve1,curve1,3386.141588,-0.0,5.689338,0.0,high,design_curve_context,0,none,,,,,nearest_or_exact,50.46,hybrid_review_conflict_or_medium,base_dynamic_score=41.79; ay_support=+0.8; lateral_support=+0.9; post_steering_response=+0.5; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000211665,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,211.665,211.665,212.64,0.975,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00016,roll_rate,medium,0.089032,1.78065,ok,,10,2601,196,2.886289,2.886289,2.22704,0.089032,0.114691,3.23193,0.0,130.414,-0.209614,0.309971,-0.309971,44.21,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,0,0,0.624279,13.671333,1,weak,straight,secondary,0.405,old_v400_context__byx__2025_09_28_17_05_51__00028,ok,middle_section,section3,5417.57442,-0.0,278.659804,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,48.36,hybrid_review_conflict_or_medium,base_dynamic_score=44.21; ay_support=+1.8; lateral_support=+0.9; old_v400_nearby=+1.5
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000231405,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,231.405,231.405,231.89,0.485,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00019,ay,weak,1.54546,1.188815,ok,,12,2601,98,3.39552,-3.39552,1.54546,0.232588,0.137393,1.580436,0.0,115.067,-0.005061,0.263545,-0.263545,39.87,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,fix_road,fix_road,6088.199113,-0.0,283.914731,0.0,low,design_special_event_segment,0,none,,,,,nearest_or_exact,51.66,hybrid_review_conflict_or_medium,base_dynamic_score=39.87; ay_support=+2.8; yaw_rate_support=+5; design_special_segment=+4
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000528855,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,528.855,528.855,535.465,6.61,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00050;allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00051,roll_rate;roll_rate,medium;medium,0.103804,2.07609,ok,,25,2601,1323,2.20689,2.20689,2.20689,0.103804,0.064024,3.26221,4.28e-06,130.321,-0.24679,0.414167,0.414167,43.29,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,0,0,0.846542,9.068213,1,weak,straight,secondary,1.3,old_v400_context__byx__2025_09_28_17_05_51__00089,ok,differentmu_road,mu1,14573.160724,-0.0,607.361463,0.0,very_low,design_high_risk_surface,0,none,,,,,nearest_or_exact,50.12,hybrid_review_conflict_or_medium,base_dynamic_score=43.29; ay_support=+0.4; lateral_support=+0.9; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000000070,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,0.07,0.07,1.045,0.975,all_raw_vehicle_dynamic_onset_non_steering,instability_roll_only,0,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00001;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00002,roll_rate;roll_rate,extreme;extreme,0.533191,10.663825,ok,,1,1615,196,0.778081,0.778081,0.259765,0.598382,0.07171,1.909341,1e-08,30.0704,0.680853,0.77353,-0.77353,40.08,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section1,1.624693,0.0,8.491621,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,45.42,hybrid_review_conflict_or_medium,base_dynamic_score=40.08; roll_rate_support=+4.0; post_steering_response=+1.3
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000012860,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,12.86,12.86,16.805,3.945,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,3,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00003;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00004;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00005,roll_rate;roll_rate;ay,weak;weak;weak,1.35254,1.117216,ok,,2,2601,790,1.37889,1.37889,1.37889,0.055861,0.064313,2.3863,0.0,78.809501,0.037176,0.582766,-0.582766,37.16,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,3,3,1,0,1.02045,22.456667,1,weak,straight,secondary,0.145,old_v400_context__byx__2025_09_28_17_15_52__00001,ok,middle_section,section1,148.624693,-0.0,5.761348,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,47.21,hybrid_review_conflict_or_medium,base_dynamic_score=37.16; post_steering_response=+0.6; old_v400_nearby=+4.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000362300,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,362.3,362.3,366.32,4.02,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00047;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00048,roll_rate;roll_rate,weak;medium,0.097665,1.953307,ok,,17,2601,805,2.20447,-2.20447,2.20447,0.097665,0.068022,1.977269,0.0,121.572,-0.248535,0.487645,0.487645,43.28,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,0,0.982586,13.497233,1,weak,straight,secondary,0.705,old_v400_context__byx__2025_09_28_17_15_52__00078,ok,stop,stop,11806.911338,0.0,894.845217,0.0,very_low,design_special_event_segment,0,none,,,,,nearest_or_exact,50.85,hybrid_review_conflict_or_medium,base_dynamic_score=43.28; ay_support=+0.4; post_steering_response=+0.2; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000097035,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,97.035,97.035,98.55,1.515,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_25_18__00009,roll_rate,medium,0.085146,1.702925,ok,,6,2601,304,1.85484,-1.85484,1.85484,0.085146,0.088461,2.843904,0.0,84.712679,-0.04311,0.49899,0.49899,39.49,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,1,1.341826,12.24644,2,medium_active,straight,primary,0.95,old_v400_context__byx__2025_09_28_17_25_18__00014,ok,middle_section,section2,2007.516895,0.0,6.536013,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,51.61,hybrid_review_conflict_or_medium,base_dynamic_score=39.49; lateral_support=+0.4; post_steering_response=+0.2; old_v400_nearby=+1.5; old_v400_primary=+5; old_v400_active=+5
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000134250,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,134.25,134.25,135.75,1.5,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_25_18__00013,ay,medium,2.68149,2.062685,ok,,9,2601,301,2.68149,2.68149,2.68149,0.073979,0.084631,3.218256,6e-08,119.349,-0.091106,0.510509,-0.510509,43.99,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,0,0.830401,14.660667,1,weak,straight,primary,0.06,old_v400_context__byx__2025_09_28_17_25_18__00020,ok,curve1,curve1,3186.141588,0.0,2.598885,0.0,high,design_curve_context,0,none,,,,,nearest_or_exact,52.97,hybrid_review_conflict_or_medium,base_dynamic_score=43.99; ay_support=+1.4; lateral_support=+0.9; post_steering_response=+0.3; old_v400_nearby=+1.5; old_v400_primary=+5
