summary_type,key,value
total,raw_vehicle_csv_files,91
total,read_ok_files,91
total,all_candidates,1991
total,accepted_candidates,1348
total,primary_high_confidence_candidates,908
total,review_candidates,269
decision_count,hybrid_accept_high,885
decision_count,hybrid_accept_medium,440
decision_count,hybrid_reject_low_evidence,374
decision_count,hybrid_review_conflict_or_medium,269
decision_count,manual_confirmed_accept,23
road_design_risk_count,design_regular_road,930
road_design_risk_count,design_curve_context,462
road_design_risk_count,design_high_risk_surface,352
road_design_risk_count,design_special_event_segment,247
subject_candidate_count,byx,143
subject_candidate_count,cwh,100
subject_candidate_count,gf,86
subject_candidate_count,gzj,156
subject_candidate_count,hzh,179
subject_candidate_count,jy,93
subject_candidate_count,lx,59
subject_candidate_count,lxy,93
subject_candidate_count,rjy,116
subject_candidate_count,txj,135
subject_candidate_count,tyy,102
subject_candidate_count,xst,26
subject_candidate_count,yyl,106
subject_candidate_count,yzy,128
subject_candidate_count,zdq,87
subject_candidate_count,zt,28
subject_candidate_count,zx,236
subject_candidate_count,zxy,118
