event_uid,dataset_version,subject,session_stamp,anchor_time_rel_s,event_type,event_level,road_type_anchor,n_window_samples,random_event_split,session_level_split,subject_level_split
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,60.84,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,87.745,instability_ay_roll,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,99.815,instability_ay_roll,none,none,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,158.49,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,187.815,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,219.32,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,243.065,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,257.595,instability_ay_roll,strong_active,straight,3,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,299.3,instability_ay_roll,extreme_active,curve,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,343.9,instability_ay_roll,weak,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,349.3,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,366.8,instability_ay_roll,none,none,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,372.59,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,484.195,instability_ay_roll,strong_active,curve,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000546280,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_05_51,546.28,instability_ay_roll,weak,curve,3,val,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,28.81,instability_ay_roll,medium_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,58.865,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000087445,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,87.445,instability_ay_roll,extreme_active,straight,3,val,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,131.145,instability_ay_roll,strong_active,curve,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,164.04,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,216.345,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000263965,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,263.965,instability_ay_roll,strong_active,curve,3,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000287425,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,287.425,instability_ay_roll,extreme_active,straight,3,val,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,319.77,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,341.81,instability_ay_roll,strong_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,411.92,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000450690,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,450.69,instability_ay_roll,none,none,3,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000517355,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_15_52,517.355,instability_ay_roll,none,none,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000049910,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,49.91,instability_ay_roll,extreme_active,straight,3,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,65.55,instability_ay_roll,none,none,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000117195,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,117.195,instability_ay_roll,strong_active,straight,3,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,164.15,instability_ay_roll,strong_active,curve,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000191805,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,191.805,instability_ay_roll,medium_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000225005,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,225.005,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,248.265,instability_ay_roll,extreme_active,straight,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000265825,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,265.825,instability_ay_roll,none,none,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,275.87,instability_ay_roll,none,none,3,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000283135,vehicle_instability_highconf_v0_1,byx,2025_09_28_17_25_18,283.135,instability_ay_roll,strong_active,straight,3,val,train,test
