event_uid,subject,session_stamp,default_split,session_level_split,subject_level_split,event_type,event_level,road_type_anchor,road_design_risk_class,event_end_rel_s,event_duration_s,peak2_abs,peak2_time_s,tail2_abs,tail2_over_peak,peak2_near_end,tail2_unsettled,label2_response_unsettled,event_exceeds_2s_label,peak3_abs,peak3_time_s,tail3_abs,tail3_over_peak,peak3_near_end,tail3_unsettled,label3_response_unsettled,event_exceeds_3s_label,post2_range_abs,post2_change_from_2s_abs,post2_substantial_change,peak_after_2s_in_3s_label,peak_gain_after_2s_abs,peak_gain_after_2s_ratio,old_2s_may_miss_future_peak,old_2s_may_miss_future_change,label_window_2s_needs_review,label3_still_needs_review,recommended_window_policy,recurrence_rank,primary_attribution,mean_sample_rmse,vehicle_only_structure_gap,label_window_may_be_short,consensus_reversal_failure,figure_png,top_recurrent_bad_event,response_task_class,response_task_track,include_instant2s_core_candidate,include_response3s_candidate,include_response3s_strict_core,requires_manual_window_or_anchor_review,requires_long_event_split_review,recommended_training_action,response_task_class_cn,do_not_claim_complete_response_without_review,stage3_main_recommendation_cn
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,67.06,6.22,1.944647192955017,1.190000057220459,1.1220731735229492,0.5770060387241176,False,True,True,True,1.944647192955017,1.190000057220459,0.1993147730827331,0.1024940533196983,False,False,False,True,1.3723520040512085,1.3479169607162476,True,False,0.0,0.0,False,True,True,False,use_3s_label_or_split_continuing_response,,,,,,,,False,switch_to_3s_continuing_response_core,B_response3s_core_candidate,False,True,True,False,False,prefer 3s response-coverage label; rerun vehicle-only baseline before model escalation,2秒后仍有明显变化，优先转为3秒响应覆盖候选,False,优先转入3秒响应覆盖候选，重跑车辆-only基线后再决定是否继续。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,94.47,6.725,1.974661350250244,1.5549999475479126,1.622801423072815,0.8218125213557055,False,True,True,True,1.974661350250244,1.5549999475479126,1.6163486242294312,0.8185447211110883,False,True,True,True,3.239150047302246,3.239150047302246,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,instability_extreme,design_regular_road,design_regular_road,115.085,15.27,0.0516600608825683,1.995000004768372,0.0516600608825683,1.0,True,False,True,True,0.0715599060058593,2.4100000858306885,0.0694599151611328,0.9706540860387014,False,False,False,True,0.019899845123291,0.019899845123291,False,True,0.019899845123291,0.2780865184711338,False,False,True,False,review_2s_tail_or_anchor,,,,,,,,False,manual_2s_tail_or_anchor_review,C_manual_2s_anchor_or_tail_review,False,True,False,True,False,review anchor/tail before using as core sample,2秒尾段或锚点需复核，暂不进核心训练,True,先复核锚点或尾段，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_curve_context,182.395,23.905,2.112717866897583,1.9049999713897705,2.050588846206665,0.9705928455169686,True,True,True,True,2.112717866897583,1.9049999713897705,1.098860263824463,0.5201168982577321,False,True,True,True,3.157651901245117,3.157651901245117,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,199.71,11.895,0.9306089878082277,1.995000004768372,0.9306089878082277,1.0,True,True,True,True,0.9477140307426452,2.095000028610229,0.0452042818069458,0.0476982299940446,False,False,False,True,1.1653570383787155,1.1482519954442978,True,True,0.0171050429344177,0.0180487387329423,False,True,True,False,use_3s_label_or_split_continuing_response,,,,,,,,False,switch_to_3s_continuing_response_core,B_response3s_core_candidate,False,True,True,False,False,prefer 3s response-coverage label; rerun vehicle-only baseline before model escalation,2秒后仍有明显变化，优先转为3秒响应覆盖候选,False,优先转入3秒响应覆盖候选，重跑车辆-only基线后再决定是否继续。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,228.1,8.78,0.7374014258384705,2.0,0.7374014258384705,1.0,True,True,True,True,1.9814759492874143,2.815000057220459,1.6837149858474731,0.8497276923562845,True,True,True,True,1.244074523448944,1.244074523448944,True,True,1.244074523448944,0.6278524470086768,True,True,True,True,use_3s_or_longer_label_for_late_peak_review,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,246.25,3.185,0.9133307933807372,1.9900000095367432,0.9133307933807372,1.0,True,True,True,True,2.143440008163452,2.559999942779541,0.7171569466590881,0.334582234131929,False,True,True,True,1.426283061504364,1.2301092147827148,True,True,1.2301092147827148,0.5738948653089201,True,True,True,True,use_3s_or_longer_label_for_late_peak_review,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,270.23,12.635,1.2873549461364746,2.0,1.2873549461364746,1.0,True,True,True,True,1.2908459901809692,3.0,1.2908459901809692,1.0,True,True,True,True,0.3019419908523559,0.2984509468078613,True,True,0.0034910440444946,0.0027044620900167,False,True,True,True,use_3s_label_or_split_continuing_response,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,curve,design_regular_road,339.7,40.4,0.5049239993095398,0.7749999761581421,0.2534219622611999,0.5019012021764518,False,True,True,True,0.5049239993095398,0.7749999761581421,0.0375249609351158,0.0743180379352723,False,False,False,True,0.2960079982876777,0.2309070006012916,False,False,0.0,0.0,False,False,True,False,review_2s_tail_or_anchor,,,,,,,,False,manual_2s_tail_or_anchor_review,C_manual_2s_anchor_or_tail_review,False,True,False,True,False,review anchor/tail before using as core sample,2秒尾段或锚点需复核，暂不进核心训练,True,先复核锚点或尾段，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,weak,straight,design_curve_context,345.535,1.635,0.5319759845733643,1.8600000143051147,0.5300559997558594,0.9963908430583672,True,True,True,True,0.5319759845733643,1.8600000143051147,0.4988150000572204,0.9376645084030656,False,True,True,True,0.0312409996986389,0.0312409996986389,False,False,0.0,0.0,False,False,True,True,review_continuous_event_or_longer_than_3s,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,straight,design_curve_context,363.51,14.21,0.9506800174713136,1.995000004768372,0.9506800174713136,1.0,True,True,True,True,1.3292438983917236,2.5899999141693115,0.2096118479967117,0.1576925410380479,False,False,False,True,1.5388557463884354,1.1602918654680252,True,True,0.3785638809204101,0.2847964029614441,True,True,True,False,use_3s_or_longer_label_for_late_peak_review,,,,,,,,False,switch_to_3s_late_peak_core,B_response3s_core_candidate,False,True,True,False,False,prefer 3s response-coverage label; rerun vehicle-only baseline before model escalation,2秒漏掉后续峰值，优先转为3秒响应覆盖候选,False,优先转入3秒响应覆盖候选，重跑车辆-only基线后再决定是否继续。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,instability_strong,design_regular_road,design_regular_road,367.925,1.125,0.3214896917343139,1.0299999713897705,0.1626650094985962,0.505972706686428,False,False,False,True,0.3214896917343139,1.0299999713897705,0.2279400080442428,0.7090118716236085,False,True,True,True,0.0659729987382888,0.0659729987382888,False,False,0.0,0.0,False,False,False,True,review_continuous_event_or_longer_than_3s,,,,,,,,False,instant2s_ok_but_long_event_context,A_instant2s_only_with_long_event_flag,True,False,False,True,False,can_use_for_2s_instant_response; do not use as complete-response claim without review,2秒即时响应可用，但完整响应/长事件仍需复核,True,可作为2秒即时响应候选，但完整响应需要长事件复核。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,386.135,13.545,1.795423984527588,1.1950000524520874,0.3569190502166748,0.1987937408057893,False,False,False,True,1.795423984527588,1.1950000524520874,0.5883499979972839,0.3276941842525795,False,True,True,True,0.5049269795417786,0.5049269795417786,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,curve,design_high_risk_surface,519.75,35.555,1.1178799867630005,1.1349999904632568,0.6339051127433777,0.5670600782280313,False,True,True,True,1.1178799867630005,1.1349999904632568,0.5407029986381531,0.4836860888831588,False,True,True,True,1.3411121368408203,1.3411121368408203,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000546280,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,weak,curve,design_high_risk_surface,563.28,17.0,0.1469560116529464,1.7699999809265137,0.1460840255022049,0.9940663458341474,True,False,True,True,0.1528910249471664,2.069999933242798,0.0013960301876068,0.0091308838310766,False,False,False,True,0.1514949947595596,0.144687995314598,False,True,0.0059350132942199,0.0388185853046043,False,False,True,False,review_2s_tail_or_anchor,,,,,,,,False,manual_2s_tail_or_anchor_review,C_manual_2s_anchor_or_tail_review,False,True,False,True,False,review anchor/tail before using as core sample,2秒尾段或锚点需复核，暂不进核心训练,True,先复核锚点或尾段，不进入核心训练结论。
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810,byx,2025_09_28_17_15_52,train,train,test,instability_ay_roll,medium_active,straight,design_regular_road,37.12,8.31,0.3460968434810638,0.2300000041723251,0.3262036442756653,0.9425212925801012,False,True,True,True,0.4628633260726928,3.0,0.4628633260726928,1.0,True,True,True,True,0.1483533680438995,0.1366596817970276,False,True,0.116766482591629,0.2522698948356319,False,False,True,True,review_continuous_event_or_longer_than_3s,,,,,,,,False,long_or_unsettled_review,D_long_event_or_unsettled_review,False,False,False,True,True,return to stage2 sample rules; consider splitting onset response and sustained control,3秒仍未稳定或长事件复杂，需回到样本规则复核/拆分,True,先回到阶段2复核或拆分长事件，不进入核心训练结论。
