window_config_id,task_sample_role,n_samples
pre1_label2_event_trigger,long_event_review_holdout,588
pre1_label2_event_trigger,not_primary_for_next_stage,210
pre1_label2_event_trigger,early1s_control_for_instant2s,84
pre1_label2_event_trigger,manual_window_anchor_review_holdout,24
pre2_label2_old_main,long_event_review_holdout,588
pre2_label2_old_main,not_primary_for_next_stage,210
pre2_label2_old_main,instant2s_core_candidate,84
pre2_label2_old_main,manual_window_anchor_review_holdout,24
pre3_label3_response_coverage,long_event_review_holdout,588
pre3_label3_response_coverage,response3s_strict_core_candidate,270
pre3_label3_response_coverage,manual_window_anchor_review_holdout,24
pre3_label3_response_coverage,response3s_review_candidate,24
