plot_type,rank,array_row,sample_id,event_uid,subject,gt_peak_abs
fixed_pre2_session_test,1,226,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,3.1211791038513184
fixed_pre2_session_test,2,900,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,zxy,2.7082290649414062
fixed_pre2_session_test,3,903,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,zxy,2.6043848991394043
fixed_pre2_session_test,4,191,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2.594604015350342
fixed_pre2_session_test,5,301,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,hzh,2.461432933807373
fixed_pre2_session_test,6,560,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2.333853006362915
fixed_pre2_session_test,7,187,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105,gzj,0.8684759736061096
fixed_pre2_session_test,8,302,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000429895__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000429895,hzh,0.8702206611633301
fixed_pre2_session_test,9,223,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605,hzh,0.8745843768119812
fixed_pre2_session_test,10,124,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000205285__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000205285,gf,0.8585270047187805
fixed_pre2_session_test,11,253,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000360590__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000360590,hzh,0.8333950042724609
fixed_pre2_session_test,12,227,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000374985__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000374985,hzh,0.8304280042648315
