window_config_id,split_strategy,model_name,status,selected_alpha,val_rmse_for_alpha,train_rmse_selected_alpha,feature_count,removed_subject_onehot
pre1_label2_event_trigger,random_event_split,ridge_vehicle_summary,ok,1000.0,0.7489840984344482,0.692699134349823,84,
pre1_label2_event_trigger,random_event_split,ridge_vehicle_no_subject,ok,10.0,0.7360294461250305,0.63715660572052,66,True
pre1_label2_event_trigger,session_level_split,ridge_vehicle_summary,ok,1000.0,0.8487077355384827,0.6790773272514343,84,
pre1_label2_event_trigger,session_level_split,ridge_vehicle_no_subject,ok,1000.0,0.8456148505210876,0.6854016184806824,66,True
pre1_label2_event_trigger,subject_level_split,ridge_vehicle_summary,ok,1000.0,0.756153404712677,0.7157362699508667,84,
pre1_label2_event_trigger,subject_level_split,ridge_vehicle_no_subject,ok,1.0,0.7534281611442566,0.637692928314209,66,True
pre2_label2_old_main,random_event_split,ridge_vehicle_summary,ok,100.0,0.7358788251876831,0.6412394642829895,84,
pre2_label2_old_main,random_event_split,ridge_vehicle_no_subject,ok,100.0,0.7263791561126709,0.656653106212616,66,True
pre2_label2_old_main,session_level_split,ridge_vehicle_summary,ok,1000.0,0.85133296251297,0.6843152046203613,84,
pre2_label2_old_main,session_level_split,ridge_vehicle_no_subject,ok,1000.0,0.8476623296737671,0.6901543140411377,66,True
pre2_label2_old_main,subject_level_split,ridge_vehicle_summary,ok,1000.0,0.7549999356269836,0.7204805612564087,84,
pre2_label2_old_main,subject_level_split,ridge_vehicle_no_subject,ok,1000.0,0.7551906108856201,0.7239540815353394,66,True
pre3_label3_response_coverage,random_event_split,ridge_vehicle_summary,ok,100.0,0.8131505250930786,0.7323926091194153,84,
pre3_label3_response_coverage,random_event_split,ridge_vehicle_no_subject,ok,100.0,0.8055881261825562,0.7483526468276978,66,True
pre3_label3_response_coverage,session_level_split,ridge_vehicle_summary,ok,1000.0,0.9771792888641357,0.7666387557983398,84,
pre3_label3_response_coverage,session_level_split,ridge_vehicle_no_subject,ok,1000.0,0.9734789729118347,0.7743581533432007,66,True
pre3_label3_response_coverage,subject_level_split,ridge_vehicle_summary,ok,1000.0,0.8614571690559387,0.7977400422096252,84,
pre3_label3_response_coverage,subject_level_split,ridge_vehicle_no_subject,ok,1000.0,0.8616427779197693,0.8023797869682312,66,True
