sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,checkpoint_tag
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,active_legacy_best,2.248861312866211,2.7082290649414062,0.2532508075237274,2.454978257417679,0.09351159058224147,0,1,0.19000005722045898,1.8100000023841858,2.9212998151779175,1,0,3,0,0,1,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.477251648902893,2.594604015350342,0.44309136271476746,2.1515126526355743,0.17077417597958128,1,0,0.009999990463256836,1.8650000095367432,1.9320633709430695,1,1,2,0,0,1,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.3767942190170288,2.132270336151123,0.31454789638519287,1.8177224397659302,0.1475178316052414,1,0,0.815000057220459,1.4350000023841858,1.5968073606491089,1,1,2,1,0,1,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.2629752159118652,2.333853006362915,0.3265328109264374,2.0073201954364777,0.13991147258897307,1,0,1.3949999809265137,1.8299999982118607,1.987701803445816,1,1,8,0,0,1,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.2424620389938354,2.043076992034912,0.342126727104187,1.700950264930725,0.16745660023483872,1,0,0.09500002861022949,1.7650000005960464,1.5433934032917023,1,1,2,0,0,1,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.2250149250030518,1.6784822940826416,0.6509722471237183,1.0275100469589233,0.3878338481249818,1,0,0.08500003814697266,0.13500000070780516,1.0218024849891663,1,1,1,1,1,0,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.2179491519927979,3.1211791038513184,0.1057589203119278,3.0154201835393906,0.03388428436593998,1,0,0.36500000953674316,0.5750000476837158,3.01603764295578,1,1,0,0,1,0,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.1996442079544067,2.6043848991394043,0.10899131000041962,2.4953935891389847,0.0418491560277572,1,0,1.9450000384822488,0.8600000143051147,2.4942180812358856,1,0,1,0,0,0,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,hzh,2025_09_27_19_44_05,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.1891183853149414,2.461432933807373,0.9052056670188904,1.5562272667884827,0.36775556814327165,1,0,0.5250000953674316,0.9549999786540866,1.1120396256446838,0,1,2,8,0,1,1,1,0,1,1,active_legacy_best
vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,gzj,2025_09_27_11_38_49,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.1305590867996216,1.7081509828567505,0.47887152433395386,1.2292794585227966,0.28034496314434587,1,0,0.5149999856948853,0.09500000160187483,0.7837668359279633,0,1,5,0,0,1,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,2025_09_27_19_44_05,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.0913639068603516,1.9839180707931519,0.4203241169452667,1.5635939538478851,0.21186566276762886,1,0,0.14499998092651367,0.23499999474734068,1.4572039246559143,1,1,2,0,0,1,0,1,0,1,1,active_legacy_best
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680__pre2_label2_old_main,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000327680,yyl,2025_09_28_09_49_11,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.0367671251296997,1.7699379920959473,0.41302910447120667,1.3569088876247406,0.23335795169982237,1,0,0.5099999904632568,0.0850000036880374,0.542609840631485,0,1,2,0,0,1,0,1,0,1,1,active_legacy_best
