rank,event_uid,sample_id,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,checkpoint_tag
1,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre2_label2_old_main,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.2179491519927979,3.1211791038513184,0.1057589203119278,3.0154201835393906,0.03388428436593998,1,0,0.36500000953674316,0.5750000476837158,3.01603764295578,1,1,0,0,1,0,0,1,0,1,1,active_legacy_best
2,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre2_label2_old_main,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,active_legacy_best,2.248861312866211,2.7082290649414062,0.2532508075237274,2.454978257417679,0.09351159058224147,0,1,0.19000005722045898,1.8100000023841858,2.9212998151779175,1,0,3,0,0,1,0,1,0,1,1,active_legacy_best
3,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre2_label2_old_main,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.1996442079544067,2.6043848991394043,0.10899131000041962,2.4953935891389847,0.0418491560277572,1,0,1.9450000384822488,0.8600000143051147,2.4942180812358856,1,0,1,0,0,0,0,1,0,1,1,active_legacy_best
4,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.477251648902893,2.594604015350342,0.44309136271476746,2.1515126526355743,0.17077417597958128,1,0,0.009999990463256836,1.8650000095367432,1.9320633709430695,1,1,2,0,0,1,0,1,0,1,1,active_legacy_best
5,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre2_label2_old_main,hzh,2025_09_27_19_44_05,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.1891183853149414,2.461432933807373,0.9052056670188904,1.5562272667884827,0.36775556814327165,1,0,0.5250000953674316,0.9549999786540866,1.1120396256446838,0,1,2,8,0,1,1,1,0,1,1,active_legacy_best
6,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,tyy,2025_09_28_14_44_09,pre2_label2_old_main,session_level_split,test,active_legacy_best,1.2629752159118652,2.333853006362915,0.3265328109264374,2.0073201954364777,0.13991147258897307,1,0,1.3949999809265137,1.8299999982118607,1.987701803445816,1,1,8,0,0,1,0,1,0,1,1,active_legacy_best
7,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105__pre2_label2_old_main,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,active_legacy_best,0.6405054330825806,0.8684759736061096,0.5413476824760437,0.3271282911300659,0.6233306377242022,1,0,0.36500000953674316,0.03000000026077032,0.32831311225891113,0,1,1,0,0,0,0,0,0,0,0,active_legacy_best
8,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000429895,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000429895__pre2_label2_old_main,hzh,2025_09_27_19_44_05,pre2_label2_old_main,session_level_split,test,active_legacy_best,0.5759251117706299,0.8702206611633301,0.024330005049705505,0.8458906561136246,0.027958431850124796,0,1,0.004999995231628418,1.9300000071525574,0.5348054468631744,1,1,1,0,0,0,0,0,0,1,0,active_legacy_best
9,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605__pre2_label2_old_main,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,active_legacy_best,0.5192587375640869,0.8745843768119812,0.28839683532714844,0.5861875414848328,0.3297530152303969,1,0,0.7000000476837158,0.07000000309199095,1.0170886814594269,1,1,1,0,0,0,0,0,0,1,0,active_legacy_best
10,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000205285,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000205285__pre2_label2_old_main,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,active_legacy_best,0.5057981014251709,0.8585270047187805,0.022122710943222046,0.8364042937755585,0.025768217914669524,0,1,1.1249999403953552,1.880000002682209,0.8591729626059532,1,1,5,0,0,1,0,0,0,1,0,active_legacy_best
11,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000360590,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000360590__pre2_label2_old_main,hzh,2025_09_26_21_03_19,pre2_label2_old_main,session_level_split,test,active_legacy_best,0.5832511186599731,0.8333950042724609,0.20366846024990082,0.6297265440225601,0.244384066626005,0,1,0.7699999809265137,0.7150000287219882,0.09445682168006897,0,1,3,0,0,1,0,0,0,1,0,active_legacy_best
12,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000374985,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000374985__pre2_label2_old_main,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,active_legacy_best,0.5556931495666504,0.8304280042648315,0.023387493565678596,0.807040510699153,0.028163180246291525,1,0,1.475000023841858,1.910000003874302,0.8111464809626341,1,1,1,0,0,0,0,0,0,1,0,active_legacy_best
