relative_path,size_bytes,modified_time_ns
run57_a_full_release_population_causal_baseline_20260827/__pycache__/experiment.cpython-311.pyc,87841,1787837551244008600
run57_a_full_release_population_causal_baseline_20260827/__pycache__/freeze_protocol.cpython-311.pyc,3984,1787837551249854700
run57_a_full_release_population_causal_baseline_20260827/__pycache__/post_result_analysis.cpython-311.pyc,18952,1787838247823568300
run57_a_full_release_population_causal_baseline_20260827/__pycache__/validate.cpython-311.pyc,22620,1787837551255369300
run57_a_full_release_population_causal_baseline_20260827/config.json,5833,1787837196483542600
run57_a_full_release_population_causal_baseline_20260827/experiment.py,47697,1787837482338417000
run57_a_full_release_population_causal_baseline_20260827/freeze_protocol.py,1756,1787837393640153600
run57_a_full_release_population_causal_baseline_20260827/post_result_analysis.py,11160,1787838240633123100
run57_a_full_release_population_causal_baseline_20260827/protocol_freeze/pre_result_protocol_hash.json,1889,1787837551406586200
run57_a_full_release_population_causal_baseline_20260827/run_1/audit/gpu_gate_after_extratrees.json,330,1787838023087617600
run57_a_full_release_population_causal_baseline_20260827/run_1/audit/p0_regate_result.json,1134,1787837563144013900
run57_a_full_release_population_causal_baseline_20260827/run_1/audit/verify_run57_contract_invariants_stdout.txt,3552,1787837563122239200
run57_a_full_release_population_causal_baseline_20260827/run_1/config/inner_validation_split.json,4228,1787837563151560500
run57_a_full_release_population_causal_baseline_20260827/run_1/decision.json,836,1787838133661022800
run57_a_full_release_population_causal_baseline_20260827/run_1/figures/Figure_1_rule_selected_real_curves.png,407376,1787838258083136900
run57_a_full_release_population_causal_baseline_20260827/run_1/output_hashes.json,2002,1787838133807460200
run57_a_full_release_population_causal_baseline_20260827/run_1/predictions/oof_predictions_all_models.csv,4841960,1787838133657014400
run57_a_full_release_population_causal_baseline_20260827/run_1/provenance.json,1424,1787838133705477400
run57_a_full_release_population_causal_baseline_20260827/run_1/reports/EXECUTION_LOG_CN.md,261,1787838133665391000
run57_a_full_release_population_causal_baseline_20260827/run_1/reports/POST_RESULT_COMPARISON_CN.md,1100,1787838258172188600
run57_a_full_release_population_causal_baseline_20260827/run_1/reports/RESULT_CN.md,2167,1787838133663047100
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/aggregate_metrics.csv,1062,1787838133070017400
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/causal_input_cache.npz,10237962,1787837675676199600
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/causal_support_audit.csv,554606,1787837675694025600
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/model_selection.csv,1645,1787838133079224900
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/pfull_event_manifest.csv,6848810,1787837563589828700
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/post_result_pairwise_harm_bootstrap.csv,3719,1787838255984665700
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/raw_source_sha256_manifest.csv,32357,1787837675696161700
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/representative_real_curves.csv,16151,1787838255994385000
run57_a_full_release_population_causal_baseline_20260827/run_1/tables/stratified_metrics.csv,9038,1787838133073763200
