seed,fold,model,subject_alias,recording_alias,time_block_id,windows,action_nmae
20260902,1,hold,S002,R006,R006-B0000,40,0.2119603455066681
20260902,1,hold,S002,R006,R006-B0001,17,0.6349117755889893
20260902,1,hold,S002,R006,R006-B0002,50,0.40311485528945923
20260902,1,hold,S002,R006,R006-B0003,50,0.26236164569854736
20260902,1,hold,S002,R006,R006-B0004,50,0.5181639194488525
20260902,1,hold,S002,R006,R006-B0005,50,0.4373064339160919
20260902,1,hold,S002,R006,R006-B0006,50,0.3593362867832184
20260902,1,hold,S002,R006,R006-B0007,50,0.19894075393676758
20260902,1,hold,S002,R006,R006-B0008,50,0.372894823551178
20260902,1,hold,S002,R006,R006-B0009,50,0.5025893449783325
20260902,1,hold,S002,R006,R006-B0010,50,0.3438264727592468
20260902,1,hold,S002,R006,R006-B0011,50,0.3973715603351593
20260902,1,hold,S002,R006,R006-B0012,50,1.7894673347473145
20260902,1,hold,S002,R006,R006-B0013,46,1.057175636291504
20260902,1,hold,S002,R007,R007-B0000,40,0.6261447072029114
20260902,1,hold,S002,R007,R007-B0001,50,0.6214771866798401
20260902,1,hold,S002,R007,R007-B0002,50,0.6493520140647888
20260902,1,hold,S002,R007,R007-B0003,50,0.4717588722705841
20260902,1,hold,S002,R007,R007-B0004,50,0.3177250027656555
20260902,1,hold,S002,R007,R007-B0005,50,0.3647327721118927
20260902,1,hold,S002,R007,R007-B0006,50,0.28118789196014404
20260902,1,hold,S002,R007,R007-B0007,50,0.22032855451107025
20260902,1,hold,S002,R007,R007-B0008,50,0.23059673607349396
20260902,1,hold,S002,R007,R007-B0009,50,0.2765503227710724
20260902,1,hold,S002,R007,R007-B0010,50,1.2008273601531982
20260902,1,hold,S002,R007,R007-B0011,50,0.35643428564071655
20260902,1,hold,S002,R007,R007-B0012,50,0.8186883330345154
20260902,1,hold,S002,R007,R007-B0013,30,1.2671501636505127
20260902,1,hold,S002,R008,R008-B0000,40,0.9111522436141968
20260902,1,hold,S002,R008,R008-B0001,50,0.16955119371414185
20260902,1,hold,S002,R008,R008-B0002,50,0.00851698499172926
20260902,1,hold,S002,R008,R008-B0003,50,0.6131337881088257
20260902,1,hold,S002,R008,R008-B0004,50,0.3548247218132019
20260902,1,hold,S002,R008,R008-B0005,50,0.3563595712184906
20260902,1,hold,S002,R008,R008-B0006,50,0.23788371682167053
20260902,1,hold,S002,R008,R008-B0007,50,0.2762857675552368
20260902,1,hold,S002,R008,R008-B0008,50,0.26407936215400696
20260902,1,hold,S002,R008,R008-B0009,50,0.3293675184249878
20260902,1,hold,S002,R008,R008-B0010,50,0.40744999051094055
20260902,1,hold,S002,R008,R008-B0011,50,0.2378196120262146
20260902,1,hold,S002,R008,R008-B0012,50,0.5993210673332214
20260902,1,hold,S002,R008,R008-B0013,10,0.44053778052330017
20260902,1,hold,S002,R009,R009-B0000,40,0.6360037326812744
20260902,1,hold,S002,R009,R009-B0001,50,0.5331870317459106
20260902,1,hold,S002,R009,R009-B0002,50,0.41732528805732727
20260902,1,hold,S002,R009,R009-B0003,50,0.3624364733695984
20260902,1,hold,S002,R009,R009-B0004,50,0.26574280858039856
20260902,1,hold,S002,R009,R009-B0005,50,0.2296883910894394
20260902,1,hold,S002,R009,R009-B0006,50,0.3091652989387512
20260902,1,hold,S002,R009,R009-B0007,19,0.22902151942253113
20260902,1,hold,S002,R009,R009-B0008,50,0.3498680889606476
20260902,1,hold,S002,R009,R009-B0009,50,0.2941562533378601
20260902,1,hold,S002,R009,R009-B0010,50,0.32112008333206177
20260902,1,hold,S002,R009,R009-B0011,50,0.41701892018318176
20260902,1,hold,S002,R009,R009-B0012,43,1.752342939376831
20260902,1,hold,S002,R010,R010-B0000,40,0.29369232058525085
20260902,1,hold,S002,R010,R010-B0001,50,0.5996741652488708
20260902,1,hold,S002,R010,R010-B0002,50,0.3126506507396698
20260902,1,hold,S002,R010,R010-B0003,50,0.3057085871696472
20260902,1,hold,S002,R010,R010-B0004,50,0.35430434346199036
20260902,1,hold,S002,R010,R010-B0005,50,0.2919160723686218
20260902,1,hold,S002,R010,R010-B0006,50,0.24637261033058167
20260902,1,hold,S002,R010,R010-B0007,50,0.3120320439338684
20260902,1,hold,S002,R010,R010-B0008,50,0.23495601117610931
20260902,1,hold,S002,R010,R010-B0009,50,0.3064625859260559
20260902,1,hold,S002,R010,R010-B0010,50,0.31989604234695435
20260902,1,hold,S002,R010,R010-B0011,50,0.09181248396635056
20260902,1,hold,S002,R010,R010-B0012,50,0.022068757563829422
20260902,1,hold,S002,R010,R010-B0013,8,0.020116370171308517
20260902,1,hold,S002,R011,R011-B0000,40,0.45679759979248047
20260902,1,hold,S002,R011,R011-B0001,50,0.5138153433799744
20260902,1,hold,S002,R011,R011-B0002,50,0.45791077613830566
20260902,1,hold,S002,R011,R011-B0003,50,0.30100205540657043
20260902,1,hold,S002,R011,R011-B0004,50,0.29693469405174255
20260902,1,hold,S002,R011,R011-B0005,50,0.32651081681251526
20260902,1,hold,S002,R011,R011-B0006,50,0.422947496175766
20260902,1,hold,S002,R011,R011-B0007,50,0.6357070803642273
20260902,1,hold,S002,R011,R011-B0008,50,0.9431837201118469
20260902,1,hold,S002,R011,R011-B0009,50,0.5840997695922852
20260902,1,hold,S002,R011,R011-B0010,50,0.7820389270782471
20260902,1,hold,S002,R011,R011-B0011,42,0.5877375602722168
20260902,1,hold,S002,R012,R012-B0000,40,0.7644926309585571
20260902,1,hold,S002,R012,R012-B0001,50,0.9944777488708496
20260902,1,hold,S002,R012,R012-B0002,50,0.6356245279312134
20260902,1,hold,S002,R012,R012-B0003,50,0.41783955693244934
20260902,1,hold,S002,R012,R012-B0004,50,0.26838815212249756
20260902,1,hold,S002,R012,R012-B0005,50,0.3396133780479431
20260902,1,hold,S002,R012,R012-B0006,50,0.6918544173240662
20260902,1,hold,S002,R012,R012-B0007,50,1.0593407154083252
20260902,1,hold,S002,R012,R012-B0008,50,0.36607909202575684
20260902,1,hold,S002,R012,R012-B0009,50,0.5390123724937439
20260902,1,hold,S002,R012,R012-B0010,50,0.6733273863792419
20260902,1,hold,S002,R012,R012-B0011,50,0.8528726100921631
20260902,1,hold,S002,R012,R012-B0012,50,0.3187907934188843
20260902,1,hold,S002,R012,R012-B0013,50,0.49000462889671326
20260902,1,hold,S002,R012,R012-B0014,50,1.2285934686660767
20260902,1,hold,S002,R012,R012-B0015,50,0.8827435970306396
20260902,1,hold,S002,R012,R012-B0016,16,0.039735473692417145
20260902,1,hold,S002,R013,R013-B0000,40,0.5989816188812256
20260902,1,hold,S002,R013,R013-B0001,50,0.46202823519706726
20260902,1,hold,S002,R013,R013-B0002,50,0.6229771971702576
20260902,1,hold,S002,R013,R013-B0003,50,0.8834388256072998
20260902,1,hold,S002,R013,R013-B0004,50,1.2312283515930176
20260902,1,hold,S002,R013,R013-B0005,50,0.8511967658996582
20260902,1,hold,S002,R013,R013-B0006,50,1.660423755645752
20260902,1,hold,S002,R013,R013-B0007,50,0.9882073402404785
20260902,1,hold,S002,R013,R013-B0008,50,0.916574239730835
20260902,1,hold,S002,R013,R013-B0009,50,0.7172914147377014
20260902,1,hold,S002,R013,R013-B0010,50,0.5855066180229187
20260902,1,hold,S002,R013,R013-B0011,50,0.48449191451072693
20260902,1,hold,S002,R013,R013-B0012,50,1.385767936706543
20260902,1,hold,S002,R013,R013-B0013,50,0.7872473001480103
20260902,1,hold,S002,R013,R013-B0014,50,0.832987368106842
20260902,1,hold,S002,R013,R013-B0015,50,0.7499889135360718
20260902,1,hold,S002,R013,R013-B0016,50,1.3120516538619995
20260902,1,hold,S002,R013,R013-B0017,50,0.8676439523696899
20260902,1,hold,S002,R013,R013-B0018,50,0.9424471259117126
20260902,1,hold,S002,R013,R013-B0019,50,0.5257655382156372
20260902,1,hold,S002,R013,R013-B0020,50,1.2397692203521729
20260902,1,hold,S002,R013,R013-B0021,50,0.7991431355476379
20260902,1,hold,S002,R013,R013-B0022,50,0.34981563687324524
20260902,1,hold,S002,R013,R013-B0023,50,0.3737587630748749
20260902,1,hold,S002,R013,R013-B0024,50,0.31589949131011963
20260902,1,hold,S002,R013,R013-B0025,50,0.42643555998802185
20260902,1,hold,S002,R013,R013-B0026,50,0.4772242605686188
20260902,1,hold,S002,R013,R013-B0027,50,1.2214385271072388
20260902,1,hold,S002,R013,R013-B0028,50,0.767880916595459
20260902,1,hold,S002,R013,R013-B0029,50,0.7064528465270996
20260902,1,hold,S002,R013,R013-B0030,50,0.5213338136672974
20260902,1,hold,S002,R013,R013-B0031,50,0.5145453810691833
20260902,1,hold,S002,R013,R013-B0032,50,0.6679729223251343
20260902,1,hold,S002,R013,R013-B0033,50,0.4983210265636444
20260902,1,hold,S002,R013,R013-B0034,50,0.5262628793716431
20260902,1,hold,S002,R013,R013-B0035,50,0.4318867623806
20260902,1,hold,S002,R013,R013-B0036,50,1.0952314138412476
20260902,1,hold,S002,R013,R013-B0037,50,0.45181721448898315
20260902,1,hold,S002,R013,R013-B0038,50,0.49556055665016174
20260902,1,hold,S002,R013,R013-B0039,50,0.5687414407730103
20260902,1,hold,S002,R013,R013-B0040,50,0.9277088046073914
20260902,1,hold,S002,R013,R013-B0041,50,0.8662929534912109
20260902,1,hold,S002,R013,R013-B0042,50,0.237986221909523
20260902,1,hold,S002,R013,R013-B0043,15,0.1192723959684372
20260902,1,hold,S002,R014,R014-B0000,40,0.3823896646499634
20260902,1,hold,S002,R014,R014-B0001,50,0.28601309657096863
20260902,1,hold,S002,R014,R014-B0002,50,0.5968607068061829
20260902,1,hold,S002,R014,R014-B0003,50,0.4767863154411316
20260902,1,hold,S002,R014,R014-B0004,50,0.47442641854286194
20260902,1,hold,S002,R014,R014-B0005,50,1.2193530797958374
20260902,1,hold,S002,R014,R014-B0006,50,0.5440672636032104
20260902,1,hold,S002,R014,R014-B0007,50,0.5501150488853455
20260902,1,hold,S002,R014,R014-B0008,50,1.3220652341842651
20260902,1,hold,S002,R014,R014-B0009,50,0.7007453441619873
20260902,1,hold,S002,R014,R014-B0010,50,0.3260844349861145
20260902,1,hold,S002,R014,R014-B0011,50,0.4133518934249878
20260902,1,hold,S002,R014,R014-B0012,50,0.5804254412651062
20260902,1,hold,S002,R014,R014-B0013,50,0.9538041949272156
20260902,1,hold,S002,R014,R014-B0014,50,1.0203566551208496
20260902,1,hold,S002,R014,R014-B0015,50,0.4589865505695343
20260902,1,hold,S002,R014,R014-B0016,50,0.6502042412757874
20260902,1,hold,S002,R014,R014-B0017,50,0.6430412530899048
20260902,1,hold,S002,R014,R014-B0018,50,0.4453240931034088
20260902,1,hold,S002,R014,R014-B0019,50,1.2293448448181152
20260902,1,hold,S002,R014,R014-B0020,50,0.538825511932373
20260902,1,hold,S002,R014,R014-B0021,50,0.9379763007164001
20260902,1,hold,S002,R014,R014-B0022,50,1.0362845659255981
20260902,1,hold,S002,R014,R014-B0023,50,0.9983672499656677
20260902,1,hold,S002,R014,R014-B0024,50,0.6277220845222473
20260902,1,hold,S002,R014,R014-B0025,50,0.4179892838001251
20260902,1,hold,S002,R014,R014-B0026,50,0.710716962814331
20260902,1,hold,S002,R014,R014-B0027,50,1.2520776987075806
20260902,1,hold,S002,R014,R014-B0028,50,0.7263120412826538
20260902,1,hold,S002,R014,R014-B0029,50,0.5693597197532654
20260902,1,hold,S002,R014,R014-B0030,50,0.5432931780815125
20260902,1,hold,S002,R014,R014-B0031,50,0.6118060350418091
20260902,1,hold,S002,R014,R014-B0032,50,1.0983445644378662
20260902,1,hold,S002,R014,R014-B0033,50,0.3639623522758484
20260902,1,hold,S002,R014,R014-B0034,50,0.5528255105018616
20260902,1,hold,S002,R014,R014-B0035,50,0.7983136177062988
20260902,1,hold,S002,R014,R014-B0036,50,0.43850013613700867
20260902,1,hold,S002,R014,R014-B0037,50,0.5440518856048584
20260902,1,hold,S002,R014,R014-B0038,50,0.47650986909866333
20260902,1,hold,S002,R014,R014-B0039,50,0.41287562251091003
20260902,1,hold,S002,R014,R014-B0040,50,0.5604971051216125
20260902,1,hold,S002,R014,R014-B0041,50,0.5282834768295288
20260902,1,hold,S002,R014,R014-B0042,50,0.8401679992675781
20260902,1,hold,S002,R014,R014-B0043,50,0.48904478549957275
