seed,fold,population,model,subject_alias,channel,windows,mae,rmse,endpoint_mae
20260903,1,all_continuous,hold,S002,steer_deg,17302,4.730258941650391,10.980718612670898,8.144220352172852
20260903,1,all_continuous,hold,S002,brake,17302,0.008326726965606213,0.031246796250343323,0.014389769174158573
20260903,1,all_continuous,hold,S002,accelerator,17302,0.04310305044054985,0.07978589832782745,0.05869891867041588
20260903,1,all_continuous,hold,S002,speed_kmh,17302,1.062835454940796,1.9751102924346924,2.0083446502685547
20260903,1,all_continuous,hold,S002,action_macro,17302,0.6582157611846924,1.608302116394043,1.0302058458328247
20260903,1,all_continuous,hold,S008,steer_deg,3381,4.888128280639648,12.3826322555542,8.280614852905273
20260903,1,all_continuous,hold,S008,brake,3381,0.003929166588932276,0.02753484435379505,0.006671898066997528
20260903,1,all_continuous,hold,S008,accelerator,3381,0.03418029472231865,0.05199575051665306,0.037114329636096954
20260903,1,all_continuous,hold,S008,speed_kmh,3381,0.8911339044570923,2.5381860733032227,1.6810606718063354
20260903,1,all_continuous,hold,S008,action_macro,3381,0.5799383521080017,1.583021640777588,0.8439491987228394
20260903,1,all_continuous,hold,S016,steer_deg,8541,12.469799041748047,27.254249572753906,21.453861236572266
20260903,1,all_continuous,hold,S016,brake,8541,0.01805565506219864,0.06860241293907166,0.031999845057725906
20260903,1,all_continuous,hold,S016,accelerator,8541,0.06288427859544754,0.12895993888378143,0.09293095767498016
20260903,1,all_continuous,hold,S016,speed_kmh,8541,1.606245756149292,2.9435224533081055,3.022139549255371
20260903,1,all_continuous,hold,S016,action_macro,8541,1.3709194660186768,3.5705530643463135,2.263129472732544
20260903,1,all_continuous,hold,S018,steer_deg,2422,3.622873544692993,7.867610931396484,6.166097164154053
20260903,1,all_continuous,hold,S018,brake,2422,0.012030933983623981,0.06499012559652328,0.01949760690331459
20260903,1,all_continuous,hold,S018,accelerator,2422,0.049395330250263214,0.09425971657037735,0.06948500871658325
20260903,1,all_continuous,hold,S018,speed_kmh,2422,1.130171775817871,2.0070836544036865,2.10548734664917
20260903,1,all_continuous,hold,S018,action_macro,2422,0.651033341884613,1.6041004657745361,1.0042905807495117
20260903,1,all_continuous,hold,S020,steer_deg,13257,18.355731964111328,41.30299758911133,29.697711944580078
20260903,1,all_continuous,hold,S020,brake,13257,0.023083331063389778,0.09420189261436462,0.038171954452991486
20260903,1,all_continuous,hold,S020,accelerator,13257,0.0651465430855751,0.1449752002954483,0.09861189126968384
20260903,1,all_continuous,hold,S020,speed_kmh,13257,1.9134770631790161,3.4061615467071533,3.6067955493927
20260903,1,all_continuous,hold,S020,action_macro,13257,1.8119144439697266,5.1702423095703125,2.8917396068573
20260903,1,all_continuous,hold,S021,steer_deg,2770,4.360586166381836,8.117887496948242,7.079601287841797
20260903,1,all_continuous,hold,S021,brake,2770,0.006473965477198362,0.036039143800735474,0.01166053768247366
20260903,1,all_continuous,hold,S021,accelerator,2770,0.05000333487987518,0.09210686385631561,0.07151088118553162
20260903,1,all_continuous,hold,S021,speed_kmh,2770,1.310429573059082,2.4343762397766113,2.468353033065796
20260903,1,all_continuous,hold,S021,action_macro,2770,0.6672211289405823,1.477497935295105,1.0264495611190796
20260903,1,all_continuous,hold,S025,steer_deg,3860,4.7177734375,14.889493942260742,8.33398723602295
20260903,1,all_continuous,hold,S025,brake,3860,0.008655166253447533,0.03831207752227783,0.01402030885219574
20260903,1,all_continuous,hold,S025,accelerator,3860,0.03272513300180435,0.04934550076723099,0.03653795272111893
20260903,1,all_continuous,hold,S025,speed_kmh,3860,1.0385510921478271,2.3617513179779053,1.9694948196411133
20260903,1,all_continuous,hold,S025,action_macro,3860,0.5903868079185486,1.8644927740097046,0.892654299736023
20260903,1,all_continuous,hold,S026,steer_deg,3700,6.5148701667785645,14.998661041259766,11.170395851135254
20260903,1,all_continuous,hold,S026,brake,3700,0.022064000368118286,0.08181547373533249,0.038612283766269684
20260903,1,all_continuous,hold,S026,accelerator,3700,0.049878668040037155,0.0961926132440567,0.06851640343666077
20260903,1,all_continuous,hold,S026,speed_kmh,3700,1.5350866317749023,2.854032516479492,2.8926568031311035
20260903,1,all_continuous,hold,S026,action_macro,3700,0.9139425158500671,2.2640016078948975,1.4588842391967773
20260903,1,all_continuous,hold,S027,steer_deg,3981,3.438535451889038,10.7891206741333,5.978436470031738
20260903,1,all_continuous,hold,S027,brake,3981,0.00950387492775917,0.0393243283033371,0.015657629817724228
20260903,1,all_continuous,hold,S027,accelerator,3981,0.034422680735588074,0.054540932178497314,0.04019239544868469
20260903,1,all_continuous,hold,S027,speed_kmh,3981,1.0396934747695923,2.1525440216064453,1.9788877964019775
20260903,1,all_continuous,hold,S027,action_macro,3981,0.522079348564148,1.4679523706436157,0.7708959579467773
20260903,1,all_continuous,hold,S034,steer_deg,14121,8.252948760986328,21.947858810424805,13.74910831451416
20260903,1,all_continuous,hold,S034,brake,14121,0.019666342064738274,0.06221604719758034,0.031290505081415176
20260903,1,all_continuous,hold,S034,accelerator,14121,0.07516908645629883,0.1447400003671646,0.11222156882286072
20260903,1,all_continuous,hold,S034,speed_kmh,14121,1.6291686296463013,2.7915542125701904,3.0610013008117676
20260903,1,all_continuous,hold,S034,action_macro,14121,1.182432770729065,3.1196441650390625,1.873354196548462
20260903,1,all_continuous,hold,S037,steer_deg,24280,12.840062141418457,30.302732467651367,22.04767608642578
20260903,1,all_continuous,hold,S037,brake,24280,0.01412058062851429,0.06104249507188797,0.024832630529999733
20260903,1,all_continuous,hold,S037,accelerator,24280,0.05876992270350456,0.12211014330387115,0.08683706074953079
20260903,1,all_continuous,hold,S037,speed_kmh,24280,1.5879095792770386,3.0522077083587646,2.9897117614746094
20260903,1,all_continuous,hold,S037,action_macro,24280,1.3419411182403564,3.8377528190612793,2.2143096923828125
20260903,1,all_continuous,hold,S038,steer_deg,3026,6.985621452331543,26.276514053344727,11.705458641052246
20260903,1,all_continuous,hold,S038,brake,3026,0.014155960641801357,0.0585157535970211,0.024410659447312355
20260903,1,all_continuous,hold,S038,accelerator,3026,0.04060640558600426,0.07658563554286957,0.05389378219842911
20260903,1,all_continuous,hold,S038,speed_kmh,3026,1.6451901197433472,3.1425936222076416,3.100684642791748
20260903,1,all_continuous,hold,S038,action_macro,3026,0.8307905197143555,3.2318203449249268,1.3023935556411743
20260903,1,all_continuous,linear,S002,steer_deg,17302,6.360517501831055,15.677321434020996,12.929317474365234
20260903,1,all_continuous,linear,S002,brake,17302,0.035623062402009964,0.04912528395652771,0.04396180808544159
20260903,1,all_continuous,linear,S002,accelerator,17302,0.057534653693437576,0.09821120649576187,0.08900868892669678
20260903,1,all_continuous,linear,S002,speed_kmh,17302,0.3150945007801056,1.4276459217071533,0.7003135085105896
20260903,1,all_continuous,linear,S002,action_macro,17302,1.0450860261917114,2.2101759910583496,1.7484244108200073
20260903,1,all_continuous,linear,S008,steer_deg,3381,6.646208763122559,15.685371398925781,13.101576805114746
20260903,1,all_continuous,linear,S008,brake,3381,0.03378577157855034,0.05171189084649086,0.03801340237259865
20260903,1,all_continuous,linear,S008,accelerator,3381,0.04924146831035614,0.07039590179920197,0.06809781491756439
20260903,1,all_continuous,linear,S008,speed_kmh,3381,0.2932012379169464,2.583749294281006,0.6121236085891724
20260903,1,all_continuous,linear,S008,action_macro,3381,0.9965953826904297,2.0730907917022705,1.5808464288711548
20260903,1,all_continuous,linear,S016,steer_deg,8541,18.502330780029297,42.32658004760742,36.7034912109375
20260903,1,all_continuous,linear,S016,brake,8541,0.048988088965415955,0.09339719265699387,0.06815589219331741
20260903,1,all_continuous,linear,S016,accelerator,8541,0.0806068554520607,0.14530061185359955,0.12899863719940186
20260903,1,all_continuous,linear,S016,speed_kmh,8541,0.6482365727424622,1.7676506042480469,1.4619754552841187
20260903,1,all_continuous,linear,S016,action_macro,8541,2.097454786300659,5.278753280639648,3.761263370513916
20260903,1,all_continuous,linear,S018,steer_deg,2422,4.885085105895996,10.245165824890137,9.6815185546875
20260903,1,all_continuous,linear,S018,brake,2422,0.036373768001794815,0.07674411684274673,0.045189350843429565
20260903,1,all_continuous,linear,S018,accelerator,2422,0.06469716131687164,0.11533357203006744,0.10159118473529816
20260903,1,all_continuous,linear,S018,speed_kmh,2422,0.3488520681858063,1.135854721069336,0.7674911618232727
20260903,1,all_continuous,linear,S018,action_macro,2422,0.9994785189628601,1.9895670413970947,1.6239715814590454
20260903,1,all_continuous,linear,S020,steer_deg,13257,28.748876571655273,67.04061126708984,55.60130310058594
20260903,1,all_continuous,linear,S020,brake,13257,0.051759377121925354,0.11209007352590561,0.07050886750221252
20260903,1,all_continuous,linear,S020,accelerator,13257,0.07865705341100693,0.15663555264472961,0.1246042251586914
20260903,1,all_continuous,linear,S020,speed_kmh,13257,0.7488402724266052,1.983113408088684,1.637661099433899
20260903,1,all_continuous,linear,S020,action_macro,13257,2.7860350608825684,8.054340362548828,5.007507801055908
20260903,1,all_continuous,linear,S021,steer_deg,2770,6.054586410522461,10.748473167419434,11.482132911682129
20260903,1,all_continuous,linear,S021,brake,2770,0.03434709832072258,0.0467146560549736,0.04018720984458923
20260903,1,all_continuous,linear,S021,accelerator,2770,0.06494463980197906,0.11277305334806442,0.10546603053808212
20260903,1,all_continuous,linear,S021,speed_kmh,2770,0.4150131940841675,1.0877361297607422,0.9284960627555847
20260903,1,all_continuous,linear,S021,action_macro,2770,1.0655841827392578,1.8780481815338135,1.736497402191162
20260903,1,all_continuous,linear,S025,steer_deg,3860,6.220111846923828,19.33664321899414,12.413063049316406
20260903,1,all_continuous,linear,S025,brake,3860,0.027768244966864586,0.05406484007835388,0.036554403603076935
20260903,1,all_continuous,linear,S025,accelerator,3860,0.047983698546886444,0.06998244673013687,0.06857763230800629
20260903,1,all_continuous,linear,S025,speed_kmh,3860,0.2682397663593292,0.9042197465896606,0.5789964199066162
20260903,1,all_continuous,linear,S025,action_macro,3860,0.9196869730949402,2.4552292823791504,1.5284178256988525
20260903,1,all_continuous,linear,S026,steer_deg,3700,9.307975769042969,20.373329162597656,18.31528663635254
20260903,1,all_continuous,linear,S026,brake,3700,0.04904923960566521,0.09449321776628494,0.06924201548099518
20260903,1,all_continuous,linear,S026,accelerator,3700,0.06446724385023117,0.11496226489543915,0.09888653457164764
20260903,1,all_continuous,linear,S026,speed_kmh,3700,0.6276096105575562,1.7703248262405396,1.4049192667007446
20260903,1,all_continuous,linear,S026,action_macro,3700,1.3773082494735718,2.9132466316223145,2.341876268386841
20260903,1,all_continuous,linear,S027,steer_deg,3981,4.391473770141602,12.701735496520996,8.865714073181152
20260903,1,all_continuous,linear,S027,brake,3981,0.03854229673743248,0.060655511915683746,0.04775337874889374
20260903,1,all_continuous,linear,S027,accelerator,3981,0.04904911294579506,0.07447642832994461,0.0704420953989029
20260903,1,all_continuous,linear,S027,speed_kmh,3981,0.3114061951637268,0.9321130514144897,0.6739211082458496
20260903,1,all_continuous,linear,S027,action_macro,3981,0.8767075538635254,1.8388125896453857,1.3790175914764404
20260903,1,all_continuous,linear,S034,steer_deg,14121,11.857234001159668,32.028499603271484,23.42014503479004
20260903,1,all_continuous,linear,S034,brake,14121,0.05025113746523857,0.09139920026063919,0.06881728023290634
20260903,1,all_continuous,linear,S034,accelerator,14121,0.09813085198402405,0.1760655641555786,0.15640997886657715
20260903,1,all_continuous,linear,S034,speed_kmh,14121,0.6677980422973633,2.0648789405822754,1.4543490409851074
20260903,1,all_continuous,linear,S034,action_macro,14121,1.7796950340270996,4.350254535675049,3.0628581047058105
20260903,1,all_continuous,linear,S037,steer_deg,24280,18.65962028503418,45.59428024291992,36.88681411743164
20260903,1,all_continuous,linear,S037,brake,24280,0.04324240982532501,0.07973787188529968,0.05722830817103386
20260903,1,all_continuous,linear,S037,accelerator,24280,0.07462714612483978,0.13844721019268036,0.11875258386135101
20260903,1,all_continuous,linear,S037,speed_kmh,24280,0.5724878311157227,2.035994052886963,1.2613433599472046
20260903,1,all_continuous,linear,S037,action_macro,24280,2.029771327972412,5.578644752502441,3.63232684135437
20260903,1,all_continuous,linear,S038,steer_deg,3026,10.129066467285156,41.15850830078125,20.206056594848633
20260903,1,all_continuous,linear,S038,brake,3026,0.043064408004283905,0.08121566474437714,0.05812494456768036
20260903,1,all_continuous,linear,S038,accelerator,3026,0.054109469056129456,0.09304563701152802,0.08181370794773102
20260903,1,all_continuous,linear,S038,speed_kmh,3026,0.5354660749435425,1.678941011428833,1.1851880550384521
20260903,1,all_continuous,linear,S038,action_macro,3026,1.3230969905853271,4.961932182312012,2.2799947261810303
20260903,1,all_continuous,extra_trees,S002,steer_deg,17302,3.391970634460449,6.844564914703369,5.369940757751465
20260903,1,all_continuous,extra_trees,S002,brake,17302,0.010209746658802032,0.029013384133577347,0.01752181351184845
20260903,1,all_continuous,extra_trees,S002,accelerator,17302,0.048688121140003204,0.07644589990377426,0.07034102082252502
20260903,1,all_continuous,extra_trees,S002,speed_kmh,17302,0.2762245833873749,0.7279535531997681,0.6004074811935425
20260903,1,all_continuous,extra_trees,S002,action_macro,17302,0.6187838912010193,1.2312897443771362,0.9437482357025146
20260903,1,all_continuous,extra_trees,S008,steer_deg,3381,3.876803159713745,8.661795616149902,6.028942584991455
20260903,1,all_continuous,extra_trees,S008,brake,3381,0.00476739089936018,0.02343827672302723,0.008606301620602608
20260903,1,all_continuous,extra_trees,S008,accelerator,3381,0.032476529479026794,0.04620709642767906,0.036733947694301605
20260903,1,all_continuous,extra_trees,S008,speed_kmh,3381,0.2645503878593445,1.7506842613220215,0.534681499004364
20260903,1,all_continuous,extra_trees,S008,action_macro,3381,0.5067464113235474,1.1654536724090576,0.7041978240013123
20260903,1,all_continuous,extra_trees,S016,steer_deg,8541,9.819499969482422,18.90497398376465,15.183761596679688
20260903,1,all_continuous,extra_trees,S016,brake,8541,0.017977673560380936,0.057968199253082275,0.03121846355497837
20260903,1,all_continuous,extra_trees,S016,accelerator,8541,0.06950586289167404,0.12186279147863388,0.10664112120866776
20260903,1,all_continuous,extra_trees,S016,speed_kmh,8541,0.5134192109107971,1.1891076564788818,1.1265462636947632
20260903,1,all_continuous,extra_trees,S016,action_macro,8541,1.2378571033477783,2.6820552349090576,1.9313145875930786
20260903,1,all_continuous,extra_trees,S018,steer_deg,2422,2.8809003829956055,5.652953147888184,4.548117637634277
20260903,1,all_continuous,extra_trees,S018,brake,2422,0.017724892124533653,0.07025759667158127,0.029346920549869537
20260903,1,all_continuous,extra_trees,S018,accelerator,2422,0.05216575413942337,0.08716459572315216,0.07521173357963562
20260903,1,all_continuous,extra_trees,S018,speed_kmh,2422,0.2908502519130707,0.7594426870346069,0.6577409505844116
20260903,1,all_continuous,extra_trees,S018,action_macro,2422,0.657997727394104,1.44818913936615,1.0002654790878296
20260903,1,all_continuous,extra_trees,S020,steer_deg,13257,14.476582527160645,31.968486785888672,22.95038414001465
20260903,1,all_continuous,extra_trees,S020,brake,13257,0.023600973188877106,0.08038102835416794,0.03784073144197464
20260903,1,all_continuous,extra_trees,S020,accelerator,13257,0.07541316002607346,0.13873770833015442,0.11542957276105881
20260903,1,all_continuous,extra_trees,S020,speed_kmh,13257,0.6407918930053711,1.463899850845337,1.3608965873718262
20260903,1,all_continuous,extra_trees,S020,action_macro,13257,1.625199556350708,4.129692077636719,2.5518276691436768
20260903,1,all_continuous,extra_trees,S021,steer_deg,2770,3.502800703048706,6.215923309326172,5.417855739593506
20260903,1,all_continuous,extra_trees,S021,brake,2770,0.010552632622420788,0.035168688744306564,0.01934124156832695
20260903,1,all_continuous,extra_trees,S021,accelerator,2770,0.052958596497774124,0.0849396362900734,0.07683368772268295
20260903,1,all_continuous,extra_trees,S021,speed_kmh,2770,0.7267580032348633,1.708144187927246,1.4438343048095703
20260903,1,all_continuous,extra_trees,S021,action_macro,2770,0.6569282412528992,1.281423568725586,1.0023565292358398
20260903,1,all_continuous,extra_trees,S025,steer_deg,3860,3.8654048442840576,10.394746780395508,6.183295726776123
20260903,1,all_continuous,extra_trees,S025,brake,3860,0.01087258756160736,0.03854222595691681,0.018788497895002365
20260903,1,all_continuous,extra_trees,S025,accelerator,3860,0.03259579837322235,0.04599381610751152,0.04000193253159523
20260903,1,all_continuous,extra_trees,S025,speed_kmh,3860,0.7929344177246094,1.9146984815597534,1.5241410732269287
20260903,1,all_continuous,extra_trees,S025,action_macro,3860,0.5474828481674194,1.3859297037124634,0.8041558861732483
20260903,1,all_continuous,extra_trees,S026,steer_deg,3700,5.464690208435059,12.528365135192871,8.853737831115723
20260903,1,all_continuous,extra_trees,S026,brake,3700,0.024549594148993492,0.07436592131853104,0.040967777371406555
20260903,1,all_continuous,extra_trees,S026,accelerator,3700,0.05478885397315025,0.09223227947950363,0.07777552306652069
20260903,1,all_continuous,extra_trees,S026,speed_kmh,3700,0.4651433825492859,1.2002958059310913,1.0275228023529053
20260903,1,all_continuous,extra_trees,S026,action_macro,3700,0.8932355046272278,1.991082787513733,1.3818711042404175
20260903,1,all_continuous,extra_trees,S027,steer_deg,3981,2.7495555877685547,7.821770191192627,4.432562351226807
20260903,1,all_continuous,extra_trees,S027,brake,3981,0.011192918755114079,0.03879943862557411,0.01870563067495823
20260903,1,all_continuous,extra_trees,S027,accelerator,3981,0.03487946838140488,0.04957452416419983,0.042124249041080475
20260903,1,all_continuous,extra_trees,S027,speed_kmh,3981,0.2484329342842102,0.6031952500343323,0.5442489981651306
20260903,1,all_continuous,extra_trees,S027,action_macro,3981,0.49045300483703613,1.159369945526123,0.7010366916656494
20260903,1,all_continuous,extra_trees,S034,steer_deg,14121,6.499539852142334,17.104021072387695,10.184858322143555
20260903,1,all_continuous,extra_trees,S034,brake,14121,0.019197864457964897,0.05421813577413559,0.030030999332666397
20260903,1,all_continuous,extra_trees,S034,accelerator,14121,0.08693588525056839,0.1403186321258545,0.13337475061416626
20260903,1,all_continuous,extra_trees,S034,speed_kmh,14121,0.4756723642349243,1.3347156047821045,1.0559518337249756
20260903,1,all_continuous,extra_trees,S034,action_macro,14121,1.1408607959747314,2.630175828933716,1.7683621644973755
