population,model,driver_macro_mean,driver_macro_seed_sd,driver_macro_rmse_mean,driver_macro_endpoint_mae_mean,pooled_mean,pooled_rmse_mean,pooled_endpoint_mae_mean,represented_drivers,evaluated_windows,模型
action_started,et_transformer_residual,0.8597731462173295,0.0007979611994949554,1.9855337106344992,1.2650083245938284,0.9700908363917682,2.3821960432397193,1.442812552756546,38,248203,ExtraTrees+Transformer残差
action_started,extra_trees,0.8905810776509737,0.00023159705208899937,1.9947336765757777,1.3281858809161604,1.0050823816769987,2.389454174024443,1.5130071338512927,38,248203,ExtraTrees
action_started,hold,0.9846610960207487,0.0,2.520784992920725,1.5182616538123082,1.1193597903439556,3.070288482176944,1.7450852780458466,38,248203,当前值保持
action_started,linear,1.5803308800647133,0.0,3.672810786648801,2.7149676272743632,1.7879131242865747,4.607579949616391,3.115004244028146,38,248203,线性趋势外推
action_started,transformer,0.8857723803896653,0.004157654842661246,2.0535448627513753,1.2966646510258055,0.997908083207888,2.485501216552791,1.4784047722166636,38,248203,小型Transformer
all_continuous,et_transformer_residual,0.8227185721982989,0.0008046260350316829,1.919258479486432,1.2317409212129158,0.9171093173430661,2.2790878183752836,1.3844487951960582,38,304090,ExtraTrees+Transformer残差
all_continuous,extra_trees,0.8591247093782091,0.0002660710689906273,1.9272788982642324,1.3041167552011055,0.9558208499506136,2.2840387243515363,1.46127815653002,38,304090,ExtraTrees
all_continuous,hold,0.9160696056328321,0.0,2.406812586282429,1.4362903221657402,1.0302690687106335,2.9017351594988963,1.6297189567943606,38,304090,当前值保持
all_continuous,linear,1.443204613108384,0.0,3.4181279508691085,2.4708139363088106,1.616245756448717,4.254960719534893,2.8039941188446957,38,304090,线性趋势外推
all_continuous,transformer,0.8474699530685158,0.0053876388544187295,1.980162405131156,1.259724609161678,0.9438419115364735,2.3702844803462035,1.4172795325184764,38,304090,小型Transformer
distance_v2_305,et_transformer_residual,1.3597472685354728,0.0006968042804105076,2.7557131692215244,2.8535777352474354,1.4032211843084117,3.0570191785273644,2.966930874579591,18,305,ExtraTrees+Transformer残差
distance_v2_305,extra_trees,1.3903571764628093,0.0029937882113871615,2.713675205354337,2.8894006698219865,1.432858819779151,3.0077517097530744,3.007258560878983,18,305,ExtraTrees
distance_v2_305,hold,1.4636595381630793,0.0,3.036129282580481,3.0523850189314943,1.4819621398800706,3.3751994781674095,3.142670962067901,18,305,当前值保持
distance_v2_305,linear,1.9284976257218256,0.0,3.730083405971527,3.921854337056478,1.9863152965170439,4.074534647292714,4.090222083545122,18,305,线性趋势外推
distance_v2_305,transformer,1.380572274879173,0.012188292279371977,2.787879259498031,2.8793014751540285,1.4223521573947426,3.092553264553336,2.9962164654757806,18,305,小型Transformer
