seed,fold,population,model,channel,windows,mae,rmse,endpoint_mae
20260902,1,all_continuous,hold,steer_deg,100641,9.683025360107422,25.45970726013184,16.32120132446289
20260902,1,all_continuous,hold,brake,100641,0.014714946039021,0.0617061108350753,0.0249240547418594
20260902,1,all_continuous,hold,accelerator,100641,0.0554386042058467,0.1143541410565376,0.0796813517808914
20260902,1,all_continuous,hold,speed_kmh,100641,1.462834358215332,2.7830326557159424,2.756098747253418
20260902,1,all_continuous,hold,action_macro,100641,1.113225340843201,3.300589799880981,1.7854493856430054
20260902,1,all_continuous,linear,steer_deg,100641,14.182589530944824,39.14942169189453,27.943796157836918
20260902,1,all_continuous,linear,brake,100641,0.0432263053953647,0.0811918824911117,0.0571470186114311
20260902,1,all_continuous,linear,accelerator,100641,0.0716423839330673,0.1328368633985519,0.1124063208699226
20260902,1,all_continuous,linear,speed_kmh,100641,0.5310869812965393,1.8125967979431152,1.1692956686019895
20260902,1,all_continuous,linear,action_macro,100641,1.7112984657287598,4.864915370941162,2.9932751655578613
20260902,1,all_continuous,extra_trees,steer_deg,100641,7.766732215881348,18.98494529724121,12.261970520019531
20260902,1,all_continuous,extra_trees,brake,100641,0.0161880515515804,0.0543521381914615,0.0270923506468534
20260902,1,all_continuous,extra_trees,accelerator,100641,0.0622870922088623,0.1093925014138221,0.0927239954471588
20260902,1,all_continuous,extra_trees,speed_kmh,100641,0.4712301194667816,1.291031837463379,1.0049560070037842
20260902,1,all_continuous,extra_trees,action_macro,100641,1.0409501791000366,2.606752634048462,1.616240382194519
20260902,1,all_continuous,transformer,steer_deg,100641,8.099275588989258,20.03556632995605,12.74000072479248
20260902,1,all_continuous,transformer,brake,100641,0.0164247658103704,0.0583264715969562,0.0263946037739515
20260902,1,all_continuous,transformer,accelerator,100641,0.0577745363116264,0.1105336844921112,0.0820937529206276
20260902,1,all_continuous,transformer,speed_kmh,100641,0.5976661443710327,1.7196725606918335,1.2087072134017944
20260902,1,all_continuous,transformer,action_macro,100641,1.0346139669418335,2.7267086505889893,1.5725889205932615
20260902,1,all_continuous,et_transformer_residual,steer_deg,100641,7.697405815124512,18.86899757385254,12.173606872558594
20260902,1,all_continuous,et_transformer_residual,brake,100641,0.0159395616501569,0.0560714080929756,0.0250185802578926
20260902,1,all_continuous,et_transformer_residual,accelerator,100641,0.056446548551321,0.1093804761767387,0.0818420201539993
20260902,1,all_continuous,et_transformer_residual,speed_kmh,100641,0.4640414416790008,1.280188798904419,0.9721267819404602
20260902,1,all_continuous,et_transformer_residual,action_macro,100641,0.9957351684570312,2.600307941436768,1.523977756500244
20260902,1,distance_v2_305,hold,steer_deg,108,11.087183952331545,22.959964752197266,22.719446182250977
20260902,1,distance_v2_305,hold,brake,108,0.0233463160693645,0.064904510974884,0.0484295822679996
20260902,1,distance_v2_305,hold,accelerator,108,0.1016450077295303,0.1997490972280502,0.1782900243997573
20260902,1,distance_v2_305,hold,speed_kmh,108,1.2691810131072998,2.2970473766326904,2.3914663791656494
20260902,1,distance_v2_305,hold,action_macro,108,1.572420954704285,3.5931100845336914,3.0260937213897705
20260902,1,distance_v2_305,linear,steer_deg,108,14.025128364562988,27.28948211669922,30.653247833251957
20260902,1,distance_v2_305,linear,brake,108,0.0463730581104755,0.0685470625758171,0.0681800469756126
20260902,1,distance_v2_305,linear,accelerator,108,0.1101377010345459,0.201921597123146,0.2032739520072937
20260902,1,distance_v2_305,linear,speed_kmh,108,0.7274894714355469,1.6783090829849243,1.6890478134155271
20260902,1,distance_v2_305,linear,action_macro,108,1.978413701057434,3.999043464660645,3.853242874145508
20260902,1,distance_v2_305,extra_trees,steer_deg,108,10.3544282913208,20.928937911987305,21.208229064941406
20260902,1,distance_v2_305,extra_trees,brake,108,0.0232855826616287,0.0569914802908897,0.0475042648613452
20260902,1,distance_v2_305,extra_trees,accelerator,108,0.1067923456430435,0.181281179189682,0.1735155284404754
20260902,1,distance_v2_305,extra_trees,speed_kmh,108,0.5604177713394165,1.1859630346298218,1.3076555728912354
20260902,1,distance_v2_305,extra_trees,action_macro,108,1.5574814081192017,3.2642087936401367,2.887346744537353
20260902,1,distance_v2_305,transformer,steer_deg,108,10.593305587768556,21.641769409179688,21.85752296447754
20260902,1,distance_v2_305,transformer,brake,108,0.0240949168801307,0.0607222877442836,0.0485942177474498
20260902,1,distance_v2_305,transformer,accelerator,108,0.1041732877492904,0.194129467010498,0.1771342009305954
20260902,1,distance_v2_305,transformer,speed_kmh,108,0.6183183193206787,1.2813650369644165,1.427334547042847
20260902,1,distance_v2_305,transformer,action_macro,108,1.561341643333435,3.429481267929077,2.962023973464966
20260902,1,distance_v2_305,et_transformer_residual,steer_deg,108,10.338529586791992,21.039485931396484,21.21992492675781
20260902,1,distance_v2_305,et_transformer_residual,brake,108,0.023021075874567,0.0590782836079597,0.0463813543319702
20260902,1,distance_v2_305,et_transformer_residual,accelerator,108,0.1026185601949691,0.1898494511842727,0.1741052716970443
20260902,1,distance_v2_305,et_transformer_residual,speed_kmh,108,0.5423487424850464,1.176546573638916,1.2873995304107666
20260902,1,distance_v2_305,et_transformer_residual,action_macro,108,1.5268328189849854,3.342634677886963,2.884572744369507
