subset,event_id,recording_alias,anchor_time_s,window_index,query_time_s,mapping_error_s
distance_v2_305,R001-E001,R001,59.69,288,59.6,0.0899999999999963
distance_v2_305,R001-E002,R001,220.525,1093,220.60000000000002,0.07500000000001705
distance_v2_305,R001-E003,R001,347.815,1729,347.8,0.014999999999986358
distance_v2_305,R001-E004,R001,350.985,1745,351.0,0.014999999999986358
distance_v2_305,R002-E001,R002,58.055,3093,58.0,0.054999999999999716
distance_v2_305,R002-E002,R002,190.655,3756,190.60000000000002,0.0549999999999784
distance_v2_305,R002-E003,R002,318.945,4398,319.0,0.05500000000000682
distance_v2_305,R002-E004,R002,322.87,4417,322.8,0.06999999999999318
distance_v2_305,R003-E001,R003,52.57,5720,52.6,0.030000000000001137
distance_v2_305,R003-E002,R003,58.21,5748,58.2,0.00999999999999801
distance_v2_305,R003-E003,R003,226.16,6588,226.20000000000002,0.040000000000020464
distance_v2_305,R003-E004,R003,380.65,7360,380.6,0.049999999999954525
distance_v2_305,R003-E005,R003,383.67,7375,383.6,0.06999999999999318
distance_v2_305,R004-E001,R004,109.795,8918,109.80000000000001,0.005000000000009663
distance_v2_305,R004-E002,R004,261.62,9677,261.6,0.01999999999998181
distance_v2_305,R004-E003,R004,379.835,10268,379.8,0.03499999999996817
distance_v2_305,R004-E004,R004,382.885,10283,382.8,0.08499999999997954
distance_v2_305,R005-E001,R005,50.56,11537,50.6,0.03999999999999915
distance_v2_305,R005-E002,R005,91.805,11743,91.80000000000001,0.0049999999999954525
distance_v2_305,R005-E003,R005,200.895,12288,200.8,0.09499999999999886
distance_v2_305,R005-E004,R005,333.835,12953,333.8,0.03499999999996817
distance_v2_305,R005-E005,R005,337.745,12973,337.8,0.05500000000000682
distance_v2_305,R012-E001,R012,72.315,18174,72.4,0.08500000000000796
distance_v2_305,R013-E001,R013,43.29,18834,43.2,0.0899999999999963
distance_v2_305,R013-E002,R013,175.95,19498,176.0,0.05000000000001137
distance_v2_305,R013-E003,R013,179.475,19515,179.4,0.07499999999998863
distance_v2_305,R014-E001,R014,55.34,21050,55.400000000000006,0.060000000000002274
distance_v2_305,R014-E002,R014,191.975,21733,192.0,0.025000000000005684
distance_v2_305,R014-E003,R014,320.65,22376,320.6,0.049999999999954525
distance_v2_305,R014-E004,R014,324.54,22396,324.6,0.060000000000002274
distance_v2_305,R015-E001,R015,59.99,23806,60.0,0.00999999999999801
distance_v2_305,R015-E002,R015,191.73,24465,191.8,0.0700000000000216
distance_v2_305,R015-E003,R015,317.56,25094,317.6,0.040000000000020464
distance_v2_305,R015-E004,R015,320.58,25109,320.6,0.020000000000038654
distance_v2_305,R016-E001,R016,51.74,26445,51.800000000000004,0.060000000000002274
distance_v2_305,R016-E002,R016,183.445,27103,183.4,0.044999999999987494
distance_v2_305,R016-E003,R016,306.19,27717,306.2,0.009999999999990905
distance_v2_305,R016-E004,R016,309.13,27732,309.20000000000005,0.07000000000005002
distance_v2_305,R017-E001,R017,54.42,29073,54.400000000000006,0.01999999999999602
distance_v2_305,R017-E002,R017,182.025,29711,182.0,0.025000000000005684
distance_v2_305,R017-E003,R017,293.01,30266,293.0,0.009999999999990905
distance_v2_305,R017-E004,R017,295.72,30280,295.8,0.07999999999998408
distance_v2_305,R033-E001,R033,106.995,40519,107.0,0.0049999999999954525
