experiment,name_cn,split,train,val,test,window_incomplete_used,steering_rmse,wrong_side_rate,severe_under_amplitude_rate,large_response_recall,response_type_macro_f1,curve_type_macro_f1,keypoint_brake_onset_time_mae,keypoint_speed_drop_max_mae,keypoint_roll_peak_value_mae,keypoint_roll_rate_peak_value_mae,figure_count
G2_E0_clean_steering_only,clean 固定窗口方向盘-only 对照,train,73,22,12,0,0.429052323102951,0.0526315789473684,0.4210526315789473,0.8947368421052632,,,,,,,70
G2_E0_clean_steering_only,clean 固定窗口方向盘-only 对照,val,73,22,12,0,0.4768257737159729,0.75,0.75,1.0,,,,,,,70
G2_E0_clean_steering_only,clean 固定窗口方向盘-only 对照,test,73,22,12,0,0.2974657714366913,,,,,,,,,,70
G2_E0_clean_steering_only,clean 固定窗口方向盘-only 对照,common_eval_all_clean,73,22,12,0,0.3125894367694855,,,,,,,,,,70
G2_E0_clean_steering_only,clean 固定窗口方向盘-only 对照,common_eval_noncurve_clean,73,22,12,0,0.314454585313797,,,,,,,,,,70
G2_E1_clean_multitask,clean 固定窗口多输出,train,73,22,12,0,0.4714973568916321,0.1052631578947368,0.4736842105263157,1.0,0.8975638740344624,,0.2958246171474457,5.779348373413086,0.0194636676460504,0.1273598074913025,140
G2_E1_clean_multitask,clean 固定窗口多输出,val,73,22,12,0,0.4878602921962738,0.75,0.75,1.0,0.4435286935286935,,0.2401642799377441,12.71570873260498,0.0405776351690292,0.2014152854681015,140
G2_E1_clean_multitask,clean 固定窗口多输出,test,73,22,12,0,0.306748628616333,,,,0.2358974358974359,,0.0700172409415245,8.430173873901367,0.0275475401431322,0.2000079751014709,140
G2_E1_clean_multitask,clean 固定窗口多输出,common_eval_all_clean,73,22,12,0,0.317192941904068,,,,0.1809523809523809,,0.6281313300132751,21.81005859375,0.0230003986507654,0.1585425436496734,140
G2_E1_clean_multitask,clean 固定窗口多输出,common_eval_noncurve_clean,73,22,12,0,0.3249682188034057,,,,0.1428571428571428,,0.6137567758560181,21.81005859375,0.028278611600399,0.1519568860530853,140
G2_E2_clean_masked_multihorizon,clean 掩码多时域多输出,train,128,33,32,9,0.4775391817092895,0.125,0.5,0.8125,0.8494367338404035,,0.3203192055225372,10.345805168151855,0.0197763107717037,0.1109934598207473,245
G2_E2_clean_masked_multihorizon,clean 掩码多时域多输出,val,128,33,32,9,0.4362054169178009,0.25,0.375,0.75,0.425050505050505,,0.3507179319858551,13.38133716583252,0.0352324768900871,0.1802796721458435,245
G2_E2_clean_masked_multihorizon,clean 掩码多时域多输出,test,128,33,32,9,0.2385756224393844,,,,0.6509009009009009,,0.4328015744686126,18.00038719177246,0.0150313898921012,0.1068217754364013,245
G2_E2_clean_masked_multihorizon,clean 掩码多时域多输出,common_eval_all_clean,128,33,32,9,0.2808715999126434,,,,0.225,,0.6715350151062012,21.309545516967773,0.0166254434734582,0.101095899939537,245
G2_E2_clean_masked_multihorizon,clean 掩码多时域多输出,common_eval_noncurve_clean,128,33,32,9,0.2800171375274658,,,,0.3571428571428571,,0.6981993913650513,21.309545516967773,0.019421262666583,0.1158851459622383,245
G2_E3_noncurve_response_aux,非弯道 response_type 辅助任务,train,168,43,45,9,0.2790415585041046,0.0714285714285714,0.3095238095238095,0.9523809523809524,0.7501119570085087,,0.6256277561187744,9.678695678710938,0.0158750042319297,0.0966676324605941,256
G2_E3_noncurve_response_aux,非弯道 response_type 辅助任务,val,168,43,45,9,0.3915565013885498,0.1333333333333333,0.5333333333333333,0.8,0.4722222222222221,,0.7652098536491394,9.794322967529297,0.0320223197340965,0.150846853852272,256
G2_E3_noncurve_response_aux,非弯道 response_type 辅助任务,test,168,43,45,9,0.1868976205587387,0.0,1.0,0.0,0.1637303265210241,,0.7583991885185242,15.789175987243652,0.0151124764233827,0.0875723659992218,256
G2_E3_noncurve_response_aux,非弯道 response_type 辅助任务,common_eval_all_clean,168,43,45,9,0.2515735328197479,,,,0.1333333333333333,,1.0599815845489502,25.358030319213867,0.0262300018221139,0.0912976786494255,256
G2_E3_noncurve_response_aux,非弯道 response_type 辅助任务,common_eval_noncurve_clean,168,43,45,9,0.2426314204931259,,,,0.1944444444444444,,1.200716495513916,25.358030319213867,0.0292102638632059,0.1000321507453918,256
G2_E4_curve_clean_specialized,clean 弯道专门任务,train,45,13,7,0,0.5284529328346252,0.0833333333333333,0.1666666666666666,1.0,,1.0,0.1151635572314262,3.631789207458496,0.0167859848588705,0.0748621895909309,93
G2_E4_curve_clean_specialized,clean 弯道专门任务,val,45,13,7,0,0.3326899111270904,0.0,1.0,1.0,,0.4347826086956521,0.1884002238512039,11.27505111694336,0.027842117473483,0.1062460467219352,93
G2_E4_curve_clean_specialized,clean 弯道专门任务,test,45,13,7,0,0.3321079611778259,,,,,0.4615384615384615,0.3180020153522491,12.626631736755373,0.0172501541674137,0.0909961387515068,93
G2_E4_curve_clean_specialized,clean 弯道专门任务,common_eval_curve_clean,45,13,7,0,0.4170728027820587,,,,,1.0,0.5952162146568298,,0.0178404338657856,0.0503414422273635,93
G2_E5A_train_candidates_only,E5A 只用训练候选,train,73,22,13,1,0.4069343209266662,0.0526315789473684,0.3157894736842105,0.8421052631578947,0.93160591421461,,0.2611039876937866,4.892523765563965,0.0191527679562568,0.1298446059226989,149
G2_E5A_train_candidates_only,E5A 只用训练候选,val,73,22,13,1,0.4736529588699341,0.5,0.75,0.75,0.5746934225195095,,0.3312419950962066,10.335997581481934,0.0363073721528053,0.2162459045648574,149
