window_config_id,subject,n_samples,sample_rmse_mean,sample_rmse_median,gt_peak_abs_mean,wrong_side_rate,severe_under_rate,difficult_rate,tail_abs_error_mean,reversal_exact_rate
pre2_label2_old_main,zdq,5,0.4601482033729553,0.23495203256607056,0.7201236486434937,0.4,0.4,0.2,0.6476207558065653,0.0
pre2_label2_old_main,gf,5,0.40022366046905516,0.19831550121307373,0.83639577627182,0.2,0.6,0.4,0.4801560748368502,0.0
pre2_label2_old_main,yyl,5,0.3756602853536606,0.39802664518356323,0.6759669750928878,0.4,0.2,0.4,0.5289104148745537,0.0
pre2_label2_old_main,yzy,5,0.3182051137089729,0.2873811423778534,0.7359350383281708,0.2,0.2,0.6,0.4751784551888704,0.0
pre2_label2_old_main,byx,15,0.3056393792231878,0.24900518357753754,0.664656721552213,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.2821044591565927,0.0
pre2_label2_old_main,hzh,9,0.25946420058608055,0.21523232758045197,0.6657462186283536,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.4112378797597355,0.2222222222222222
pre2_label2_old_main,lxy,5,0.23546587377786637,0.21671676635742188,0.697991567850113,0.0,0.4,0.2,0.41041255220770834,0.0
pre2_label2_old_main,txj,5,0.2240549087524414,0.16816608607769012,0.45605275928974154,0.2,0.2,0.2,0.383133128285408,0.0
pre2_label2_old_main,zx,10,0.22396594434976577,0.1596490666270256,0.4852882340550423,0.2,0.0,0.2,0.2445831686258316,0.0
pre2_label2_old_main,zxy,3,0.09968792647123337,0.09024873375892639,0.6342527468999227,0.0,0.0,0.0,0.1293000802397728,0.0
pre3_label3_response_coverage,gf,5,0.543206837773323,0.26207756996154785,0.9119335651397705,0.2,0.4,0.4,0.7227602034807206,0.0
pre3_label3_response_coverage,zdq,5,0.5174795418977738,0.3355099558830261,0.8765390098094941,0.4,0.2,0.2,0.7360064253211022,0.0
pre3_label3_response_coverage,yzy,5,0.49857812821865083,0.4401516914367676,0.7836875259876251,0.6,0.4,0.4,0.530940701905638,0.0
pre3_label3_response_coverage,yyl,5,0.3452712714672089,0.32703444361686707,0.831405970454216,0.2,0.2,0.4,0.2605764284729958,0.0
pre3_label3_response_coverage,hzh,9,0.34136799805694157,0.22743314504623413,0.7195999191866981,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.43621062487363815,0.0
pre3_label3_response_coverage,byx,15,0.33582468554377554,0.3250137269496918,0.679945791264375,0.2,0.4666666666666667,0.2,0.2497225094586611,0.0
pre3_label3_response_coverage,txj,5,0.3245029330253601,0.22843757271766663,0.7037169426679611,0.0,0.2,0.2,0.3188267290592194,0.0
pre3_label3_response_coverage,zx,10,0.26381094232201574,0.22389530390501022,0.6019809305667877,0.3,0.1,0.2,0.3801516842097044,0.0
pre3_label3_response_coverage,lxy,5,0.2442866176366806,0.13781780004501343,0.7186563670635223,0.0,0.4,0.2,0.11480564367957413,0.0
pre3_label3_response_coverage,zxy,3,0.2347560574611028,0.24717704951763153,0.7319329977035522,0.0,0.3333333333333333,0.0,0.4683937045435111,0.0
