window_config_id,plot_type,rank,array_row,sample_id,subject
pre2_label2_old_main,fixed,1,62,raw_road_curvature_onset__gf__2025_09_26_10_40_59__00001__pre2_label2_old_main,gf
pre2_label2_old_main,fixed,2,282,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00001__pre2_label2_old_main,zdq
pre2_label2_old_main,fixed,3,167,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00001__pre2_label2_old_main,lxy
pre2_label2_old_main,fixed,4,106,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00001__pre2_label2_old_main,hzh
pre2_label2_old_main,fixed,5,232,raw_road_curvature_onset__yyl__2025_09_28_09_14_23__00001__pre2_label2_old_main,yyl
pre2_label2_old_main,fixed,6,94,raw_road_curvature_onset__hzh__2025_09_26_20_50_27__00001__pre2_label2_old_main,hzh
pre2_label2_old_main,fixed,7,169,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00003__pre2_label2_old_main,lxy
pre2_label2_old_main,fixed,8,340,raw_road_curvature_onset__zx__2025_09_27_18_17_48__00004__pre2_label2_old_main,zx
pre2_label2_old_main,fixed,9,171,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00005__pre2_label2_old_main,lxy
pre2_label2_old_main,fixed,10,107,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00002__pre2_label2_old_main,hzh
pre2_label2_old_main,fixed,11,285,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00004__pre2_label2_old_main,zdq
pre2_label2_old_main,fixed,12,168,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00002__pre2_label2_old_main,lxy
pre2_label2_old_main,bad,1,282,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00001__pre2_label2_old_main,zdq
pre2_label2_old_main,bad,2,62,raw_road_curvature_onset__gf__2025_09_26_10_40_59__00001__pre2_label2_old_main,gf
pre2_label2_old_main,bad,3,10,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00001__pre2_label2_old_main,byx
pre2_label2_old_main,bad,4,236,raw_road_curvature_onset__yyl__2025_09_28_09_14_23__00005__pre2_label2_old_main,yyl
pre2_label2_old_main,bad,5,106,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00001__pre2_label2_old_main,hzh
