model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,461,0.5814686558772013,0.40338681021495426,0.6744612663181547,0.5606602062986368,116,1.0,1.0,0.0,0.6600840091705322
zero_delta,val,136,0.4586708458947547,0.34303778863739104,0.521669733487378,0.5503113069845473,39,1.0,1.0,0.0,0.6600840091705322
zero_delta,test,212,0.6068348393769484,0.4802538073089459,0.6789602576438538,0.6254463413843384,57,1.0,1.0,0.0,0.6600840091705322
linear_trend_from_last_rate,train,461,4.033499629688258,1.6171791703014269,5.0307256768960915,2.4443575401271245,116,0.7844827586206896,0.603448275862069,0.4396551724137931,0.6600840091705322
linear_trend_from_last_rate,val,136,5.113409193753584,2.0631043675733527,6.374880022902116,3.4765720706542624,39,0.8205128205128205,0.5128205128205128,0.5384615384615384,0.6600840091705322
linear_trend_from_last_rate,test,212,3.6259268529450113,1.4871758789070164,4.515480540779703,2.4871933414344896,57,0.8421052631578947,0.6491228070175439,0.38596491228070173,0.6600840091705322
train_global_mean,train,461,0.5774820980170703,0.4029081885278546,0.6689309000286485,0.5013893129801026,116,0.39655172413793105,1.0,0.0,0.6600840091705322
train_global_mean,val,136,0.4575921879320785,0.34338802005508623,0.5199687521055459,0.4639427948414403,39,0.4358974358974359,1.0,0.0,0.6600840091705322
train_global_mean,test,212,0.6113587393118173,0.4798778529021509,0.6858394031286963,0.5511256175072873,57,0.49122807017543857,1.0,0.0,0.6600840091705322
train_category_mean,train,461,0.5576108808544957,0.38670125594210125,0.6467942016929675,0.43648667305449346,116,0.3793103448275862,0.8448275862068966,0.6293103448275862,0.6600840091705322
train_category_mean,val,136,0.45545094489601473,0.3519303410783764,0.5130277010333729,0.41345303785055876,39,0.46153846153846156,0.8974358974358975,0.48717948717948717,0.6600840091705322
train_category_mean,test,212,0.6175070551032925,0.46474718645628266,0.7017867598600375,0.4984042866815558,57,0.5614035087719298,0.9473684210526315,0.5087719298245614,0.6600840091705322
train_context_mean,train,461,0.574418584604113,0.400861435392174,0.6653501480437777,0.48138270494800844,116,0.3879310344827586,0.9741379310344828,0.23275862068965517,0.6600840091705322
train_context_mean,val,136,0.4570428243622365,0.3472408320155259,0.5174699490340526,0.44399251361541886,39,0.48717948717948717,0.9487179487179487,0.1794871794871795,0.6600840091705322
train_context_mean,test,212,0.6161563564980888,0.4849942924468458,0.6904352341662477,0.5380012737263108,57,0.5263157894736842,1.0,0.21052631578947367,0.6600840091705322
ridge_vehicle_history_context_alpha1000,train,461,0.45342142998095036,0.2989075623686357,0.5318442275024258,0.3463660782453586,116,0.27586206896551724,0.6206896551724138,0.7758620689655172,0.6600840091705322
ridge_vehicle_history_context_alpha1000,val,136,0.41634178807793404,0.32162322548852285,0.46943185804763177,0.3072922272772035,39,0.41025641025641024,0.5897435897435898,0.7435897435897436,0.6600840091705322
ridge_vehicle_history_context_alpha1000,test,212,0.6037411314745353,0.47688835760284787,0.6756341366145691,0.4172273792951359,57,0.2982456140350877,0.6666666666666666,0.7017543859649122,0.6600840091705322
knn_vehicle_history_context_k5,train,461,0.0009443006290412052,0.0007130568002094615,0.0010715632791570946,0.0005293009669991013,116,0.0,0.0,1.0,0.6600840091705322
knn_vehicle_history_context_k5,val,136,0.3607698199682397,0.2805063828109305,0.40560076260560857,0.34463814043385144,39,0.1282051282051282,0.717948717948718,0.5384615384615384,0.6600840091705322
knn_vehicle_history_context_k5,test,212,0.6000593652761544,0.4606102088561708,0.6776645195658505,0.41944086818158505,57,0.22807017543859648,0.7192982456140351,0.6666666666666666,0.6600840091705322
rbf_kernel_vehicle_context_alpha0.1_g1,train,461,0.12835227533395946,0.0826231486512371,0.1514095739269428,0.12350528432640152,116,0.06896551724137931,0.06896551724137931,0.9568965517241379,0.6600840091705322
rbf_kernel_vehicle_context_alpha0.1_g1,val,136,0.3720345667691601,0.2612795632121654,0.43017295810496187,0.2648768734806628,39,0.1282051282051282,0.46153846153846156,0.7692307692307693,0.6600840091705322
rbf_kernel_vehicle_context_alpha0.1_g1,test,212,0.5977248358174111,0.45174854960100563,0.6783124673369395,0.3973874294683381,57,0.21052631578947367,0.7017543859649122,0.6666666666666666,0.6600840091705322
