model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,454,0.585084472246922,0.4053023730140073,0.67887303454375,0.5632253147267823,114,1.0,1.0,0.0,0.6672827452421188
zero_delta,val,130,0.4646767709053976,0.3472212845736665,0.5286420311501359,0.5547885042543594,38,1.0,1.0,0.0,0.6672827452421188
zero_delta,test,209,0.6102596122144077,0.48352758050420025,0.6825308902093821,0.6272915782976192,56,1.0,1.0,0.0,0.6672827452421188
linear_trend_from_last_rate,train,454,4.05411803375484,1.625058466519757,5.056510490431494,2.4482948185490354,114,0.7807017543859649,0.6052631578947368,0.43859649122807015,0.6672827452421188
linear_trend_from_last_rate,val,130,5.208760643278288,2.102646898905242,6.493530281469196,3.5495102571180235,38,0.8157894736842105,0.5,0.5526315789473685,0.6672827452421188
linear_trend_from_last_rate,test,209,3.651704489510472,1.4977594967844905,4.54757947150818,2.5157622194968154,56,0.8392857142857143,0.6428571428571429,0.39285714285714285,0.6672827452421188
train_global_mean,train,454,0.5807791689798769,0.40468576865396605,0.6729378610310437,0.5025698071764166,114,0.40350877192982454,1.0,0.0,0.6672827452421188
train_global_mean,val,130,0.46442849981863366,0.3474810190814505,0.5281955480010948,0.4661830046429084,38,0.4473684210526316,1.0,0.0,0.6672827452421188
train_global_mean,test,209,0.6150906591738444,0.4831360538348213,0.6898789212170204,0.5506808462816749,56,0.48214285714285715,1.0,0.0,0.6672827452421188
train_category_mean,train,454,0.5613556188169484,0.38899104752940206,0.6512532513440293,0.44053499727194007,114,0.38596491228070173,0.8508771929824561,0.631578947368421,0.6672827452421188
train_category_mean,val,130,0.4593792778905863,0.3558795567305532,0.517008313027329,0.4242751913001904,38,0.4473684210526316,0.8947368421052632,0.5,0.6672827452421188
train_category_mean,test,209,0.6208097900389852,0.46762190815368193,0.7053599547249069,0.5019186374594337,56,0.5714285714285714,0.9464285714285714,0.5178571428571429,0.6672827452421188
train_context_mean,train,454,0.5776559628193652,0.4025572238251212,0.669304521556396,0.48274231649574206,114,0.39473684210526316,0.9824561403508771,0.22807017543859648,0.6672827452421188
train_context_mean,val,130,0.4641207674482294,0.35148915479419657,0.5259909621122207,0.4455679187980982,38,0.5,0.9473684210526315,0.18421052631578946,0.6672827452421188
train_context_mean,test,209,0.6201563544932859,0.4885486328452555,0.6947364993024205,0.5379533765767367,56,0.5178571428571429,1.0,0.21428571428571427,0.6672827452421188
ridge_vehicle_history_context_alpha1000,train,454,0.4562923130899007,0.30026107246523615,0.535398386731031,0.3481352167441982,114,0.2807017543859649,0.631578947368421,0.7719298245614035,0.6672827452421188
ridge_vehicle_history_context_alpha1000,val,130,0.4219433940972459,0.3253839535618885,0.4760155274819782,0.3105251513994657,38,0.42105263157894735,0.5789473684210527,0.7105263157894737,0.6672827452421188
ridge_vehicle_history_context_alpha1000,test,209,0.6076221933039114,0.48002175728840185,0.6799631984653599,0.4186769487390865,56,0.30357142857142855,0.6607142857142857,0.7142857142857143,0.6672827452421188
knn_vehicle_history_context_k5,train,454,0.0009850533590894928,0.0006627805366191004,0.0011498897668322562,0.000522433237825477,114,0.0,0.0,1.0,0.6672827452421188
knn_vehicle_history_context_k5,val,130,0.36464533505706026,0.28274895654936083,0.41030895478575696,0.3470630194561986,38,0.13157894736842105,0.7105263157894737,0.5526315789473685,0.6672827452421188
knn_vehicle_history_context_k5,test,209,0.6023205031524008,0.4627778765022037,0.680011825353516,0.41902777788164675,56,0.21428571428571427,0.7142857142857143,0.6785714285714286,0.6672827452421188
rbf_kernel_vehicle_context_alpha0.1_g1,train,454,0.12872290577330497,0.08265167862324214,0.15190528469567666,0.12335456943699458,114,0.06140350877192982,0.07017543859649122,0.9649122807017544,0.6672827452421188
rbf_kernel_vehicle_context_alpha0.1_g1,val,130,0.3775871558029935,0.26412144234477797,0.4370142590326396,0.2675967397974231,38,0.13157894736842105,0.4473684210526316,0.7631578947368421,0.6672827452421188
rbf_kernel_vehicle_context_alpha0.1_g1,test,209,0.6015021801716399,0.45462719428891424,0.6825835911419608,0.3970680370972532,56,0.21428571428571427,0.6785714285714286,0.6785714285714286,0.6672827452421188
