model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,461,0.5814686558772013,0.40338681021495426,0.6744612663181547,0.5606602062986368,116,1.0,1.0,0.0,0.6600840091705322
zero_delta,val,136,0.4586708458947547,0.34303778863739104,0.521669733487378,0.5503113069845473,39,1.0,1.0,0.0,0.6600840091705322
zero_delta,test,212,0.6068348393769484,0.4802538073089459,0.6789602576438538,0.6254463413843384,57,1.0,1.0,0.0,0.6600840091705322
linear_trend_from_last_rate,train,461,4.033499629688258,1.6171791703014269,5.0307256768960915,2.4443575401271245,116,0.7844827586206896,0.603448275862069,0.4396551724137931,0.6600840091705322
linear_trend_from_last_rate,val,136,5.113409193753584,2.0631043675733527,6.374880022902116,3.4765720706542624,39,0.8205128205128205,0.5128205128205128,0.5384615384615384,0.6600840091705322
linear_trend_from_last_rate,test,212,3.6259268529450113,1.4871758789070164,4.515480540779703,2.4871933414344896,57,0.8421052631578947,0.6491228070175439,0.38596491228070173,0.6600840091705322
train_global_mean,train,461,0.5774820980170703,0.4029081885278546,0.6689309000286485,0.5013893129801026,116,0.39655172413793105,1.0,0.0,0.6600840091705322
train_global_mean,val,136,0.4575921879320785,0.34338802005508623,0.5199687521055459,0.4639427948414403,39,0.4358974358974359,1.0,0.0,0.6600840091705322
train_global_mean,test,212,0.6113587393118173,0.4798778529021509,0.6858394031286963,0.5511256175072873,57,0.49122807017543857,1.0,0.0,0.6600840091705322
train_category_mean,train,461,0.5576108808544957,0.38670125594210125,0.6467942016929675,0.43648667305449346,116,0.3793103448275862,0.8448275862068966,0.6293103448275862,0.6600840091705322
train_category_mean,val,136,0.45545094489601473,0.3519303410783764,0.5130277010333729,0.41345303785055876,39,0.46153846153846156,0.8974358974358975,0.48717948717948717,0.6600840091705322
train_category_mean,test,212,0.6175070551032925,0.46474718645628266,0.7017867598600375,0.4984042866815558,57,0.5614035087719298,0.9473684210526315,0.5087719298245614,0.6600840091705322
train_context_mean,train,461,0.574418584604113,0.400861435392174,0.6653501480437777,0.48138270494800844,116,0.3879310344827586,0.9741379310344828,0.23275862068965517,0.6600840091705322
train_context_mean,val,136,0.4570428243622365,0.3472408320155259,0.5174699490340526,0.44399251361541886,39,0.48717948717948717,0.9487179487179487,0.1794871794871795,0.6600840091705322
train_context_mean,test,212,0.6161563564980888,0.4849942924468458,0.6904352341662477,0.5380012737263108,57,0.5263157894736842,1.0,0.21052631578947367,0.6600840091705322
ridge_vehicle_history_context_alpha1000,train,461,0.4527836533355696,0.29824121970948364,0.531189017442124,0.34698224375569897,116,0.27586206896551724,0.603448275862069,0.7758620689655172,0.6600840091705322
ridge_vehicle_history_context_alpha1000,val,136,0.41634712085706455,0.32189751611120415,0.4693283328084355,0.30779523244949386,39,0.41025641025641024,0.5897435897435898,0.7435897435897436,0.6600840091705322
ridge_vehicle_history_context_alpha1000,test,212,0.6075224961719112,0.4790698675844494,0.6802457073823468,0.41488826410451746,57,0.2982456140350877,0.6666666666666666,0.7368421052631579,0.6600840091705322
knn_vehicle_history_context_k5,train,461,0.0011280740238298378,0.0006945620178268692,0.001341184973951829,0.0006573187164604735,116,0.0,0.0,1.0,0.6600840091705322
knn_vehicle_history_context_k5,val,136,0.3606728049711935,0.28065861674781445,0.40538494000994696,0.34558635336511273,39,0.1282051282051282,0.717948717948718,0.5128205128205128,0.6600840091705322
knn_vehicle_history_context_k5,test,212,0.6043932067984786,0.4617103304797262,0.6835443969349589,0.4204724653089147,57,0.21052631578947367,0.7192982456140351,0.6666666666666666,0.6600840091705322
rbf_kernel_vehicle_context_alpha0.1_g1,train,461,0.1259786768299663,0.08172803709765449,0.14837837296470785,0.12256006020274814,116,0.0603448275862069,0.0603448275862069,0.9568965517241379,0.6600840091705322
rbf_kernel_vehicle_context_alpha0.1_g1,val,136,0.3670565594894434,0.2599514031614297,0.4235718299375152,0.2615557296033812,39,0.1282051282051282,0.5128205128205128,0.7948717948717948,0.6600840091705322
rbf_kernel_vehicle_context_alpha0.1_g1,test,212,0.5888565087813096,0.45050147645265937,0.6658004905500636,0.3914272777658211,57,0.19298245614035087,0.7017543859649122,0.6140350877192983,0.6600840091705322
