model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,455,0.5933233284062082,0.4144343020437006,0.6870940266901543,0.6212728786927003,114,1.0,1.0,0.0,0.7374019622802734
zero_delta,val,134,0.46745432758096916,0.3466295877710886,0.5330206869827298,0.5851091600732127,39,1.0,1.0,0.0,0.7374019622802734
zero_delta,test,209,0.6122959020735732,0.48666455991280283,0.6840634721284653,0.6501163144581439,52,1.0,1.0,0.0,0.7374019622802734
linear_trend_from_last_rate,train,455,3.310031042731354,1.3258336665458588,4.128576866444256,2.4750285575350564,114,0.6842105263157895,0.47368421052631576,0.6140350877192983,0.7374019622802734
linear_trend_from_last_rate,val,134,3.9280863053654897,1.603794979615351,4.893004792086939,3.111597463710984,39,0.717948717948718,0.41025641025641024,0.6666666666666666,0.7374019622802734
linear_trend_from_last_rate,test,209,3.2248413815783765,1.3405195483724908,4.012244794578962,2.3544072914199066,52,0.8269230769230769,0.5576923076923077,0.4807692307692308,0.7374019622802734
train_global_mean,train,455,0.5893019910314934,0.41394323754715256,0.6815073489648628,0.5233756697439885,114,0.41228070175438597,1.0,0.0,0.7374019622802734
train_global_mean,val,134,0.46648923560558453,0.3471371922754014,0.5314336907946648,0.48281346867556,39,0.4358974358974359,1.0,0.0,0.7374019622802734
train_global_mean,test,209,0.6168077966787309,0.48627350588568935,0.6909473642087655,0.5523670708440894,52,0.5,1.0,0.0,0.7374019622802734
train_category_mean,train,455,0.5699049917731055,0.39838730739018996,0.6598176031151105,0.482905986143665,114,0.3684210526315789,0.868421052631579,0.21929824561403508,0.7374019622802734
train_category_mean,val,134,0.4616209394512399,0.35515916359105326,0.5207162407541773,0.4476582689850188,39,0.4358974358974359,0.8974358974358975,0.10256410256410256,0.7374019622802734
train_category_mean,test,209,0.6231075723673125,0.4710442664125156,0.7071956633038916,0.5131555981783678,52,0.5961538461538461,0.9423076923076923,0.19230769230769232,0.7374019622802734
train_context_mean,train,455,0.585807022826119,0.4115075512514181,0.6774683053531522,0.4990244092440212,114,0.40350877192982454,0.9912280701754386,0.22807017543859648,0.7374019622802734
train_context_mean,val,134,0.4663922140031833,0.351985655539742,0.5291857444397963,0.4581630286107312,39,0.48717948717948717,0.9743589743589743,0.15384615384615385,0.7374019622802734
train_context_mean,test,209,0.62287981908849,0.49297401618865155,0.6966994308185183,0.5347022889967358,52,0.5769230769230769,1.0,0.23076923076923078,0.7374019622802734
torch_linear_vehicle_context,train,455,0.430098354546389,0.2750322837736477,0.5073730034085218,0.3088704220541231,114,0.24561403508771928,0.2807017543859649,0.9298245614035088,0.7374019622802734
torch_linear_vehicle_context,val,134,0.4629357070537923,0.3549333669694225,0.5236052059421853,0.30603247530647176,39,0.38461538461538464,0.28205128205128205,0.9230769230769231,0.7374019622802734
torch_linear_vehicle_context,test,209,0.6892189298122312,0.569938275609125,0.7593786435765895,0.44319853980069684,52,0.34615384615384615,0.3269230769230769,0.9615384615384616,0.7374019622802734
torch_mlp256_vehicle_context,train,455,0.3560017163939836,0.2666671588391491,0.40465485577391364,0.26142810195029437,114,0.14912280701754385,0.16666666666666666,0.956140350877193,0.7374019622802734
torch_mlp256_vehicle_context,val,134,0.42640692560206,0.33506623106268285,0.47822396868478334,0.3005126382766375,39,0.1794871794871795,0.23076923076923078,0.9230769230769231,0.7374019622802734
torch_mlp256_vehicle_context,test,209,0.6528463882773519,0.5112437890475305,0.7327387823510613,0.43048494949359806,52,0.2692307692307692,0.36538461538461536,0.9423076923076923,0.7374019622802734
torch_mlp512_vehicle_context,train,455,0.3540557823318264,0.25352729982082106,0.40754882721824043,0.27627984652152426,114,0.13157894736842105,0.14912280701754385,0.9736842105263158,0.7374019622802734
torch_mlp512_vehicle_context,val,134,0.43504391697917627,0.32554282559173453,0.495210943430483,0.33670602266245814,39,0.3076923076923077,0.2564102564102564,0.9487179487179487,0.7374019622802734
torch_mlp512_vehicle_context,test,209,0.6578346602089278,0.5116538086662094,0.739972271979699,0.45704253494091174,52,0.36538461538461536,0.36538461538461536,0.9423076923076923,0.7374019622802734
