model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,461,0.5901277123849272,0.4127388977634803,0.6831901448730553,0.618037093325706,116,1.0,1.0,0.0,0.7272779941558838
zero_delta,val,136,0.4643309192606127,0.34502135685800245,0.5291540368392674,0.5810411798712962,39,1.0,1.0,0.0,0.7272779941558838
zero_delta,test,212,0.6088538998444698,0.48336745654154434,0.6804794433314139,0.6479480859954218,53,1.0,1.0,0.0,0.7272779941558838
linear_trend_from_last_rate,train,461,3.3011939518715856,1.322589017688098,4.117508066860837,2.4771677085931803,116,0.6724137931034483,0.46551724137931033,0.6206896551724138,0.7272779941558838
linear_trend_from_last_rate,val,136,3.9432957697476816,1.6063815675280186,4.912717990066879,3.1847550551242687,39,0.717948717948718,0.41025641025641024,0.6666666666666666,0.7272779941558838
linear_trend_from_last_rate,test,212,3.202958563225453,1.331345322827326,3.985033287569823,2.33171111518102,53,0.8301886792452831,0.5471698113207547,0.49056603773584906,0.7272779941558838
train_global_mean,train,461,0.5863334589441731,0.41234563771430466,0.6778920015077331,0.5227649045578828,116,0.4224137931034483,1.0,0.0,0.7272779941558838
train_global_mean,val,136,0.4633268883854942,0.34542838995695335,0.527548771316577,0.48163291872205105,39,0.4358974358974359,1.0,0.0,0.7272779941558838
train_global_mean,test,212,0.6131486688647503,0.4830135624316172,0.687018095527775,0.5527067204683641,53,0.5094339622641509,1.0,0.0,0.7272779941558838
train_category_mean,train,461,0.5664774619751134,0.39628158043368633,0.655732813898982,0.47837474870287416,116,0.3793103448275862,0.8706896551724138,0.21551724137931033,0.7272779941558838
train_category_mean,val,136,0.46116344926941294,0.35379855810047334,0.5206837025917054,0.4368966683635817,39,0.46153846153846156,0.8974358974358975,0.10256410256410256,0.7272779941558838
train_category_mean,test,212,0.6197846730155553,0.4681418606582753,0.703606207743873,0.5094822338054106,53,0.5849056603773585,0.9433962264150944,0.18867924528301888,0.7272779941558838
train_context_mean,train,461,0.5829050558195876,0.4100056508012136,0.6739099867478556,0.49808291765232926,116,0.41379310344827586,0.9913793103448276,0.22413793103448276,0.7272779941558838
train_context_mean,val,136,0.46300991147021836,0.34997995012620536,0.5251039765346339,0.4569858379990739,39,0.48717948717948717,0.9743589743589743,0.15384615384615385,0.7272779941558838
train_context_mean,test,212,0.6189720333418847,0.4894140759210115,0.6925403324321899,0.5345060420337897,53,0.5849056603773585,1.0,0.22641509433962265,0.7272779941558838
torch_linear_vehicle_context,train,461,0.43864539619350945,0.280705653688044,0.5175799963575397,0.319682452609508,116,0.2672413793103448,0.28448275862068967,0.9137931034482759,0.7272779941558838
torch_linear_vehicle_context,val,136,0.4471272750169541,0.34713108601865283,0.5031882501022553,0.29699055439628225,39,0.38461538461538464,0.3076923076923077,0.9230769230769231,0.7272779941558838
torch_linear_vehicle_context,test,212,0.6861622974240275,0.5768805332269771,0.7511266352559047,0.4360158548032522,53,0.32075471698113206,0.33962264150943394,0.9811320754716981,0.7272779941558838
torch_mlp256_vehicle_context,train,461,0.3717866151423695,0.27940010617243227,0.42212750684170586,0.2793191921879051,116,0.1206896551724138,0.1724137931034483,0.9396551724137931,0.7272779941558838
torch_mlp256_vehicle_context,val,136,0.42231633801965296,0.3154958177340714,0.4803471915449544,0.30894373001202063,39,0.2564102564102564,0.28205128205128205,0.9230769230769231,0.7272779941558838
torch_mlp256_vehicle_context,test,212,0.6487125824370897,0.5074655374561188,0.7282542969340862,0.4136622289644844,53,0.2830188679245283,0.33962264150943394,0.9245283018867925,0.7272779941558838
torch_mlp512_vehicle_context,train,461,0.37127624842782087,0.2628776172973825,0.42825846158078723,0.2937471167125826,116,0.12931034482758622,0.1724137931034483,0.9568965517241379,0.7272779941558838
torch_mlp512_vehicle_context,val,136,0.4276251109016317,0.3292275479104784,0.4824683595570896,0.31629283150986715,39,0.3076923076923077,0.20512820512820512,0.9230769230769231,0.7272779941558838
torch_mlp512_vehicle_context,test,212,0.6550736556244747,0.5139034894925347,0.7350813938019132,0.4617507784426397,53,0.2641509433962264,0.39622641509433965,0.9622641509433962,0.7272779941558838
