model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,454,0.5938225501056884,0.4147529423639781,0.6876788990301436,0.6214868674128591,114,1.0,1.0,0.0,0.7394089698791504
zero_delta,val,130,0.47052085481510897,0.3492716111321364,0.5363673685473741,0.5869357395057495,38,1.0,1.0,0.0,0.7394089698791504
zero_delta,test,209,0.6122959020735732,0.48666455991280283,0.6840634721284653,0.6501163144581439,52,1.0,1.0,0.0,0.7394089698791504
linear_trend_from_last_rate,train,454,3.3115545399048103,1.3263304310821458,4.1304950526399145,2.4728691979323716,114,0.6842105263157895,0.47368421052631576,0.6140350877192983,0.7394089698791504
linear_trend_from_last_rate,val,130,3.9717219481554187,1.6232042660929278,4.947014827523296,3.1338764450871026,38,0.7105263157894737,0.42105263157894735,0.6578947368421053,0.7394089698791504
linear_trend_from_last_rate,test,209,3.2248413815783765,1.3405195483724908,4.012244794578962,2.3544072914199066,52,0.8269230769230769,0.5576923076923077,0.4807692307692308,0.7394089698791504
train_global_mean,train,454,0.5897244212727037,0.4142406188475851,0.6819893892950634,0.5228624715744661,114,0.41228070175438597,1.0,0.0,0.7394089698791504
train_global_mean,val,130,0.4703388783354227,0.34962655137133514,0.535985985611852,0.4841214260802819,38,0.4473684210526316,1.0,0.0,0.7394089698791504
train_global_mean,test,209,0.616888287603085,0.4862832351250839,0.691062971340066,0.5515487460919731,52,0.5,1.0,0.0,0.7394089698791504
train_category_mean,train,454,0.5702988609877838,0.39866175604882315,0.6602675440045166,0.4830689243069698,114,0.3684210526315789,0.868421052631579,0.21929824561403508,0.7394089698791504
train_category_mean,val,130,0.4653038824960224,0.35781296975717153,0.5249546326608436,0.4487998960682979,38,0.4473684210526316,0.8947368421052632,0.10526315789473684,0.7394089698791504
train_category_mean,test,209,0.6231075723673125,0.4710442664125156,0.7071956633038916,0.5131555981783678,52,0.5961538461538461,0.9423076923076923,0.19230769230769232,0.7394089698791504
train_context_mean,train,454,0.5862166693348688,0.4117970299905924,0.6779349961838161,0.4986428919490345,114,0.40350877192982454,0.9912280701754386,0.22807017543859648,0.7394089698791504
train_context_mean,val,130,0.47030147653632226,0.35436637474341437,0.5338783320718407,0.4592286927768817,38,0.5,0.9736842105263158,0.15789473684210525,0.7394089698791504
train_context_mean,test,209,0.6230119797073744,0.4930137934109259,0.6968792183923701,0.5340382453064216,52,0.5769230769230769,1.0,0.23076923076923078,0.7394089698791504
torch_linear_vehicle_context,train,454,0.4294527279437518,0.27559404097659684,0.5063215228761146,0.3061906745747585,114,0.24561403508771928,0.2894736842105263,0.9122807017543859,0.7394089698791504
torch_linear_vehicle_context,val,130,0.4586921898175491,0.3518355157188309,0.5178864910002745,0.30125203860493804,38,0.3684210526315789,0.3157894736842105,0.868421052631579,0.7394089698791504
torch_linear_vehicle_context,test,209,0.6859679491240785,0.5680852012417039,0.7556861462081281,0.44063701710839753,52,0.3076923076923077,0.3269230769230769,0.9423076923076923,0.7394089698791504
torch_mlp256_vehicle_context,train,454,0.3938156663543057,0.2780558618056264,0.45457130664763606,0.2914514964536686,114,0.16666666666666666,0.17543859649122806,0.9473684210526315,0.7394089698791504
torch_mlp256_vehicle_context,val,130,0.4305282517034084,0.32570813957264877,0.48794858663029633,0.3190199533907267,38,0.2894736842105263,0.2631578947368421,0.9210526315789473,0.7394089698791504
torch_mlp256_vehicle_context,test,209,0.6493273454864278,0.5113753994157118,0.7278454845745684,0.42996401377479015,52,0.36538461538461536,0.38461538461538464,0.9423076923076923,0.7394089698791504
torch_mlp512_vehicle_context,train,454,0.39315726610232365,0.27548809896663895,0.45472466162920083,0.31127295836740654,114,0.17543859649122806,0.16666666666666666,0.9649122807017544,0.7394089698791504
torch_mlp512_vehicle_context,val,130,0.4349902235226002,0.3472659996039276,0.484979774948078,0.33823729060017144,38,0.15789473684210525,0.21052631578947367,0.9473684210526315,0.7394089698791504
torch_mlp512_vehicle_context,test,209,0.6669222570262306,0.5303393300181173,0.744940980647242,0.46508410079549534,52,0.2692307692307692,0.28846153846153844,0.9807692307692307,0.7394089698791504
