model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,640,0.8462056699718377,0.664408447808869,0.9495355838678614,0.990860031126067,160,1.0,1.0,0.0,1.4411629140377045
zero_delta,val,182,0.6635705135149382,0.5705047962562154,0.7204336680944707,0.8192302682488174,28,1.0,1.0,0.0,1.4411629140377045
zero_delta,test,270,0.7684409070647213,0.6348867682252352,0.8467680325115514,0.8842745526085815,56,1.0,1.0,0.0,1.4411629140377045
linear_trend_from_last_rate,train,640,4.988765875232645,2.1644420084438067,6.1869269211607145,3.8559438444674017,160,0.84375,0.46875,0.58125,1.4411629140377045
linear_trend_from_last_rate,val,182,5.318083757031451,2.2021462721718845,6.617794508943116,4.146084252376478,28,0.75,0.39285714285714285,0.6071428571428571,1.4411629140377045
linear_trend_from_last_rate,test,270,5.030331355986938,2.10915277511421,6.254532353203986,3.6247604181140627,56,0.8392857142857143,0.5,0.5178571428571429,1.4411629140377045
train_global_mean,train,640,0.8443964495076899,0.6641787707694842,0.9469572843547308,0.8990938562666997,160,0.46875,1.0,0.0,1.4411629140377045
train_global_mean,val,182,0.6617420719365008,0.5701264901103038,0.7178118844666954,0.7257269472293146,28,0.4642857142857143,1.0,0.0,1.4411629140377045
train_global_mean,test,270,0.7708632660973738,0.634727758598621,0.85048845785877,0.7935697560944526,56,0.5178571428571429,1.0,0.0,1.4411629140377045
train_category_mean,train,640,0.8344637277124374,0.6572463102052123,0.9354230125795382,0.8736869688145816,160,0.475,0.98125,0.08125,1.4411629140377045
train_category_mean,val,182,0.6601257542896783,0.574244388345312,0.7131539054582333,0.7015281233035928,28,0.5,1.0,0.0,1.4411629140377045
train_category_mean,test,270,0.7754269070148124,0.6259870126598831,0.8616392650588328,0.7629507392252519,56,0.5357142857142857,1.0,0.125,1.4411629140377045
train_context_mean,train,640,0.8423402099308553,0.6630346983493473,0.9444442734219515,0.88550076376996,160,0.46875,1.0,0.0,1.4411629140377045
train_context_mean,val,182,0.6621479709595021,0.5727254172652191,0.7170980792512334,0.7106267185165331,28,0.4642857142857143,1.0,0.0,1.4411629140377045
train_context_mean,test,270,0.77484119080238,0.6389268838485026,0.8543226673364852,0.7814542607460343,56,0.5178571428571429,1.0,0.0,1.4411629140377045
torch_linear_vehicle_context,train,640,0.5820794565603724,0.41842017350851074,0.669625731203792,0.4217185892863199,160,0.075,0.3125,0.9375,1.4411629140377045
torch_linear_vehicle_context,val,182,0.5791833572132506,0.4726176600820794,0.6416771784660381,0.3518989656816472,28,0.32142857142857145,0.35714285714285715,0.8214285714285714,1.4411629140377045
torch_linear_vehicle_context,test,270,0.744757929395738,0.601774871792371,0.8272493879558643,0.48922015156950455,56,0.16071428571428573,0.2857142857142857,0.9285714285714286,1.4411629140377045
torch_mlp256_vehicle_context,train,640,0.5019063371159829,0.37681604768845434,0.5708191332709941,0.35508272621082143,160,0.05,0.13125,0.9625,1.4411629140377045
torch_mlp256_vehicle_context,val,182,0.5655312982156466,0.45571869066095844,0.629388565023361,0.37145859915967827,28,0.21428571428571427,0.25,0.8928571428571429,1.4411629140377045
torch_mlp256_vehicle_context,test,270,0.7153785664391022,0.5448349914196865,0.8102422302589185,0.4514845773737222,56,0.19642857142857142,0.26785714285714285,0.9464285714285714,1.4411629140377045
torch_mlp512_vehicle_context,train,640,0.2719693551813454,0.23073262932520608,0.29659882046705494,0.2186308305361308,160,0.025,0.0375,0.975,1.4411629140377045
torch_mlp512_vehicle_context,val,182,0.5557334869941397,0.43310471183082816,0.625243830801795,0.3178498836664053,28,0.25,0.14285714285714285,0.9285714285714286,1.4411629140377045
torch_mlp512_vehicle_context,test,270,0.7564824810987294,0.5761520123694978,0.8564644510181664,0.4342884351693404,56,0.17857142857142858,0.21428571428571427,0.9107142857142857,1.4411629140377045
