model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,882,0.8926045687241231,0.6946466665412154,1.0041045946640477,1.0950501415616667,221,1.0,1.0,0.0,1.533879041671753
zero_delta,val,251,0.7082293985819691,0.6124211737454401,0.7670884062561125,0.9582538649558546,43,1.0,1.0,0.0,1.533879041671753
zero_delta,test,356,0.8966421017655818,0.7043696301923239,1.0046396508102005,1.1209004285802222,98,1.0,1.0,0.0,1.533879041671753
linear_trend_from_last_rate,train,882,6.195309113433027,2.5866103665461435,7.7058142867591535,5.00849082963351,221,0.8280542986425339,0.4343891402714932,0.6153846153846154,1.533879041671753
linear_trend_from_last_rate,val,251,7.017129647511882,2.838537112357776,8.747066332982376,5.58978680779497,43,0.8372093023255814,0.27906976744186046,0.7441860465116279,1.533879041671753
linear_trend_from_last_rate,test,356,6.061514233544849,2.517720930904195,7.5416790310528246,4.946154601603492,98,0.8571428571428571,0.4387755102040816,0.6020408163265306,1.533879041671753
train_global_mean,train,882,0.8920236280031794,0.6944575893959398,1.0033374763373661,1.036210389288307,221,0.5113122171945701,1.0,0.0,1.533879041671753
train_global_mean,val,251,0.7078966356002714,0.6128040814246994,0.76637496028882,0.8996010659581637,43,0.3953488372093023,1.0,0.0,1.533879041671753
train_global_mean,test,356,0.8973448370053979,0.704443902586412,1.0056432399198032,1.0632622727847612,98,0.4897959183673469,1.0,0.0,1.533879041671753
train_category_mean,train,882,0.8843780409689878,0.6890312395335876,0.9944874396492329,0.9881200787786588,221,0.416289592760181,0.995475113122172,0.049773755656108594,1.533879041671753
train_category_mean,val,251,0.7071214481377169,0.6163692119963315,0.7633132677966918,0.8509089732282903,43,0.5116279069767442,1.0,0.0,1.533879041671753
train_category_mean,test,356,0.9010491931284884,0.6978864924232586,1.0141799623615144,1.009685347517599,98,0.5408163265306123,1.0,0.07142857142857142,1.533879041671753
train_context_mean,train,882,0.8863725028228121,0.6915910118351847,0.9962862015851182,1.0196344903934231,221,0.5113122171945701,0.9909502262443439,0.013574660633484163,1.533879041671753
train_context_mean,val,251,0.704939598783177,0.6140225055279076,0.7611993828593091,0.890342112823549,43,0.3953488372093023,1.0,0.0,1.533879041671753
train_context_mean,test,356,0.8935172318076131,0.7069381104551736,0.9987832654204187,1.0605541119954334,98,0.4897959183673469,1.0,0.0,1.533879041671753
torch_linear_vehicle_context,train,882,0.7301955910812089,0.5642397520159765,0.8230252777727642,0.5105790127651627,221,0.1493212669683258,0.37104072398190047,0.8868778280542986,1.533879041671753
torch_linear_vehicle_context,val,251,0.7271903002151849,0.5935097509497442,0.8053257457278873,0.4781617783158424,43,0.2558139534883721,0.4418604651162791,0.7906976744186046,1.533879041671753
torch_linear_vehicle_context,test,356,0.8482173345984252,0.6701014642252293,0.9486998407325358,0.612419145319446,98,0.1836734693877551,0.3469387755102041,0.8979591836734694,1.533879041671753
torch_mlp256_vehicle_context,train,882,0.3536028464610006,0.2961269792818303,0.3877651238225144,0.26129372802282136,221,0.05429864253393665,0.07692307692307693,0.9638009049773756,1.533879041671753
torch_mlp256_vehicle_context,val,251,0.5904836152409408,0.454544130643087,0.6665732323220256,0.3645132477005639,43,0.20930232558139536,0.18604651162790697,0.9302325581395349,1.533879041671753
torch_mlp256_vehicle_context,test,356,0.7802822986238085,0.567175822492457,0.895588212891568,0.4676289403450733,98,0.15306122448979592,0.25510204081632654,0.9081632653061225,1.533879041671753
torch_mlp512_vehicle_context,train,882,0.4838933395718058,0.37652528032789234,0.5440991661779812,0.3524501420760236,221,0.06334841628959276,0.12217194570135746,0.9457013574660633,1.533879041671753
torch_mlp512_vehicle_context,val,251,0.6109100960051331,0.4796659694648449,0.685246937229642,0.39661354951530814,43,0.18604651162790697,0.2558139534883721,0.9069767441860465,1.533879041671753
torch_mlp512_vehicle_context,test,356,0.7885657531472839,0.5886352487167238,0.8984727603793262,0.5179089659297175,98,0.14285714285714285,0.29591836734693877,0.9183673469387755,1.533879041671753
