group_name,uid_count,extra_beyond_base,overlap_base
base,793,0,793
excluded_context_all,780,780,0
excluded_curve,54,54,0
excluded_lateral_dyn,6,6,0
excluded_low_mu,420,420,0
excluded_roll,300,300,0
fast_all_nonlate,70,16,54
fast_visible,22,5,17
fast_visible_boundary,38,11,27
moderate_body_attitude,1118,705,413
new_body_strong,614,614,0
new_boundary,109,91,18
new_keep_delay,93,0,93
new_keep_extreme,104,0,104
new_keep_weak,197,0,197
new_selected_nonlight,1117,705,412
steer_and_body,444,331,113
strong_body_attitude,948,614,334
weakpost,69,16,53
