variant_id,name_cn,sample_count,extra_episode_count,dropped_count,split_counts_json,category_counts_json,val_selected_model,val_rmse_for_selected,test_rmse_steer,test_primary_rmse_0_2s,test_tail_rmse_2_5s,test_wrong_side_rate_large,test_severe_amp_under_rate_large,test_large_response_recall,delta_rmse_vs_base,delta_wrong_side_vs_base,delta_severe_under_vs_base,delta_large_recall_vs_base,screening_score
s16_weakpost_lat,加锚点后响应弱，保留横向偏移,809,16,0,"{""train"": 461, ""test"": 212, ""val"": 136}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49, ""excluded"": 16}",torch_mlp256_vehicle_context,0.421017446310493,0.6446299159506276,0.5128773683925151,0.7201527300413636,0.24528301886792453,0.3018867924528302,0.9245283018867925,0.0070641878042403405,-0.02394775036284469,-0.10195936139332368,0.0014513788098693414,0.027025071992566624
s04_fast_all_nonlate_nolat,加全部非偏晚快速转向候选，去横向偏移,809,16,0,"{""train"": 461, ""test"": 212, ""val"": 136}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49, ""excluded"": 16}",torch_mlp256_vehicle_context,0.42231633801965296,0.6487125824370897,0.5074655374561188,0.7282542969340862,0.2830188679245283,0.33962264150943394,0.9245283018867925,0.011146854290702501,0.013788098693759077,-0.06422351233671991,0.0014513788098693414,0.0003008960721422024
s00_base_nolat,基础：干净集 + 待复核，去横向偏移,793,0,0,"{""train"": 454, ""test"": 209, ""val"": 130}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",torch_mlp256_vehicle_context,0.42697502910690527,0.6375657281463872,0.5013232007883858,0.7147164570188399,0.2692307692307692,0.40384615384615385,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
s02_fast_visible_nolat,加快速转向且车辆响应可见，去横向偏移,798,5,0,"{""train"": 455, ""test"": 209, ""val"": 134}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49, ""excluded"": 5}",torch_mlp256_vehicle_context,0.42640692560206,0.6528463882773519,0.5112437890475305,0.7327387823510613,0.2692307692307692,0.36538461538461536,0.9423076923076923,0.01528066013096463,0.0,-0.03846153846153849,0.019230769230769162,-0.0027806601309646323
s03_fast_visible_boundary_nolat,加快速转向可见/边界车辆响应，去横向偏移,804,11,0,"{""train"": 459, ""test"": 210, ""val"": 135}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49, ""excluded"": 11}",torch_mlp256_vehicle_context,0.42840360083050666,0.6523934990649607,0.5194413243532681,0.7284960705789277,0.3076923076923077,0.34615384615384615,0.9807692307692307,0.014827770918573457,0.03846153846153849,-0.05769230769230771,0.0576923076923076,-0.005212386303188861
s08_keep_weak_nolat,加弱/保守响应，去横向偏移,793,0,0,"{""train"": 454, ""test"": 209, ""val"": 130}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",torch_mlp512_vehicle_context,0.44067316874193224,0.6595625832025437,0.5170618037040796,0.7398600575503812,0.28846153846153844,0.34615384615384615,0.9615384615384616,0.02199685505615645,0.019230769230769218,-0.05769230769230771,0.038461538461538436,-0.008535316594617984
s10_lowmu_excl_nolat,加低附着 excluded，去横向偏移,1203,420,10,"{""train"": 695, ""test"": 300, ""val"": 208}","{""excluded"": 410, ""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",torch_mlp256_vehicle_context,0.46808405301092665,0.7047346128967383,0.5395089940248566,0.7963156139222176,0.16666666666666666,0.4111111111111111,0.9555555555555556,0.0671688847503511,-0.10256410256410256,0.007264957264957239,0.032478632478632474,-0.028215893297359643
s09_keep_delay_nolat,加延迟/无明显转向响应，去横向偏移,793,0,0,"{""train"": 454, ""test"": 209, ""val"": 130}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",torch_mlp512_vehicle_context,0.3940711407239717,0.6734778558096818,0.5303327270858403,0.7542835141563737,0.2692307692307692,0.4230769230769231,0.9615384615384616,0.035912127663294546,0.0,0.019230769230769218,0.038461538461538436,-0.03495058920175609
s11_roll_excl_nolat,加横滚/姿态 excluded，去横向偏移,1092,300,1,"{""train"": 640, ""test"": 270, ""val"": 182}","{""manual_review"": 311, ""excluded"": 299, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49}",torch_mlp256_vehicle_context,0.5576126980308546,0.734063427349234,0.5410423134511148,0.8388473277466709,0.21428571428571427,0.25,0.9464285714285714,0.09649769920284679,-0.054945054945054944,-0.15384615384615385,0.02335164835164827,-0.03530264425779185
s01_weakpost_nolat,加锚点后响应弱，去横向偏移,809,16,0,"{""train"": 461, ""test"": 212, ""val"": 136}","{""manual_review"": 311, ""weak_or_conservative"": 208, ""delayed_or_no_steer"": 139, ""normal_control"": 86, ""strong_response"": 49, ""excluded"": 16}",torch_mlp256_vehicle_context,0.4360558140764153,0.6419362859988383,0.5060640900304105,0.7193300145962122,0.33962264150943394,0.4339622641509434,0.9245283018867925,0.004370557852451107,0.07039187227866472,0.030116110304789556,0.0014513788098693414,-0.036319033904700745
